时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,1.0
5,2,0.0
5,3,0.0
5,4,2.0
5,5,5.0
5,6,10.0
5,7,11.0
5,8,8.0
5,9,13.0
5,10,22.0
5,11,19.0
6,0,27.0
6,1,29.0
6,2,26.0
6,3,39.0
6,4,45.0
6,5,49.0
6,6,66.0
6,7,57.0
6,8,85.0
6,9,57.0
6,10,75.0
6,11,165.0
7,0,57.0
7,1,88.0
7,2,195.0
7,3,154.0
7,4,140.0
7,5,319.0
7,6,143.0
7,7,322.0
7,8,341.0
7,9,228.0
7,10,365.0
7,11,212.0
8,0,437.0
8,1,242.0
8,2,304.0
8,3,291.0
8,4,254.0
8,5,281.0
8,6,171.0
8,7,144.0
8,8,127.0
8,9,132.0
8,10,113.0
8,11,99.0
9,0,132.0
9,1,92.0
9,2,80.0
9,3,81.0
9,4,68.0
9,5,69.0
9,6,51.0
9,7,49.0
9,8,51.0
9,9,36.0
9,10,59.0
9,11,80.0
10,0,47.0
10,1,37.0
10,2,36.0
10,3,34.0
10,4,47.0
10,5,25.0
10,6,31.0
10,7,39.0
10,8,35.0
10,9,30.0
10,10,30.0
10,11,11.0
11,0,34.0
11,1,31.0
11,2,31.0
11,3,35.0
11,4,32.0
11,5,22.0
11,6,47.0
11,7,32.0
11,8,35.0
11,9,33.0
11,10,27.0
11,11,24.0
12,0,32.0
12,1,39.0
12,2,47.0
12,3,24.0
12,4,39.0
12,5,22.0
12,6,47.0
12,7,44.0
12,8,36.0
12,9,38.0
12,10,24.0
12,11,23.0
13,0,27.0
13,1,33.0
13,2,32.0
13,3,33.0
13,4,28.0
13,5,12.0
13,6,38.0
13,7,39.0
13,8,20.0
13,9,33.0
13,10,37.0
13,11,22.0
14,0,37.0
14,1,25.0
14,2,27.0
14,3,32.0
14,4,36.0
14,5,40.0
14,6,31.0
14,7,28.0
14,8,24.0
14,9,40.0
14,10,39.0
14,11,26.0
15,0,36.0
15,1,42.0
15,2,40.0
15,3,40.0
15,4,45.0
15,5,19.0
15,6,43.0
15,7,35.0
15,8,52.0
15,9,30.0
15,10,45.0
15,11,30.0
16,0,46.0
16,1,55.0
16,2,57.0
16,3,59.0
16,4,59.0
16,5,23.0
16,6,85.0
16,7,66.0
16,8,76.0
16,9,84.0
16,10,74.0
16,11,56.0
17,0,100.0
17,1,166.0
17,2,145.0
17,3,113.0
17,4,72.0
17,5,124.0
17,6,105.0
17,7,72.0
17,8,198.0
17,9,65.0
17,10,205.0
17,11,31.0
18,0,228.0
18,1,45.0
18,2,213.0
18,3,235.0
18,4,41.0
18,5,261.0
18,6,47.0
18,7,217.0
18,8,16.0
18,9,250.0
18,10,21.0
18,11,287.0
19,0,21.0
19,1,264.0
19,2,247.0
19,3,29.0
19,4,204.0
19,5,18.0
19,6,186.0
19,7,12.0
19,8,130.0
19,9,118.0
19,10,11.0
19,11,144.0
20,0,60.0
20,1,59.0
20,2,6.0
20,3,112.0
20,4,13.0
20,5,70.0
20,6,85.0
20,7,44.0
20,8,49.0
20,9,14.0
20,10,85.0
20,11,6.0
21,0,85.0
21,1,47.0
21,2,57.0
21,3,43.0
21,4,21.0
21,5,81.0
21,6,4.0
21,7,86.0
21,8,9.0
21,9,65.0
21,10,4.0
21,11,106.0
22,0,6.0
22,1,4.0
22,2,71.0
22,3,3.0
22,4,73.0
22,5,3.0
22,6,12.0
22,7,59.0
22,8,40.0
22,9,32.0
22,10,30.0
22,11,0.0
23,0,22.0
23,1,15.0
23,2,17.0
23,3,3.0
23,4,0.0
23,5,15.0
23,6,4.0
23,7,5.0
23,8,3.0
23,9,0.0
23,10,0.0
23,11,0.0
