时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,1.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,5.0
5,3,2.0
5,4,22.0
5,5,18.0
5,6,18.0
5,7,13.0
5,8,11.0
5,9,30.0
5,10,32.0
5,11,34.0
6,0,26.0
6,1,39.0
6,2,28.0
6,3,52.0
6,4,39.0
6,5,54.0
6,6,50.0
6,7,85.0
6,8,87.0
6,9,88.0
6,10,97.0
6,11,63.0
7,0,159.0
7,1,145.0
7,2,121.0
7,3,277.0
7,4,158.0
7,5,177.0
7,6,359.0
7,7,249.0
7,8,220.0
7,9,520.0
7,10,134.0
7,11,368.0
8,0,364.0
8,1,435.0
8,2,232.0
8,3,493.0
8,4,254.0
8,5,421.0
8,6,408.0
8,7,231.0
8,8,406.0
8,9,333.0
8,10,168.0
8,11,110.0
9,0,126.0
9,1,113.0
9,2,95.0
9,3,86.0
9,4,95.0
9,5,69.0
9,6,73.0
9,7,61.0
9,8,52.0
9,9,80.0
9,10,73.0
9,11,50.0
10,0,42.0
10,1,50.0
10,2,54.0
10,3,55.0
10,4,37.0
10,5,26.0
10,6,33.0
10,7,53.0
10,8,56.0
10,9,36.0
10,10,25.0
10,11,55.0
11,0,40.0
11,1,66.0
11,2,58.0
11,3,48.0
11,4,28.0
11,5,62.0
11,6,48.0
11,7,52.0
11,8,55.0
11,9,56.0
11,10,16.0
11,11,60.0
12,0,58.0
12,1,70.0
12,2,59.0
12,3,55.0
12,4,30.0
12,5,44.0
12,6,62.0
12,7,42.0
12,8,61.0
12,9,69.0
12,10,25.0
12,11,45.0
13,0,51.0
13,1,60.0
13,2,47.0
13,3,46.0
13,4,39.0
13,5,41.0
13,6,48.0
13,7,33.0
13,8,59.0
13,9,46.0
13,10,24.0
13,11,54.0
14,0,54.0
14,1,48.0
14,2,59.0
14,3,46.0
14,4,9.0
14,5,39.0
14,6,50.0
14,7,44.0
14,8,43.0
14,9,32.0
14,10,31.0
14,11,54.0
15,0,51.0
15,1,50.0
15,2,53.0
15,3,61.0
15,4,25.0
15,5,42.0
15,6,61.0
15,7,43.0
15,8,73.0
15,9,72.0
15,10,19.0
15,11,66.0
16,0,69.0
16,1,48.0
16,2,60.0
16,3,66.0
16,4,80.0
16,5,45.0
16,6,109.0
16,7,76.0
16,8,89.0
16,9,82.0
16,10,61.0
16,11,104.0
17,0,120.0
17,1,163.0
17,2,147.0
17,3,175.0
17,4,94.0
17,5,163.0
17,6,171.0
17,7,172.0
17,8,72.0
17,9,221.0
17,10,222.0
17,11,257.0
18,0,124.0
18,1,276.0
18,2,94.0
18,3,267.0
18,4,91.0
18,5,197.0
18,6,88.0
18,7,251.0
18,8,139.0
18,9,146.0
18,10,120.0
18,11,163.0
19,0,256.0
19,1,64.0
19,2,238.0
19,3,57.0
19,4,214.0
19,5,126.0
19,6,122.0
19,7,175.0
19,8,36.0
19,9,162.0
19,10,42.0
19,11,156.0
20,0,31.0
20,1,182.0
20,2,76.0
20,3,19.0
20,4,127.0
20,5,35.0
20,6,115.0
20,7,23.0
20,8,123.0
20,9,131.0
20,10,40.0
20,11,82.0
21,0,72.0
21,1,121.0
21,2,19.0
21,3,99.0
21,4,58.0
21,5,63.0
21,6,65.0
21,7,31.0
21,8,50.0
21,9,66.0
21,10,70.0
21,11,9.0
22,0,30.0
22,1,87.0
22,2,8.0
22,3,94.0
22,4,12.0
22,5,10.0
22,6,61.0
22,7,0.0
22,8,63.0
22,9,27.0
22,10,4.0
22,11,19.0
23,0,33.0
23,1,19.0
23,2,23.0
23,3,0.0
23,4,21.0
23,5,15.0
23,6,13.0
23,7,5.0
23,8,1.0
23,9,3.0
23,10,0.0
23,11,0.0
