时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,2.0
5,5,1.0
5,6,3.0
5,7,5.0
5,8,19.0
5,9,14.0
5,10,23.0
5,11,16.0
6,0,18.0
6,1,25.0
6,2,47.0
6,3,58.0
6,4,48.0
6,5,79.0
6,6,45.0
6,7,77.0
6,8,70.0
6,9,77.0
6,10,92.0
6,11,104.0
7,0,112.0
7,1,123.0
7,2,183.0
7,3,180.0
7,4,217.0
7,5,218.0
7,6,233.0
7,7,293.0
7,8,301.0
7,9,314.0
7,10,324.0
7,11,368.0
8,0,429.0
8,1,384.0
8,2,368.0
8,3,434.0
8,4,368.0
8,5,307.0
8,6,330.0
8,7,359.0
8,8,474.0
8,9,332.0
8,10,301.0
8,11,300.0
9,0,272.0
9,1,221.0
9,2,206.0
9,3,183.0
9,4,230.0
9,5,167.0
9,6,160.0
9,7,132.0
9,8,213.0
9,9,120.0
9,10,73.0
9,11,156.0
10,0,128.0
10,1,80.0
10,2,73.0
10,3,96.0
10,4,90.0
10,5,104.0
10,6,88.0
10,7,76.0
10,8,44.0
10,9,81.0
10,10,72.0
10,11,51.0
11,0,87.0
11,1,47.0
11,2,35.0
11,3,77.0
11,4,59.0
11,5,80.0
11,6,46.0
11,7,43.0
11,8,68.0
11,9,55.0
11,10,62.0
11,11,78.0
12,0,50.0
12,1,43.0
12,2,63.0
12,3,80.0
12,4,61.0
12,5,83.0
12,6,72.0
12,7,58.0
12,8,38.0
12,9,73.0
12,10,63.0
12,11,71.0
13,0,75.0
13,1,54.0
13,2,48.0
13,3,63.0
13,4,80.0
13,5,74.0
13,6,54.0
13,7,74.0
13,8,43.0
13,9,81.0
13,10,73.0
13,11,79.0
14,0,53.0
14,1,50.0
14,2,45.0
14,3,86.0
14,4,74.0
14,5,75.0
14,6,45.0
14,7,82.0
14,8,58.0
14,9,64.0
14,10,63.0
14,11,53.0
15,0,59.0
15,1,67.0
15,2,58.0
15,3,78.0
15,4,74.0
15,5,78.0
15,6,71.0
15,7,63.0
15,8,53.0
15,9,89.0
15,10,85.0
15,11,94.0
16,0,90.0
16,1,73.0
16,2,69.0
16,3,88.0
16,4,90.0
16,5,95.0
16,6,119.0
16,7,119.0
16,8,62.0
16,9,126.0
16,10,144.0
16,11,136.0
17,0,185.0
17,1,152.0
17,2,188.0
17,3,197.0
17,4,205.0
17,5,197.0
17,6,179.0
17,7,239.0
17,8,269.0
17,9,299.0
17,10,272.0
17,11,236.0
18,0,344.0
18,1,202.0
18,2,363.0
18,3,322.0
18,4,309.0
18,5,281.0
18,6,254.0
18,7,252.0
18,8,273.0
18,9,222.0
18,10,322.0
18,11,254.0
19,0,186.0
19,1,238.0
19,2,158.0
19,3,159.0
19,4,108.0
19,5,125.0
19,6,183.0
19,7,85.0
19,8,101.0
19,9,85.0
19,10,140.0
19,11,106.0
20,0,113.0
20,1,80.0
20,2,107.0
20,3,99.0
20,4,66.0
20,5,110.0
20,6,65.0
20,7,77.0
20,8,59.0
20,9,75.0
20,10,97.0
20,11,106.0
21,0,74.0
21,1,88.0
21,2,98.0
21,3,64.0
21,4,98.0
21,5,81.0
21,6,50.0
21,7,85.0
21,8,80.0
21,9,32.0
21,10,73.0
21,11,58.0
22,0,36.0
22,1,58.0
22,2,52.0
22,3,9.0
22,4,52.0
22,5,59.0
22,6,43.0
22,7,24.0
22,8,19.0
22,9,50.0
22,10,29.0
22,11,16.0
23,0,6.0
23,1,9.0
23,2,9.0
23,3,5.0
23,4,1.0
23,5,5.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
