时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,1.0
5,5,0.0
5,6,0.0
5,7,5.0
5,8,4.0
5,9,10.0
5,10,22.0
5,11,18.0
6,0,30.0
6,1,40.0
6,2,29.0
6,3,37.0
6,4,51.0
6,5,69.0
6,6,105.0
6,7,98.0
6,8,84.0
6,9,125.0
6,10,91.0
6,11,136.0
7,0,159.0
7,1,165.0
7,2,176.0
7,3,169.0
7,4,190.0
7,5,204.0
7,6,204.0
7,7,249.0
7,8,266.0
7,9,312.0
7,10,321.0
7,11,317.0
8,0,364.0
8,1,438.0
8,2,423.0
8,3,465.0
8,4,379.0
8,5,332.0
8,6,378.0
8,7,277.0
8,8,356.0
8,9,315.0
8,10,277.0
8,11,293.0
9,0,275.0
9,1,188.0
9,2,161.0
9,3,147.0
9,4,146.0
9,5,155.0
9,6,90.0
9,7,95.0
9,8,120.0
9,9,75.0
9,10,102.0
9,11,93.0
10,0,84.0
10,1,78.0
10,2,66.0
10,3,46.0
10,4,65.0
10,5,87.0
10,6,61.0
10,7,50.0
10,8,72.0
10,9,63.0
10,10,26.0
10,11,52.0
11,0,66.0
11,1,39.0
11,2,79.0
11,3,68.0
11,4,56.0
11,5,31.0
11,6,59.0
11,7,68.0
11,8,52.0
11,9,42.0
11,10,54.0
11,11,72.0
12,0,51.0
12,1,68.0
12,2,75.0
12,3,37.0
12,4,34.0
12,5,73.0
12,6,64.0
12,7,50.0
12,8,56.0
12,9,57.0
12,10,72.0
12,11,43.0
13,0,66.0
13,1,68.0
13,2,35.0
13,3,62.0
13,4,55.0
13,5,54.0
13,6,41.0
13,7,72.0
13,8,75.0
13,9,27.0
13,10,51.0
13,11,47.0
14,0,47.0
14,1,44.0
14,2,74.0
14,3,45.0
14,4,23.0
14,5,65.0
14,6,64.0
14,7,51.0
14,8,38.0
14,9,62.0
14,10,47.0
14,11,32.0
15,0,64.0
15,1,72.0
15,2,55.0
15,3,60.0
15,4,70.0
15,5,83.0
15,6,21.0
15,7,79.0
15,8,86.0
15,9,57.0
15,10,46.0
15,11,89.0
16,0,109.0
16,1,26.0
16,2,106.0
16,3,104.0
16,4,87.0
16,5,42.0
16,6,111.0
16,7,100.0
16,8,54.0
16,9,137.0
16,10,154.0
16,11,113.0
17,0,123.0
17,1,151.0
17,2,148.0
17,3,62.0
17,4,179.0
17,5,129.0
17,6,192.0
17,7,177.0
17,8,185.0
17,9,60.0
17,10,293.0
17,11,203.0
18,0,248.0
18,1,274.0
18,2,316.0
18,3,310.0
18,4,250.0
18,5,298.0
18,6,292.0
18,7,278.0
18,8,260.0
18,9,77.0
18,10,294.0
18,11,326.0
19,0,315.0
19,1,247.0
19,2,215.0
19,3,49.0
19,4,194.0
19,5,201.0
19,6,166.0
19,7,145.0
19,8,145.0
19,9,35.0
19,10,124.0
19,11,123.0
20,0,103.0
20,1,121.0
20,2,109.0
20,3,23.0
20,4,104.0
20,5,98.0
20,6,95.0
20,7,98.0
20,8,99.0
20,9,37.0
20,10,105.0
20,11,103.0
21,0,16.0
21,1,120.0
21,2,86.0
21,3,16.0
21,4,101.0
21,5,117.0
21,6,24.0
21,7,102.0
21,8,24.0
21,9,98.0
21,10,90.0
21,11,27.0
22,0,94.0
22,1,96.0
22,2,14.0
22,3,79.0
22,4,8.0
22,5,92.0
22,6,90.0
22,7,2.0
22,8,65.0
22,9,36.0
22,10,3.0
22,11,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
