时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,1.0
5,7,1.0
5,8,1.0
5,9,4.0
5,10,8.0
5,11,20.0
6,0,21.0
6,1,22.0
6,2,20.0
6,3,26.0
6,4,40.0
6,5,24.0
6,6,88.0
6,7,54.0
6,8,82.0
6,9,100.0
6,10,87.0
6,11,131.0
7,0,90.0
7,1,127.0
7,2,154.0
7,3,164.0
7,4,150.0
7,5,206.0
7,6,223.0
7,7,303.0
7,8,301.0
7,9,358.0
7,10,392.0
7,11,439.0
8,0,594.0
8,1,628.0
8,2,672.0
8,3,672.0
8,4,742.0
8,5,655.0
8,6,573.0
8,7,727.0
8,8,771.0
8,9,669.0
8,10,719.0
8,11,733.0
9,0,465.0
9,1,541.0
9,2,539.0
9,3,320.0
9,4,396.0
9,5,415.0
9,6,293.0
9,7,267.0
9,8,259.0
9,9,239.0
9,10,213.0
9,11,86.0
10,0,227.0
10,1,149.0
10,2,147.0
10,3,98.0
10,4,141.0
10,5,135.0
10,6,88.0
10,7,83.0
10,8,94.0
10,9,98.0
10,10,56.0
10,11,105.0
11,0,73.0
11,1,85.0
11,2,63.0
11,3,109.0
11,4,90.0
11,5,48.0
11,6,102.0
11,7,83.0
11,8,64.0
11,9,103.0
11,10,69.0
11,11,76.0
12,0,74.0
12,1,110.0
12,2,115.0
12,3,87.0
12,4,82.0
12,5,81.0
12,6,112.0
12,7,57.0
12,8,97.0
12,9,88.0
12,10,62.0
12,11,97.0
13,0,95.0
13,1,121.0
13,2,64.0
13,3,127.0
13,4,119.0
13,5,78.0
13,6,69.0
13,7,104.0
13,8,101.0
13,9,71.0
13,10,115.0
13,11,101.0
14,0,69.0
14,1,74.0
14,2,104.0
14,3,106.0
14,4,67.0
14,5,105.0
14,6,106.0
14,7,59.0
14,8,65.0
14,9,114.0
14,10,98.0
14,11,69.0
15,0,104.0
15,1,105.0
15,2,54.0
15,3,89.0
15,4,97.0
15,5,85.0
15,6,91.0
15,7,99.0
15,8,134.0
15,9,69.0
15,10,97.0
15,11,105.0
16,0,109.0
16,1,74.0
16,2,133.0
16,3,124.0
16,4,78.0
16,5,111.0
16,6,146.0
16,7,178.0
16,8,103.0
16,9,174.0
16,10,164.0
16,11,109.0
17,0,169.0
17,1,237.0
17,2,267.0
17,3,228.0
17,4,189.0
17,5,232.0
17,6,266.0
17,7,340.0
17,8,387.0
17,9,506.0
17,10,313.0
17,11,485.0
18,0,375.0
18,1,461.0
18,2,529.0
18,3,565.0
18,4,547.0
18,5,523.0
18,6,445.0
18,7,420.0
18,8,409.0
18,9,299.0
18,10,375.0
18,11,369.0
19,0,347.0
19,1,309.0
19,2,306.0
19,3,214.0
19,4,262.0
19,5,243.0
19,6,239.0
19,7,229.0
19,8,186.0
19,9,157.0
19,10,96.0
19,11,155.0
20,0,156.0
20,1,169.0
20,2,124.0
20,3,134.0
20,4,135.0
20,5,151.0
20,6,157.0
20,7,118.0
20,8,132.0
20,9,79.0
20,10,99.0
20,11,119.0
21,0,54.0
21,1,159.0
21,2,103.0
21,3,89.0
21,4,178.0
21,5,76.0
21,6,138.0
21,7,133.0
21,8,56.0
21,9,98.0
21,10,79.0
21,11,58.0
22,0,113.0
22,1,22.0
22,2,111.0
22,3,93.0
22,4,26.0
22,5,75.0
22,6,33.0
22,7,8.0
22,8,48.0
22,9,0.0
22,10,0.0
22,11,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
