时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,3.0
5,10,0.0
5,11,1.0
6,0,7.0
6,1,18.0
6,2,20.0
6,3,12.0
6,4,16.0
6,5,38.0
6,6,33.0
6,7,24.0
6,8,43.0
6,9,22.0
6,10,54.0
6,11,69.0
7,0,55.0
7,1,114.0
7,2,98.0
7,3,109.0
7,4,122.0
7,5,128.0
7,6,140.0
7,7,150.0
7,8,161.0
7,9,175.0
7,10,192.0
7,11,248.0
8,0,286.0
8,1,321.0
8,2,295.0
8,3,341.0
8,4,385.0
8,5,378.0
8,6,317.0
8,7,341.0
8,8,363.0
8,9,444.0
8,10,447.0
8,11,371.0
9,0,269.0
9,1,277.0
9,2,363.0
9,3,231.0
9,4,239.0
9,5,218.0
9,6,158.0
9,7,206.0
9,8,186.0
9,9,120.0
9,10,197.0
9,11,137.0
10,0,115.0
10,1,130.0
10,2,127.0
10,3,74.0
10,4,117.0
10,5,112.0
10,6,79.0
10,7,122.0
10,8,64.0
10,9,92.0
10,10,55.0
10,11,91.0
11,0,76.0
11,1,67.0
11,2,86.0
11,3,77.0
11,4,87.0
11,5,44.0
11,6,85.0
11,7,73.0
11,8,58.0
11,9,98.0
11,10,71.0
11,11,63.0
12,0,58.0
12,1,80.0
12,2,56.0
12,3,65.0
12,4,89.0
12,5,74.0
12,6,90.0
12,7,58.0
12,8,73.0
12,9,73.0
12,10,71.0
12,11,69.0
13,0,85.0
13,1,82.0
13,2,51.0
13,3,66.0
13,4,106.0
13,5,53.0
13,6,77.0
13,7,76.0
13,8,84.0
13,9,65.0
13,10,86.0
13,11,85.0
14,0,66.0
14,1,80.0
14,2,76.0
14,3,103.0
14,4,71.0
14,5,75.0
14,6,83.0
14,7,81.0
14,8,65.0
14,9,66.0
14,10,100.0
14,11,75.0
15,0,87.0
15,1,95.0
15,2,77.0
15,3,98.0
15,4,72.0
15,5,94.0
15,6,80.0
15,7,81.0
15,8,114.0
15,9,103.0
15,10,128.0
15,11,92.0
16,0,108.0
16,1,78.0
16,2,116.0
16,3,133.0
16,4,104.0
16,5,126.0
16,6,138.0
16,7,106.0
16,8,122.0
16,9,153.0
16,10,156.0
16,11,128.0
17,0,165.0
17,1,256.0
17,2,244.0
17,3,240.0
17,4,199.0
17,5,156.0
17,6,223.0
17,7,293.0
17,8,284.0
17,9,327.0
17,10,319.0
17,11,266.0
18,0,279.0
18,1,291.0
18,2,353.0
18,3,361.0
18,4,302.0
18,5,239.0
18,6,292.0
18,7,272.0
18,8,272.0
18,9,275.0
18,10,170.0
18,11,176.0
19,0,172.0
19,1,151.0
19,2,178.0
19,3,140.0
19,4,115.0
19,5,125.0
19,6,151.0
19,7,105.0
19,8,132.0
19,9,110.0
19,10,77.0
19,11,69.0
20,0,105.0
20,1,105.0
20,2,74.0
20,3,92.0
20,4,91.0
20,5,51.0
20,6,83.0
20,7,51.0
20,8,78.0
20,9,73.0
20,10,87.0
20,11,72.0
21,0,55.0
21,1,80.0
21,2,57.0
21,3,73.0
21,4,98.0
21,5,58.0
21,6,74.0
21,7,72.0
21,8,50.0
21,9,80.0
21,10,48.0
21,11,45.0
22,0,76.0
22,1,40.0
22,2,40.0
22,3,62.0
22,4,37.0
22,5,66.0
22,6,15.0
22,7,5.0
22,8,0.0
22,9,0.0
22,10,0.0
22,11,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
