时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,1.0
5,5,0.0
5,6,6.0
5,7,4.0
5,8,4.0
5,9,6.0
5,10,4.0
5,11,13.0
6,0,15.0
6,1,17.0
6,2,17.0
6,3,20.0
6,4,33.0
6,5,30.0
6,6,41.0
6,7,61.0
6,8,37.0
6,9,60.0
6,10,40.0
6,11,67.0
7,0,89.0
7,1,69.0
7,2,93.0
7,3,109.0
7,4,133.0
7,5,141.0
7,6,172.0
7,7,181.0
7,8,213.0
7,9,253.0
7,10,292.0
7,11,323.0
8,0,364.0
8,1,448.0
8,2,451.0
8,3,481.0
8,4,475.0
8,5,564.0
8,6,655.0
8,7,744.0
8,8,702.0
8,9,706.0
8,10,707.0
8,11,528.0
9,0,442.0
9,1,393.0
9,2,428.0
9,3,419.0
9,4,363.0
9,5,330.0
9,6,245.0
9,7,325.0
9,8,328.0
9,9,333.0
9,10,275.0
9,11,302.0
10,0,229.0
10,1,130.0
10,2,252.0
10,3,232.0
10,4,139.0
10,5,125.0
10,6,163.0
10,7,132.0
10,8,84.0
10,9,117.0
10,10,115.0
10,11,64.0
11,0,94.0
11,1,108.0
11,2,82.0
11,3,82.0
11,4,119.0
11,5,119.0
11,6,86.0
11,7,97.0
11,8,94.0
11,9,86.0
11,10,79.0
11,11,96.0
12,0,119.0
12,1,76.0
12,2,87.0
12,3,114.0
12,4,109.0
12,5,90.0
12,6,106.0
12,7,130.0
12,8,91.0
12,9,97.0
12,10,114.0
12,11,91.0
13,0,72.0
13,1,103.0
13,2,131.0
13,3,83.0
13,4,72.0
13,5,123.0
13,6,90.0
13,7,91.0
13,8,114.0
13,9,118.0
13,10,69.0
13,11,81.0
14,0,95.0
14,1,85.0
14,2,78.0
14,3,93.0
14,4,123.0
14,5,89.0
14,6,68.0
14,7,96.0
14,8,125.0
14,9,81.0
14,10,86.0
14,11,100.0
15,0,72.0
15,1,94.0
15,2,115.0
15,3,73.0
15,4,71.0
15,5,105.0
15,6,125.0
15,7,92.0
15,8,91.0
15,9,94.0
15,10,83.0
15,11,98.0
16,0,117.0
16,1,129.0
16,2,128.0
16,3,108.0
16,4,144.0
16,5,108.0
16,6,99.0
16,7,161.0
16,8,161.0
16,9,83.0
16,10,170.0
16,11,162.0
17,0,179.0
17,1,251.0
17,2,373.0
17,3,274.0
17,4,315.0
17,5,295.0
17,6,316.0
17,7,369.0
17,8,471.0
17,9,385.0
17,10,396.0
17,11,339.0
18,0,381.0
18,1,520.0
18,2,698.0
18,3,588.0
18,4,527.0
18,5,443.0
18,6,389.0
18,7,370.0
18,8,422.0
18,9,444.0
18,10,357.0
18,11,301.0
19,0,299.0
19,1,273.0
19,2,306.0
19,3,272.0
19,4,215.0
19,5,215.0
19,6,192.0
19,7,210.0
19,8,187.0
19,9,204.0
19,10,152.0
19,11,172.0
20,0,142.0
20,1,137.0
20,2,162.0
20,3,154.0
20,4,142.0
20,5,144.0
20,6,119.0
20,7,143.0
20,8,169.0
20,9,148.0
20,10,116.0
20,11,151.0
21,0,162.0
21,1,116.0
21,2,130.0
21,3,119.0
21,4,102.0
21,5,106.0
21,6,79.0
21,7,123.0
21,8,127.0
21,9,65.0
21,10,92.0
21,11,65.0
22,0,90.0
22,1,116.0
22,2,38.0
22,3,54.0
22,4,48.0
22,5,10.0
22,6,30.0
22,7,28.0
22,8,8.0
22,9,0.0
22,10,0.0
22,11,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
