时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,1.0
5,7,2.0
5,8,4.0
5,9,10.0
5,10,19.0
5,11,21.0
6,0,16.0
6,1,19.0
6,2,41.0
6,3,42.0
6,4,51.0
6,5,76.0
6,6,70.0
6,7,124.0
6,8,99.0
6,9,119.0
6,10,140.0
6,11,115.0
7,0,146.0
7,1,175.0
7,2,183.0
7,3,236.0
7,4,230.0
7,5,251.0
7,6,279.0
7,7,277.0
7,8,350.0
7,9,372.0
7,10,449.0
7,11,448.0
8,0,479.0
8,1,487.0
8,2,548.0
8,3,517.0
8,4,480.0
8,5,479.0
8,6,418.0
8,7,441.0
8,8,483.0
8,9,394.0
8,10,393.0
8,11,342.0
9,0,255.0
9,1,284.0
9,2,240.0
9,3,188.0
9,4,188.0
9,5,218.0
9,6,154.0
9,7,156.0
9,8,169.0
9,9,133.0
9,10,115.0
9,11,141.0
10,0,91.0
10,1,108.0
10,2,100.0
10,3,120.0
10,4,50.0
10,5,73.0
10,6,111.0
10,7,56.0
10,8,58.0
10,9,85.0
10,10,71.0
10,11,48.0
11,0,46.0
11,1,92.0
11,2,89.0
11,3,27.0
11,4,80.0
11,5,78.0
11,6,44.0
11,7,56.0
11,8,70.0
11,9,80.0
11,10,31.0
11,11,90.0
12,0,72.0
12,1,44.0
12,2,71.0
12,3,81.0
12,4,100.0
12,5,42.0
12,6,79.0
12,7,61.0
12,8,59.0
12,9,79.0
12,10,87.0
12,11,85.0
13,0,44.0
13,1,74.0
13,2,86.0
13,3,46.0
13,4,69.0
13,5,84.0
13,6,77.0
13,7,32.0
13,8,79.0
13,9,72.0
13,10,34.0
13,11,86.0
14,0,91.0
14,1,69.0
14,2,36.0
14,3,80.0
14,4,95.0
14,5,27.0
14,6,79.0
14,7,70.0
14,8,81.0
14,9,37.0
14,10,81.0
14,11,98.0
15,0,37.0
15,1,71.0
15,2,90.0
15,3,79.0
15,4,33.0
15,5,104.0
15,6,85.0
15,7,28.0
15,8,97.0
15,9,96.0
15,10,118.0
15,11,38.0
16,0,124.0
16,1,110.0
16,2,65.0
16,3,103.0
16,4,112.0
16,5,128.0
16,6,45.0
16,7,165.0
16,8,143.0
16,9,56.0
16,10,164.0
16,11,171.0
17,0,191.0
17,1,120.0
17,2,225.0
17,3,240.0
17,4,198.0
17,5,109.0
17,6,207.0
17,7,278.0
17,8,345.0
17,9,388.0
17,10,331.0
17,11,256.0
18,0,349.0
18,1,264.0
18,2,353.0
18,3,380.0
18,4,330.0
18,5,365.0
18,6,345.0
18,7,342.0
18,8,356.0
18,9,364.0
18,10,310.0
18,11,199.0
19,0,174.0
19,1,319.0
19,2,260.0
19,3,255.0
19,4,237.0
19,5,68.0
19,6,169.0
19,7,199.0
19,8,182.0
19,9,129.0
19,10,137.0
19,11,85.0
20,0,54.0
20,1,124.0
20,2,122.0
20,3,111.0
20,4,103.0
20,5,70.0
20,6,44.0
20,7,126.0
20,8,79.0
20,9,117.0
20,10,72.0
20,11,68.0
21,0,114.0
21,1,24.0
21,2,145.0
21,3,130.0
21,4,35.0
21,5,128.0
21,6,27.0
21,7,116.0
21,8,97.0
21,9,15.0
21,10,88.0
21,11,89.0
22,0,18.0
22,1,106.0
22,2,71.0
22,3,28.0
22,4,68.0
22,5,5.0
22,6,64.0
22,7,54.0
22,8,1.0
22,9,42.0
22,10,0.0
22,11,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
