时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,1.0
5,7,10.0
5,8,15.0
5,9,7.0
5,10,10.0
5,11,22.0
6,0,9.0
6,1,23.0
6,2,15.0
6,3,18.0
6,4,16.0
6,5,12.0
6,6,35.0
6,7,39.0
6,8,38.0
6,9,31.0
6,10,52.0
6,11,39.0
7,0,40.0
7,1,50.0
7,2,26.0
7,3,97.0
7,4,42.0
7,5,64.0
7,6,103.0
7,7,79.0
7,8,99.0
7,9,130.0
7,10,131.0
7,11,147.0
8,0,202.0
8,1,143.0
8,2,179.0
8,3,200.0
8,4,203.0
8,5,206.0
8,6,236.0
8,7,234.0
8,8,234.0
8,9,206.0
8,10,137.0
8,11,135.0
9,0,125.0
9,1,71.0
9,2,93.0
9,3,109.0
9,4,73.0
9,5,67.0
9,6,46.0
9,7,60.0
9,8,55.0
9,9,45.0
9,10,46.0
9,11,52.0
10,0,29.0
10,1,22.0
10,2,36.0
10,3,37.0
10,4,39.0
10,5,15.0
10,6,35.0
10,7,37.0
10,8,31.0
10,9,14.0
10,10,27.0
10,11,28.0
11,0,27.0
11,1,27.0
11,2,26.0
11,3,18.0
11,4,20.0
11,5,29.0
11,6,24.0
11,7,7.0
11,8,44.0
11,9,20.0
11,10,35.0
11,11,31.0
12,0,37.0
12,1,23.0
12,2,12.0
12,3,28.0
12,4,40.0
12,5,29.0
12,6,24.0
12,7,21.0
12,8,41.0
12,9,20.0
12,10,41.0
12,11,41.0
13,0,31.0
13,1,18.0
13,2,28.0
13,3,30.0
13,4,18.0
13,5,31.0
13,6,25.0
13,7,29.0
13,8,12.0
13,9,41.0
13,10,29.0
13,11,16.0
14,0,41.0
14,1,34.0
14,2,30.0
14,3,13.0
14,4,38.0
14,5,31.0
14,6,18.0
14,7,33.0
14,8,42.0
14,9,19.0
14,10,17.0
14,11,42.0
15,0,26.0
15,1,6.0
15,2,41.0
15,3,39.0
15,4,27.0
15,5,14.0
15,6,36.0
15,7,27.0
15,8,11.0
15,9,36.0
15,10,34.0
15,11,19.0
16,0,16.0
16,1,33.0
16,2,42.0
16,3,13.0
16,4,34.0
16,5,41.0
16,6,39.0
16,7,23.0
16,8,49.0
16,9,66.0
16,10,24.0
16,11,36.0
17,0,65.0
17,1,55.0
17,2,49.0
17,3,68.0
17,4,81.0
17,5,45.0
17,6,32.0
17,7,102.0
17,8,140.0
17,9,160.0
17,10,129.0
17,11,98.0
18,0,49.0
18,1,112.0
18,2,129.0
18,3,176.0
18,4,162.0
18,5,121.0
18,6,114.0
18,7,118.0
18,8,128.0
18,9,119.0
18,10,123.0
18,11,61.0
19,0,88.0
19,1,81.0
19,2,80.0
19,3,63.0
19,4,60.0
19,5,69.0
19,6,13.0
19,7,47.0
19,8,36.0
19,9,63.0
19,10,40.0
19,11,55.0
20,0,13.0
20,1,39.0
20,2,33.0
20,3,39.0
20,4,31.0
20,5,45.0
20,6,14.0
20,7,33.0
20,8,46.0
20,9,49.0
20,10,40.0
20,11,10.0
21,0,34.0
21,1,30.0
21,2,19.0
21,3,40.0
21,4,28.0
21,5,10.0
21,6,43.0
21,7,6.0
21,8,43.0
21,9,35.0
21,10,8.0
21,11,25.0
22,0,37.0
22,1,6.0
22,2,24.0
22,3,7.0
22,4,18.0
22,5,46.0
22,6,1.0
22,7,28.0
22,8,20.0
22,9,0.0
22,10,18.0
22,11,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
