时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,2.0
5,9,4.0
5,10,5.0
5,11,7.0
6,0,9.0
6,1,19.0
6,2,17.0
6,3,16.0
6,4,19.0
6,5,38.0
6,6,30.0
6,7,52.0
6,8,43.0
6,9,52.0
6,10,64.0
6,11,64.0
7,0,70.0
7,1,69.0
7,2,79.0
7,3,78.0
7,4,111.0
7,5,94.0
7,6,131.0
7,7,171.0
7,8,180.0
7,9,152.0
7,10,218.0
7,11,249.0
8,0,251.0
8,1,230.0
8,2,303.0
8,3,353.0
8,4,362.0
8,5,285.0
8,6,304.0
8,7,360.0
8,8,365.0
8,9,326.0
8,10,400.0
8,11,225.0
9,0,229.0
9,1,222.0
9,2,203.0
9,3,220.0
9,4,182.0
9,5,158.0
9,6,131.0
9,7,156.0
9,8,150.0
9,9,146.0
9,10,133.0
9,11,141.0
10,0,132.0
10,1,116.0
10,2,142.0
10,3,120.0
10,4,80.0
10,5,85.0
10,6,107.0
10,7,121.0
10,8,74.0
10,9,109.0
10,10,124.0
10,11,102.0
11,0,83.0
11,1,109.0
11,2,74.0
11,3,90.0
11,4,129.0
11,5,103.0
11,6,99.0
11,7,96.0
11,8,122.0
11,9,83.0
11,10,90.0
11,11,115.0
12,0,133.0
12,1,81.0
12,2,89.0
12,3,151.0
12,4,102.0
12,5,102.0
12,6,130.0
12,7,135.0
12,8,108.0
12,9,83.0
12,10,117.0
12,11,123.0
13,0,95.0
13,1,134.0
13,2,137.0
13,3,116.0
13,4,108.0
13,5,159.0
13,6,124.0
13,7,105.0
13,8,164.0
13,9,155.0
13,10,124.0
13,11,103.0
14,0,117.0
14,1,119.0
14,2,81.0
14,3,121.0
14,4,120.0
14,5,113.0
14,6,99.0
14,7,109.0
14,8,90.0
14,9,112.0
14,10,127.0
14,11,118.0
15,0,113.0
15,1,97.0
15,2,143.0
15,3,98.0
15,4,106.0
15,5,147.0
15,6,116.0
15,7,122.0
15,8,109.0
15,9,159.0
15,10,119.0
15,11,90.0
16,0,154.0
16,1,133.0
16,2,140.0
16,3,99.0
16,4,147.0
16,5,153.0
16,6,99.0
16,7,192.0
16,8,188.0
16,9,168.0
16,10,137.0
16,11,181.0
17,0,211.0
17,1,226.0
17,2,243.0
17,3,259.0
17,4,224.0
17,5,266.0
17,6,217.0
17,7,202.0
17,8,349.0
17,9,309.0
17,10,273.0
17,11,256.0
18,0,244.0
18,1,286.0
18,2,367.0
18,3,373.0
18,4,345.0
18,5,330.0
18,6,276.0
18,7,249.0
18,8,356.0
18,9,313.0
18,10,285.0
18,11,292.0
19,0,260.0
19,1,167.0
19,2,216.0
19,3,221.0
19,4,237.0
19,5,201.0
19,6,185.0
19,7,149.0
19,8,173.0
19,9,190.0
19,10,164.0
19,11,134.0
20,0,136.0
20,1,118.0
20,2,139.0
20,3,138.0
20,4,141.0
20,5,127.0
20,6,127.0
20,7,106.0
20,8,141.0
20,9,163.0
20,10,99.0
20,11,125.0
21,0,130.0
21,1,109.0
21,2,149.0
21,3,141.0
21,4,101.0
21,5,137.0
21,6,102.0
21,7,135.0
21,8,130.0
21,9,72.0
21,10,113.0
21,11,108.0
22,0,113.0
22,1,143.0
22,2,143.0
22,3,79.0
22,4,78.0
22,5,26.0
22,6,26.0
22,7,33.0
22,8,6.0
22,9,0.0
22,10,0.0
22,11,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
