时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,1.0
5,6,12.0
5,7,32.0
5,8,65.0
5,9,46.0
5,10,72.0
5,11,62.0
6,0,83.0
6,1,66.0
6,2,110.0
6,3,96.0
6,4,128.0
6,5,154.0
6,6,175.0
6,7,168.0
6,8,219.0
6,9,179.0
6,10,235.0
6,11,259.0
7,0,270.0
7,1,322.0
7,2,340.0
7,3,470.0
7,4,416.0
7,5,543.0
7,6,591.0
7,7,639.0
7,8,733.0
7,9,730.0
7,10,892.0
7,11,838.0
8,0,1036.0
8,1,1060.0
8,2,868.0
8,3,887.0
8,4,895.0
8,5,912.0
8,6,816.0
8,7,764.0
8,8,617.0
8,9,678.0
8,10,511.0
8,11,477.0
9,0,468.0
9,1,497.0
9,2,366.0
9,3,279.0
9,4,276.0
9,5,293.0
9,6,268.0
9,7,216.0
9,8,248.0
9,9,198.0
9,10,184.0
9,11,179.0
10,0,157.0
10,1,154.0
10,2,165.0
10,3,167.0
10,4,92.0
10,5,163.0
10,6,171.0
10,7,110.0
10,8,93.0
10,9,141.0
10,10,149.0
10,11,96.0
11,0,123.0
11,1,157.0
11,2,120.0
11,3,92.0
11,4,118.0
11,5,134.0
11,6,70.0
11,7,126.0
11,8,118.0
11,9,115.0
11,10,110.0
11,11,146.0
12,0,150.0
12,1,71.0
12,2,165.0
12,3,142.0
12,4,127.0
12,5,106.0
12,6,131.0
12,7,130.0
12,8,62.0
12,9,127.0
12,10,163.0
12,11,117.0
13,0,99.0
13,1,160.0
13,2,99.0
13,3,65.0
13,4,111.0
13,5,139.0
13,6,104.0
13,7,100.0
13,8,131.0
13,9,133.0
13,10,56.0
13,11,124.0
14,0,117.0
14,1,85.0
14,2,93.0
14,3,124.0
14,4,143.0
14,5,65.0
14,6,137.0
14,7,118.0
14,8,105.0
14,9,69.0
14,10,130.0
14,11,124.0
15,0,42.0
15,1,153.0
15,2,150.0
15,3,95.0
15,4,117.0
15,5,158.0
15,6,156.0
15,7,62.0
15,8,149.0
15,9,185.0
15,10,90.0
15,11,99.0
16,0,197.0
16,1,171.0
16,2,68.0
16,3,212.0
16,4,215.0
16,5,124.0
16,6,163.0
16,7,226.0
16,8,229.0
16,9,78.0
16,10,261.0
16,11,244.0
17,0,153.0
17,1,139.0
17,2,272.0
17,3,292.0
17,4,92.0
17,5,360.0
17,6,273.0
17,7,358.0
17,8,413.0
17,9,340.0
17,10,203.0
17,11,545.0
18,0,442.0
18,1,547.0
18,2,460.0
18,3,522.0
18,4,563.0
18,5,647.0
18,6,599.0
18,7,628.0
18,8,636.0
18,9,493.0
18,10,248.0
18,11,686.0
19,0,728.0
19,1,635.0
19,2,593.0
19,3,445.0
19,4,207.0
19,5,467.0
19,6,490.0
19,7,405.0
19,8,408.0
19,9,310.0
19,10,182.0
19,11,216.0
20,0,348.0
20,1,272.0
20,2,275.0
20,3,275.0
20,4,86.0
20,5,198.0
20,6,231.0
20,7,286.0
20,8,269.0
20,9,212.0
20,10,57.0
20,11,234.0
21,0,262.0
21,1,101.0
21,2,209.0
21,3,301.0
21,4,42.0
21,5,268.0
21,6,261.0
21,7,62.0
21,8,270.0
21,9,109.0
21,10,225.0
21,11,246.0
22,0,22.0
22,1,271.0
22,2,224.0
22,3,14.0
22,4,229.0
22,5,68.0
22,6,184.0
22,7,204.0
22,8,64.0
22,9,115.0
22,10,46.0
22,11,86.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
