时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,1.0
5,9,11.0
5,10,18.0
5,11,22.0
6,0,26.0
6,1,20.0
6,2,31.0
6,3,92.0
6,4,30.0
6,5,37.0
6,6,57.0
6,7,31.0
6,8,93.0
6,9,85.0
6,10,46.0
6,11,104.0
7,0,103.0
7,1,87.0
7,2,165.0
7,3,98.0
7,4,128.0
7,5,142.0
7,6,147.0
7,7,181.0
7,8,134.0
7,9,149.0
7,10,181.0
7,11,92.0
8,0,133.0
8,1,151.0
8,2,117.0
8,3,95.0
8,4,184.0
8,5,121.0
8,6,65.0
8,7,57.0
8,8,50.0
8,9,111.0
8,10,56.0
8,11,78.0
9,0,44.0
9,1,66.0
9,2,68.0
9,3,23.0
9,4,38.0
9,5,47.0
9,6,48.0
9,7,53.0
9,8,35.0
9,9,46.0
9,10,15.0
9,11,28.0
10,0,39.0
10,1,25.0
10,2,48.0
10,3,45.0
10,4,32.0
10,5,44.0
10,6,13.0
10,7,59.0
10,8,36.0
10,9,26.0
10,10,25.0
10,11,30.0
11,0,58.0
11,1,33.0
11,2,12.0
11,3,33.0
11,4,44.0
11,5,21.0
11,6,42.0
11,7,21.0
11,8,38.0
11,9,29.0
11,10,20.0
11,11,26.0
12,0,43.0
12,1,30.0
12,2,35.0
12,3,37.0
12,4,44.0
12,5,33.0
12,6,23.0
12,7,45.0
12,8,33.0
12,9,11.0
12,10,40.0
12,11,10.0
13,0,37.0
13,1,65.0
13,2,13.0
13,3,24.0
13,4,42.0
13,5,22.0
13,6,22.0
13,7,16.0
13,8,38.0
13,9,19.0
13,10,23.0
13,11,30.0
14,0,49.0
14,1,20.0
14,2,39.0
14,3,6.0
14,4,36.0
14,5,38.0
14,6,5.0
14,7,29.0
14,8,48.0
14,9,27.0
14,10,14.0
14,11,10.0
15,0,29.0
15,1,39.0
15,2,13.0
15,3,28.0
15,4,42.0
15,5,10.0
15,6,45.0
15,7,34.0
15,8,22.0
15,9,62.0
15,10,12.0
15,11,35.0
16,0,50.0
16,1,43.0
16,2,54.0
16,3,18.0
16,4,57.0
16,5,80.0
16,6,32.0
16,7,66.0
16,8,32.0
16,9,66.0
16,10,84.0
16,11,51.0
17,0,41.0
17,1,45.0
17,2,83.0
17,3,106.0
17,4,62.0
17,5,57.0
17,6,42.0
17,7,73.0
17,8,81.0
17,9,90.0
17,10,81.0
17,11,92.0
18,0,60.0
18,1,87.0
18,2,86.0
18,3,58.0
18,4,55.0
18,5,89.0
18,6,48.0
18,7,76.0
18,8,149.0
18,9,73.0
18,10,72.0
18,11,35.0
19,0,72.0
19,1,76.0
19,2,54.0
19,3,83.0
19,4,98.0
19,5,73.0
19,6,73.0
19,7,33.0
19,8,41.0
19,9,33.0
19,10,41.0
19,11,36.0
20,0,31.0
20,1,42.0
20,2,45.0
20,3,25.0
20,4,19.0
20,5,10.0
20,6,31.0
20,7,27.0
20,8,3.0
20,9,35.0
20,10,26.0
20,11,27.0
21,0,1.0
21,1,27.0
21,2,36.0
21,3,2.0
21,4,46.0
21,5,21.0
21,6,1.0
21,7,27.0
21,8,2.0
21,9,4.0
21,10,47.0
21,11,1.0
22,0,31.0
22,1,2.0
22,2,1.0
22,3,58.0
22,4,2.0
22,5,24.0
22,6,20.0
22,7,15.0
22,8,0.0
22,9,0.0
22,10,0.0
22,11,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
