时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,2.0
5,8,1.0
5,9,3.0
5,10,5.0
5,11,6.0
6,0,8.0
6,1,7.0
6,2,4.0
6,3,4.0
6,4,0.0
6,5,30.0
6,6,16.0
6,7,15.0
6,8,12.0
6,9,22.0
6,10,51.0
6,11,15.0
7,0,36.0
7,1,21.0
7,2,6.0
7,3,24.0
7,4,52.0
7,5,43.0
7,6,37.0
7,7,1.0
7,8,43.0
7,9,76.0
7,10,18.0
7,11,48.0
8,0,13.0
8,1,11.0
8,2,23.0
8,3,26.0
8,4,16.0
8,5,55.0
8,6,11.0
8,7,40.0
8,8,34.0
8,9,10.0
8,10,42.0
8,11,13.0
9,0,21.0
9,1,31.0
9,2,12.0
9,3,34.0
9,4,2.0
9,5,59.0
9,6,10.0
9,7,57.0
9,8,6.0
9,9,35.0
9,10,55.0
9,11,9.0
10,0,26.0
10,1,63.0
10,2,40.0
10,3,26.0
10,4,27.0
10,5,23.0
10,6,17.0
10,7,8.0
10,8,60.0
10,9,33.0
10,10,23.0
10,11,42.0
11,0,38.0
11,1,25.0
11,2,58.0
11,3,61.0
11,4,4.0
11,5,69.0
11,6,52.0
11,7,13.0
11,8,74.0
11,9,15.0
11,10,42.0
11,11,62.0
12,0,21.0
12,1,82.0
12,2,66.0
12,3,44.0
12,4,52.0
12,5,16.0
12,6,55.0
12,7,57.0
12,8,45.0
12,9,79.0
12,10,36.0
12,11,4.0
13,0,73.0
13,1,18.0
13,2,57.0
13,3,36.0
13,4,43.0
13,5,40.0
13,6,52.0
13,7,13.0
13,8,67.0
13,9,15.0
13,10,42.0
13,11,25.0
14,0,30.0
14,1,30.0
14,2,49.0
14,3,8.0
14,4,64.0
14,5,17.0
14,6,59.0
14,7,45.0
14,8,37.0
14,9,34.0
14,10,66.0
14,11,20.0
15,0,36.0
15,1,24.0
15,2,67.0
15,3,32.0
15,4,56.0
15,5,31.0
15,6,43.0
15,7,14.0
15,8,54.0
15,9,19.0
15,10,54.0
15,11,13.0
16,0,72.0
16,1,31.0
16,2,47.0
16,3,35.0
16,4,63.0
16,5,54.0
16,6,21.0
16,7,30.0
16,8,68.0
16,9,41.0
16,10,51.0
16,11,41.0
17,0,42.0
17,1,38.0
17,2,31.0
17,3,54.0
17,4,37.0
17,5,28.0
17,6,9.0
17,7,43.0
17,8,35.0
17,9,20.0
17,10,51.0
17,11,20.0
18,0,11.0
18,1,50.0
18,2,21.0
18,3,20.0
18,4,43.0
18,5,23.0
18,6,44.0
18,7,18.0
18,8,31.0
18,9,16.0
18,10,42.0
18,11,26.0
19,0,26.0
19,1,40.0
19,2,19.0
19,3,18.0
19,4,18.0
19,5,13.0
19,6,20.0
19,7,18.0
19,8,11.0
19,9,28.0
19,10,20.0
19,11,16.0
20,0,32.0
20,1,18.0
20,2,28.0
20,3,9.0
20,4,16.0
20,5,13.0
20,6,24.0
20,7,20.0
20,8,14.0
20,9,14.0
20,10,2.0
20,11,8.0
21,0,11.0
21,1,14.0
21,2,21.0
21,3,14.0
21,4,9.0
21,5,1.0
21,6,13.0
21,7,6.0
21,8,2.0
21,9,7.0
21,10,8.0
21,11,6.0
22,0,0.0
22,1,9.0
22,2,0.0
22,3,0.0
22,4,16.0
22,5,0.0
22,6,2.0
22,7,14.0
22,8,0.0
22,9,12.0
22,10,0.0
22,11,6.0
23,0,5.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
