时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,1.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,21.0
5,10,34.0
5,11,34.0
6,0,61.0
6,1,39.0
6,2,44.0
6,3,70.0
6,4,40.0
6,5,28.0
6,6,73.0
6,7,115.0
6,8,47.0
6,9,28.0
6,10,100.0
6,11,81.0
7,0,124.0
7,1,59.0
7,2,89.0
7,3,80.0
7,4,83.0
7,5,52.0
7,6,48.0
7,7,109.0
7,8,71.0
7,9,42.0
7,10,71.0
7,11,44.0
8,0,36.0
8,1,59.0
8,2,50.0
8,3,63.0
8,4,29.0
8,5,18.0
8,6,66.0
8,7,56.0
8,8,22.0
8,9,36.0
8,10,25.0
8,11,33.0
9,0,22.0
9,1,50.0
9,2,20.0
9,3,20.0
9,4,17.0
9,5,27.0
9,6,24.0
9,7,22.0
9,8,18.0
9,9,39.0
9,10,24.0
9,11,9.0
10,0,34.0
10,1,29.0
10,2,22.0
10,3,32.0
10,4,21.0
10,5,16.0
10,6,21.0
10,7,13.0
10,8,7.0
10,9,38.0
10,10,7.0
10,11,23.0
11,0,16.0
11,1,16.0
11,2,19.0
11,3,23.0
11,4,24.0
11,5,12.0
11,6,20.0
11,7,26.0
11,8,21.0
11,9,16.0
11,10,33.0
11,11,8.0
12,0,18.0
12,1,34.0
12,2,9.0
12,3,22.0
12,4,15.0
12,5,12.0
12,6,26.0
12,7,14.0
12,8,12.0
12,9,40.0
12,10,11.0
12,11,21.0
13,0,17.0
13,1,13.0
13,2,17.0
13,3,13.0
13,4,16.0
13,5,26.0
13,6,12.0
13,7,21.0
13,8,41.0
13,9,5.0
13,10,17.0
13,11,8.0
14,0,23.0
14,1,13.0
14,2,11.0
14,3,20.0
14,4,24.0
14,5,14.0
14,6,25.0
14,7,17.0
14,8,10.0
14,9,18.0
14,10,12.0
14,11,26.0
15,0,17.0
15,1,7.0
15,2,15.0
15,3,27.0
15,4,22.0
15,5,21.0
15,6,38.0
15,7,29.0
15,8,22.0
15,9,5.0
15,10,28.0
15,11,29.0
16,0,21.0
16,1,54.0
16,2,7.0
16,3,60.0
16,4,21.0
16,5,12.0
16,6,33.0
16,7,17.0
16,8,34.0
16,9,29.0
16,10,11.0
16,11,47.0
17,0,31.0
17,1,54.0
17,2,33.0
17,3,65.0
17,4,9.0
17,5,12.0
17,6,84.0
17,7,48.0
17,8,31.0
17,9,28.0
17,10,50.0
17,11,68.0
18,0,37.0
18,1,50.0
18,2,54.0
18,3,36.0
18,4,40.0
18,5,51.0
18,6,66.0
18,7,39.0
18,8,38.0
18,9,58.0
18,10,47.0
18,11,54.0
19,0,50.0
19,1,10.0
19,2,100.0
19,3,16.0
19,4,28.0
19,5,47.0
19,6,26.0
19,7,59.0
19,8,17.0
19,9,36.0
19,10,44.0
19,11,37.0
20,0,30.0
20,1,36.0
20,2,24.0
20,3,28.0
20,4,19.0
20,5,26.0
20,6,18.0
20,7,13.0
20,8,15.0
20,9,4.0
20,10,21.0
20,11,17.0
21,0,3.0
21,1,28.0
21,2,16.0
21,3,25.0
21,4,8.0
21,5,9.0
21,6,28.0
21,7,2.0
21,8,18.0
21,9,17.0
21,10,1.0
21,11,25.0
22,0,1.0
22,1,1.0
22,2,11.0
22,3,2.0
22,4,0.0
22,5,23.0
22,6,0.0
22,7,0.0
22,8,24.0
22,9,14.0
22,10,15.0
22,11,0.0
23,0,2.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
