时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,12.0
5,10,12.0
5,11,34.0
6,0,24.0
6,1,38.0
6,2,98.0
6,3,56.0
6,4,58.0
6,5,91.0
6,6,94.0
6,7,102.0
6,8,117.0
6,9,184.0
6,10,153.0
6,11,82.0
7,0,190.0
7,1,65.0
7,2,119.0
7,3,217.0
7,4,312.0
7,5,311.0
7,6,311.0
7,7,308.0
7,8,227.0
7,9,357.0
7,10,256.0
7,11,341.0
8,0,214.0
8,1,348.0
8,2,351.0
8,3,407.0
8,4,257.0
8,5,328.0
8,6,285.0
8,7,225.0
8,8,421.0
8,9,161.0
8,10,287.0
8,11,154.0
9,0,145.0
9,1,174.0
9,2,92.0
9,3,86.0
9,4,114.0
9,5,87.0
9,6,69.0
9,7,46.0
9,8,74.0
9,9,79.0
9,10,40.0
9,11,75.0
10,0,41.0
10,1,54.0
10,2,88.0
10,3,36.0
10,4,67.0
10,5,71.0
10,6,30.0
10,7,39.0
10,8,65.0
10,9,69.0
10,10,74.0
10,11,36.0
11,0,67.0
11,1,75.0
11,2,39.0
11,3,54.0
11,4,23.0
11,5,80.0
11,6,46.0
11,7,80.0
11,8,36.0
11,9,48.0
11,10,87.0
11,11,89.0
12,0,41.0
12,1,65.0
12,2,51.0
12,3,53.0
12,4,77.0
12,5,64.0
12,6,28.0
12,7,69.0
12,8,40.0
12,9,88.0
12,10,64.0
12,11,49.0
13,0,87.0
13,1,71.0
13,2,37.0
13,3,60.0
13,4,29.0
13,5,93.0
13,6,36.0
13,7,15.0
13,8,71.0
13,9,49.0
13,10,72.0
13,11,57.0
14,0,22.0
14,1,78.0
14,2,49.0
14,3,51.0
14,4,67.0
14,5,68.0
14,6,47.0
14,7,69.0
14,8,29.0
14,9,74.0
14,10,43.0
14,11,53.0
15,0,63.0
15,1,58.0
15,2,42.0
15,3,83.0
15,4,46.0
15,5,70.0
15,6,80.0
15,7,48.0
15,8,61.0
15,9,97.0
15,10,44.0
15,11,78.0
16,0,47.0
16,1,86.0
16,2,83.0
16,3,72.0
16,4,94.0
16,5,71.0
16,6,107.0
16,7,105.0
16,8,173.0
16,9,56.0
16,10,141.0
16,11,58.0
17,0,217.0
17,1,209.0
17,2,144.0
17,3,189.0
17,4,228.0
17,5,134.0
17,6,149.0
17,7,183.0
17,8,180.0
17,9,187.0
17,10,236.0
17,11,176.0
18,0,143.0
18,1,201.0
18,2,198.0
18,3,182.0
18,4,216.0
18,5,318.0
18,6,226.0
18,7,144.0
18,8,38.0
18,9,231.0
18,10,202.0
18,11,173.0
19,0,154.0
19,1,221.0
19,2,184.0
19,3,224.0
19,4,145.0
19,5,147.0
19,6,140.0
19,7,139.0
19,8,99.0
19,9,103.0
19,10,160.0
19,11,78.0
20,0,83.0
20,1,65.0
20,2,8.0
20,3,122.0
20,4,101.0
20,5,24.0
20,6,90.0
20,7,67.0
20,8,87.0
20,9,20.0
20,10,86.0
20,11,74.0
21,0,11.0
21,1,107.0
21,2,108.0
21,3,15.0
21,4,91.0
21,5,24.0
21,6,13.0
21,7,102.0
21,8,4.0
21,9,86.0
21,10,68.0
21,11,42.0
22,0,87.0
22,1,17.0
22,2,44.0
22,3,39.0
22,4,2.0
22,5,1.0
22,6,0.0
22,7,4.0
22,8,0.0
22,9,0.0
22,10,1.0
22,11,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
