时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,1.0
5,0,1.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,7.0
5,6,5.0
5,7,32.0
5,8,70.0
5,9,69.0
5,10,85.0
5,11,103.0
6,0,89.0
6,1,152.0
6,2,102.0
6,3,164.0
6,4,173.0
6,5,216.0
6,6,205.0
6,7,224.0
6,8,225.0
6,9,249.0
6,10,276.0
6,11,339.0
7,0,360.0
7,1,325.0
7,2,335.0
7,3,367.0
7,4,362.0
7,5,323.0
7,6,271.0
7,7,366.0
7,8,289.0
7,9,337.0
7,10,404.0
7,11,252.0
8,0,294.0
8,1,270.0
8,2,270.0
8,3,260.0
8,4,226.0
8,5,238.0
8,6,193.0
8,7,204.0
8,8,225.0
8,9,144.0
8,10,177.0
8,11,146.0
9,0,148.0
9,1,118.0
9,2,136.0
9,3,154.0
9,4,92.0
9,5,127.0
9,6,107.0
9,7,115.0
9,8,118.0
9,9,75.0
9,10,115.0
9,11,110.0
10,0,108.0
10,1,106.0
10,2,51.0
10,3,115.0
10,4,133.0
10,5,76.0
10,6,114.0
10,7,81.0
10,8,71.0
10,9,78.0
10,10,90.0
10,11,123.0
11,0,44.0
11,1,139.0
11,2,135.0
11,3,55.0
11,4,87.0
11,5,59.0
11,6,115.0
11,7,123.0
11,8,73.0
11,9,113.0
11,10,97.0
11,11,144.0
12,0,95.0
12,1,49.0
12,2,110.0
12,3,120.0
12,4,74.0
12,5,175.0
12,6,130.0
12,7,77.0
12,8,145.0
12,9,77.0
12,10,117.0
12,11,100.0
13,0,61.0
13,1,141.0
13,2,120.0
13,3,62.0
13,4,128.0
13,5,67.0
13,6,120.0
13,7,137.0
13,8,57.0
13,9,202.0
13,10,88.0
13,11,63.0
14,0,132.0
14,1,86.0
14,2,84.0
14,3,110.0
14,4,42.0
14,5,125.0
14,6,107.0
14,7,63.0
14,8,100.0
14,9,80.0
14,10,85.0
14,11,107.0
15,0,67.0
15,1,126.0
15,2,115.0
15,3,57.0
15,4,150.0
15,5,192.0
15,6,69.0
15,7,87.0
15,8,97.0
15,9,128.0
15,10,79.0
15,11,117.0
16,0,152.0
16,1,121.0
16,2,117.0
16,3,160.0
16,4,111.0
16,5,191.0
16,6,95.0
16,7,197.0
16,8,134.0
16,9,176.0
16,10,190.0
16,11,157.0
17,0,205.0
17,1,105.0
17,2,270.0
17,3,334.0
17,4,144.0
17,5,256.0
17,6,164.0
17,7,231.0
17,8,196.0
17,9,193.0
17,10,206.0
17,11,213.0
18,0,212.0
18,1,226.0
18,2,287.0
18,3,212.0
18,4,167.0
18,5,178.0
18,6,281.0
18,7,117.0
18,8,204.0
18,9,308.0
18,10,254.0
18,11,372.0
19,0,82.0
19,1,115.0
19,2,190.0
19,3,174.0
19,4,182.0
19,5,189.0
19,6,183.0
19,7,223.0
19,8,221.0
19,9,168.0
19,10,129.0
19,11,151.0
20,0,131.0
20,1,113.0
20,2,103.0
20,3,184.0
20,4,105.0
20,5,93.0
20,6,18.0
20,7,95.0
20,8,80.0
20,9,71.0
20,10,118.0
20,11,103.0
21,0,96.0
21,1,25.0
21,2,97.0
21,3,93.0
21,4,25.0
21,5,96.0
21,6,94.0
21,7,39.0
21,8,53.0
21,9,85.0
21,10,17.0
21,11,104.0
22,0,8.0
22,1,4.0
22,2,111.0
22,3,12.0
22,4,0.0
22,5,105.0
22,6,93.0
22,7,6.0
22,8,62.0
22,9,34.0
22,10,0.0
22,11,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
