时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,0.0
5,11,7.0
6,0,17.0
6,1,13.0
6,2,38.0
6,3,83.0
6,4,22.0
6,5,26.0
6,6,29.0
6,7,42.0
6,8,56.0
6,9,55.0
6,10,54.0
6,11,49.0
7,0,35.0
7,1,111.0
7,2,63.0
7,3,61.0
7,4,50.0
7,5,54.0
7,6,60.0
7,7,65.0
7,8,58.0
7,9,48.0
7,10,40.0
7,11,31.0
8,0,36.0
8,1,21.0
8,2,59.0
8,3,47.0
8,4,12.0
8,5,21.0
8,6,19.0
8,7,20.0
8,8,21.0
8,9,11.0
8,10,7.0
8,11,4.0
9,0,17.0
9,1,10.0
9,2,12.0
9,3,7.0
9,4,6.0
9,5,11.0
9,6,6.0
9,7,6.0
9,8,9.0
9,9,9.0
9,10,10.0
9,11,5.0
10,0,5.0
10,1,3.0
10,2,6.0
10,3,8.0
10,4,5.0
10,5,12.0
10,6,9.0
10,7,8.0
10,8,15.0
10,9,8.0
10,10,14.0
10,11,11.0
11,0,6.0
11,1,3.0
11,2,10.0
11,3,10.0
11,4,7.0
11,5,11.0
11,6,0.0
11,7,3.0
11,8,5.0
11,9,8.0
11,10,14.0
11,11,12.0
12,0,3.0
12,1,16.0
12,2,2.0
12,3,6.0
12,4,5.0
12,5,4.0
12,6,11.0
12,7,12.0
12,8,9.0
12,9,9.0
12,10,5.0
12,11,8.0
13,0,9.0
13,1,5.0
13,2,13.0
13,3,7.0
13,4,9.0
13,5,8.0
13,6,3.0
13,7,3.0
13,8,7.0
13,9,3.0
13,10,7.0
13,11,13.0
14,0,3.0
14,1,13.0
14,2,9.0
14,3,10.0
14,4,4.0
14,5,6.0
14,6,11.0
14,7,8.0
14,8,4.0
14,9,7.0
14,10,4.0
14,11,11.0
15,0,11.0
15,1,5.0
15,2,17.0
15,3,9.0
15,4,10.0
15,5,2.0
15,6,2.0
15,7,12.0
15,8,7.0
15,9,11.0
15,10,9.0
15,11,5.0
16,0,16.0
16,1,11.0
16,2,16.0
16,3,17.0
16,4,23.0
16,5,5.0
16,6,14.0
16,7,4.0
16,8,24.0
16,9,5.0
16,10,9.0
16,11,15.0
17,0,18.0
17,1,10.0
17,2,19.0
17,3,7.0
17,4,36.0
17,5,14.0
17,6,33.0
17,7,18.0
17,8,23.0
17,9,21.0
17,10,17.0
17,11,20.0
18,0,22.0
18,1,19.0
18,2,18.0
18,3,28.0
18,4,32.0
18,5,23.0
18,6,16.0
18,7,42.0
18,8,7.0
18,9,22.0
18,10,24.0
18,11,24.0
19,0,5.0
19,1,36.0
19,2,13.0
19,3,26.0
19,4,14.0
19,5,20.0
19,6,12.0
19,7,18.0
19,8,12.0
19,9,20.0
19,10,17.0
19,11,9.0
20,0,12.0
20,1,12.0
20,2,9.0
20,3,9.0
20,4,6.0
20,5,7.0
20,6,6.0
20,7,6.0
20,8,14.0
20,9,1.0
20,10,4.0
20,11,3.0
21,0,8.0
21,1,1.0
21,2,8.0
21,3,7.0
21,4,12.0
21,5,0.0
21,6,10.0
21,7,1.0
21,8,6.0
21,9,0.0
21,10,11.0
21,11,0.0
22,0,1.0
22,1,8.0
22,2,0.0
22,3,8.0
22,4,0.0
22,5,0.0
22,6,8.0
22,7,5.0
22,8,0.0
22,9,6.0
22,10,1.0
22,11,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
