时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,4.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,6.0
5,8,37.0
5,9,61.0
5,10,51.0
5,11,92.0
6,0,64.0
6,1,67.0
6,2,47.0
6,3,90.0
6,4,106.0
6,5,107.0
6,6,69.0
6,7,116.0
6,8,150.0
6,9,127.0
6,10,163.0
6,11,172.0
7,0,106.0
7,1,211.0
7,2,164.0
7,3,238.0
7,4,153.0
7,5,278.0
7,6,184.0
7,7,339.0
7,8,171.0
7,9,304.0
7,10,198.0
7,11,166.0
8,0,242.0
8,1,335.0
8,2,144.0
8,3,155.0
8,4,289.0
8,5,171.0
8,6,212.0
8,7,83.0
8,8,210.0
8,9,145.0
8,10,103.0
8,11,122.0
9,0,92.0
9,1,52.0
9,2,94.0
9,3,83.0
9,4,87.0
9,5,52.0
9,6,66.0
9,7,59.0
9,8,87.0
9,9,47.0
9,10,87.0
9,11,50.0
10,0,28.0
10,1,59.0
10,2,88.0
10,3,21.0
10,4,65.0
10,5,10.0
10,6,61.0
10,7,51.0
10,8,23.0
10,9,40.0
10,10,32.0
10,11,66.0
11,0,46.0
11,1,21.0
11,2,55.0
11,3,68.0
11,4,50.0
11,5,55.0
11,6,31.0
11,7,35.0
11,8,56.0
11,9,68.0
11,10,26.0
11,11,31.0
12,0,52.0
12,1,57.0
12,2,32.0
12,3,47.0
12,4,68.0
12,5,8.0
12,6,47.0
12,7,52.0
12,8,31.0
12,9,59.0
12,10,32.0
12,11,58.0
13,0,61.0
13,1,13.0
13,2,65.0
13,3,68.0
13,4,8.0
13,5,46.0
13,6,46.0
13,7,82.0
13,8,21.0
13,9,34.0
13,10,55.0
13,11,48.0
14,0,18.0
14,1,45.0
14,2,19.0
14,3,58.0
14,4,38.0
14,5,15.0
14,6,67.0
14,7,35.0
14,8,40.0
14,9,56.0
14,10,30.0
14,11,50.0
15,0,79.0
15,1,21.0
15,2,39.0
15,3,105.0
15,4,22.0
15,5,34.0
15,6,12.0
15,7,65.0
15,8,51.0
15,9,56.0
15,10,77.0
15,11,90.0
16,0,21.0
16,1,98.0
16,2,39.0
16,3,83.0
16,4,28.0
16,5,99.0
16,6,52.0
16,7,84.0
16,8,99.0
16,9,96.0
16,10,93.0
16,11,43.0
17,0,39.0
17,1,197.0
17,2,105.0
17,3,165.0
17,4,71.0
17,5,123.0
17,6,106.0
17,7,126.0
17,8,153.0
17,9,163.0
17,10,171.0
17,11,150.0
18,0,168.0
18,1,130.0
18,2,111.0
18,3,119.0
18,4,154.0
18,5,91.0
18,6,140.0
18,7,286.0
18,8,141.0
18,9,236.0
18,10,76.0
18,11,64.0
19,0,128.0
19,1,107.0
19,2,157.0
19,3,126.0
19,4,149.0
19,5,160.0
19,6,131.0
19,7,96.0
19,8,99.0
19,9,84.0
19,10,96.0
19,11,67.0
20,0,69.0
20,1,92.0
20,2,74.0
20,3,52.0
20,4,10.0
20,5,91.0
20,6,55.0
20,7,18.0
20,8,68.0
20,9,51.0
20,10,70.0
20,11,5.0
21,0,58.0
21,1,52.0
21,2,4.0
21,3,68.0
21,4,63.0
21,5,3.0
21,6,53.0
21,7,27.0
21,8,2.0
21,9,74.0
21,10,5.0
21,11,78.0
22,0,2.0
22,1,3.0
22,2,58.0
22,3,65.0
22,4,1.0
22,5,39.0
22,6,20.0
22,7,2.0
22,8,0.0
22,9,0.0
22,10,0.0
22,11,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
