时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,1.0
5,8,0.0
5,9,10.0
5,10,10.0
5,11,14.0
6,0,5.0
6,1,5.0
6,2,15.0
6,3,26.0
6,4,9.0
6,5,11.0
6,6,14.0
6,7,53.0
6,8,8.0
6,9,106.0
6,10,62.0
6,11,53.0
7,0,125.0
7,1,22.0
7,2,76.0
7,3,35.0
7,4,94.0
7,5,120.0
7,6,50.0
7,7,56.0
7,8,85.0
7,9,41.0
7,10,39.0
7,11,78.0
8,0,48.0
8,1,66.0
8,2,84.0
8,3,62.0
8,4,78.0
8,5,78.0
8,6,74.0
8,7,41.0
8,8,73.0
8,9,70.0
8,10,73.0
8,11,71.0
9,0,47.0
9,1,70.0
9,2,27.0
9,3,61.0
9,4,38.0
9,5,51.0
9,6,24.0
9,7,48.0
9,8,38.0
9,9,24.0
9,10,61.0
9,11,57.0
10,0,54.0
10,1,12.0
10,2,41.0
10,3,61.0
10,4,24.0
10,5,59.0
10,6,37.0
10,7,65.0
10,8,52.0
10,9,32.0
10,10,14.0
10,11,56.0
11,0,15.0
11,1,34.0
11,2,42.0
11,3,27.0
11,4,35.0
11,5,52.0
11,6,60.0
11,7,46.0
11,8,8.0
11,9,61.0
11,10,39.0
11,11,22.0
12,0,74.0
12,1,39.0
12,2,38.0
12,3,78.0
12,4,40.0
12,5,56.0
12,6,46.0
12,7,21.0
12,8,41.0
12,9,41.0
12,10,26.0
12,11,68.0
13,0,23.0
13,1,48.0
13,2,51.0
13,3,14.0
13,4,54.0
13,5,41.0
13,6,23.0
13,7,78.0
13,8,14.0
13,9,52.0
13,10,40.0
13,11,18.0
14,0,80.0
14,1,57.0
14,2,32.0
14,3,18.0
14,4,29.0
14,5,41.0
14,6,50.0
14,7,19.0
14,8,64.0
14,9,49.0
14,10,27.0
14,11,70.0
15,0,28.0
15,1,76.0
15,2,42.0
15,3,7.0
15,4,64.0
15,5,47.0
15,6,34.0
15,7,47.0
15,8,100.0
15,9,98.0
15,10,127.0
15,11,54.0
16,0,93.0
16,1,38.0
16,2,97.0
16,3,63.0
16,4,38.0
16,5,59.0
16,6,59.0
16,7,56.0
16,8,92.0
16,9,35.0
16,10,83.0
16,11,54.0
17,0,37.0
17,1,43.0
17,2,31.0
17,3,58.0
17,4,65.0
17,5,49.0
17,6,75.0
17,7,31.0
17,8,24.0
17,9,46.0
17,10,40.0
17,11,25.0
18,0,51.0
18,1,45.0
18,2,42.0
18,3,45.0
18,4,47.0
18,5,47.0
18,6,19.0
18,7,42.0
18,8,43.0
18,9,51.0
18,10,41.0
18,11,46.0
19,0,24.0
19,1,37.0
19,2,48.0
19,3,81.0
19,4,22.0
19,5,6.0
19,6,15.0
19,7,27.0
19,8,23.0
19,9,35.0
19,10,22.0
19,11,32.0
20,0,18.0
20,1,28.0
20,2,25.0
20,3,27.0
20,4,20.0
20,5,15.0
20,6,18.0
20,7,28.0
20,8,22.0
20,9,21.0
20,10,16.0
20,11,5.0
21,0,15.0
21,1,23.0
21,2,6.0
21,3,12.0
21,4,8.0
21,5,26.0
21,6,15.0
21,7,8.0
21,8,13.0
21,9,1.0
21,10,18.0
21,11,5.0
22,0,0.0
22,1,1.0
22,2,17.0
22,3,0.0
22,4,0.0
22,5,18.0
22,6,0.0
22,7,14.0
22,8,0.0
22,9,0.0
22,10,13.0
22,11,8.0
23,0,0.0
23,1,11.0
23,2,3.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
