时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,2.0
5,9,8.0
5,10,14.0
5,11,21.0
6,0,27.0
6,1,25.0
6,2,22.0
6,3,23.0
6,4,24.0
6,5,36.0
6,6,16.0
6,7,47.0
6,8,35.0
6,9,28.0
6,10,67.0
6,11,33.0
7,0,77.0
7,1,63.0
7,2,50.0
7,3,85.0
7,4,83.0
7,5,118.0
7,6,67.0
7,7,124.0
7,8,64.0
7,9,148.0
7,10,109.0
7,11,65.0
8,0,113.0
8,1,84.0
8,2,77.0
8,3,62.0
8,4,107.0
8,5,44.0
8,6,58.0
8,7,66.0
8,8,74.0
8,9,23.0
8,10,31.0
8,11,45.0
9,0,17.0
9,1,21.0
9,2,34.0
9,3,13.0
9,4,8.0
9,5,28.0
9,6,17.0
9,7,16.0
9,8,13.0
9,9,18.0
9,10,6.0
9,11,10.0
10,0,18.0
10,1,19.0
10,2,9.0
10,3,6.0
10,4,23.0
10,5,13.0
10,6,1.0
10,7,17.0
10,8,11.0
10,9,17.0
10,10,11.0
10,11,6.0
11,0,15.0
11,1,15.0
11,2,2.0
11,3,8.0
11,4,22.0
11,5,15.0
11,6,10.0
11,7,7.0
11,8,20.0
11,9,16.0
11,10,6.0
11,11,12.0
12,0,19.0
12,1,16.0
12,2,14.0
12,3,11.0
12,4,23.0
12,5,17.0
12,6,6.0
12,7,13.0
12,8,8.0
12,9,3.0
12,10,20.0
12,11,11.0
13,0,6.0
13,1,19.0
13,2,7.0
13,3,7.0
13,4,9.0
13,5,9.0
13,6,15.0
13,7,0.0
13,8,10.0
13,9,9.0
13,10,1.0
13,11,14.0
14,0,20.0
14,1,3.0
14,2,12.0
14,3,10.0
14,4,7.0
14,5,16.0
14,6,10.0
14,7,12.0
14,8,17.0
14,9,2.0
14,10,15.0
14,11,12.0
15,0,9.0
15,1,19.0
15,2,10.0
15,3,2.0
15,4,7.0
15,5,17.0
15,6,10.0
15,7,3.0
15,8,20.0
15,9,8.0
15,10,13.0
15,11,18.0
16,0,33.0
16,1,3.0
16,2,25.0
16,3,20.0
16,4,16.0
16,5,7.0
16,6,33.0
16,7,24.0
16,8,40.0
16,9,16.0
16,10,29.0
16,11,0.0
17,0,24.0
17,1,6.0
17,2,42.0
17,3,51.0
17,4,45.0
17,5,40.0
17,6,29.0
17,7,52.0
17,8,27.0
17,9,34.0
17,10,54.0
17,11,38.0
18,0,73.0
18,1,34.0
18,2,35.0
18,3,74.0
18,4,31.0
18,5,37.0
18,6,49.0
18,7,55.0
18,8,88.0
18,9,3.0
18,10,64.0
18,11,57.0
19,0,44.0
19,1,50.0
19,2,44.0
19,3,43.0
19,4,48.0
19,5,53.0
19,6,58.0
19,7,47.0
19,8,38.0
19,9,40.0
19,10,29.0
19,11,28.0
20,0,28.0
20,1,20.0
20,2,23.0
20,3,18.0
20,4,34.0
20,5,6.0
20,6,36.0
20,7,19.0
20,8,22.0
20,9,16.0
20,10,17.0
20,11,21.0
21,0,31.0
21,1,2.0
21,2,26.0
21,3,9.0
21,4,27.0
21,5,2.0
21,6,29.0
21,7,6.0
21,8,40.0
21,9,1.0
21,10,26.0
21,11,0.0
22,0,0.0
22,1,33.0
22,2,23.0
22,3,6.0
22,4,10.0
22,5,11.0
22,6,0.0
22,7,0.0
22,8,0.0
22,9,0.0
22,10,0.0
22,11,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
