时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,13.0
5,10,42.0
5,11,67.0
6,0,148.0
6,1,46.0
6,2,67.0
6,3,99.0
6,4,53.0
6,5,111.0
6,6,150.0
6,7,128.0
6,8,200.0
6,9,173.0
6,10,198.0
6,11,156.0
7,0,155.0
7,1,270.0
7,2,257.0
7,3,278.0
7,4,455.0
7,5,364.0
7,6,418.0
7,7,376.0
7,8,469.0
7,9,489.0
7,10,464.0
7,11,443.0
8,0,427.0
8,1,349.0
8,2,396.0
8,3,377.0
8,4,328.0
8,5,282.0
8,6,357.0
8,7,244.0
8,8,334.0
8,9,212.0
8,10,209.0
8,11,207.0
9,0,164.0
9,1,180.0
9,2,104.0
9,3,117.0
9,4,89.0
9,5,89.0
9,6,77.0
9,7,66.0
9,8,78.0
9,9,44.0
9,10,76.0
9,11,27.0
10,0,86.0
10,1,78.0
10,2,44.0
10,3,69.0
10,4,56.0
10,5,46.0
10,6,88.0
10,7,30.0
10,8,68.0
10,9,63.0
10,10,36.0
10,11,66.0
11,0,30.0
11,1,22.0
11,2,63.0
11,3,30.0
11,4,39.0
11,5,52.0
11,6,69.0
11,7,23.0
11,8,34.0
11,9,59.0
11,10,60.0
11,11,31.0
12,0,87.0
12,1,49.0
12,2,31.0
12,3,60.0
12,4,59.0
12,5,41.0
12,6,63.0
12,7,43.0
12,8,66.0
12,9,62.0
12,10,34.0
12,11,45.0
13,0,54.0
13,1,26.0
13,2,55.0
13,3,65.0
13,4,25.0
13,5,50.0
13,6,36.0
13,7,62.0
13,8,41.0
13,9,50.0
13,10,32.0
13,11,12.0
14,0,81.0
14,1,66.0
14,2,19.0
14,3,51.0
14,4,37.0
14,5,17.0
14,6,62.0
14,7,13.0
14,8,45.0
14,9,68.0
14,10,31.0
14,11,57.0
15,0,64.0
15,1,33.0
15,2,15.0
15,3,29.0
15,4,81.0
15,5,47.0
15,6,26.0
15,7,76.0
15,8,33.0
15,9,84.0
15,10,58.0
15,11,27.0
16,0,62.0
16,1,62.0
16,2,57.0
16,3,84.0
16,4,28.0
16,5,84.0
16,6,25.0
16,7,101.0
16,8,102.0
16,9,81.0
16,10,17.0
16,11,153.0
17,0,33.0
17,1,127.0
17,2,109.0
17,3,95.0
17,4,99.0
17,5,138.0
17,6,128.0
17,7,168.0
17,8,100.0
17,9,148.0
17,10,146.0
17,11,180.0
18,0,154.0
18,1,133.0
18,2,236.0
18,3,253.0
18,4,175.0
18,5,196.0
18,6,302.0
18,7,252.0
18,8,195.0
18,9,20.0
18,10,330.0
18,11,292.0
19,0,297.0
19,1,354.0
19,2,364.0
19,3,260.0
19,4,261.0
19,5,287.0
19,6,246.0
19,7,255.0
19,8,264.0
19,9,221.0
19,10,201.0
19,11,207.0
20,0,122.0
20,1,156.0
20,2,125.0
20,3,10.0
20,4,239.0
20,5,161.0
20,6,110.0
20,7,97.0
20,8,101.0
20,9,170.0
20,10,147.0
20,11,28.0
21,0,120.0
21,1,49.0
21,2,163.0
21,3,168.0
21,4,10.0
21,5,226.0
21,6,11.0
21,7,50.0
21,8,189.0
21,9,55.0
21,10,188.0
21,11,79.0
22,0,147.0
22,1,184.0
22,2,10.0
22,3,126.0
22,4,71.0
22,5,2.0
22,6,2.0
22,7,0.0
22,8,3.0
22,9,0.0
22,10,0.0
22,11,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
