时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,1.0
4,4,1.0
4,5,1.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,30.0
4,10,38.0
4,11,42.0
5,0,55.0
5,1,17.0
5,2,25.0
5,3,44.0
5,4,15.0
5,5,22.0
5,6,43.0
5,7,44.0
5,8,67.0
5,9,67.0
5,10,55.0
5,11,41.0
6,0,37.0
6,1,28.0
6,2,39.0
6,3,29.0
6,4,86.0
6,5,87.0
6,6,80.0
6,7,125.0
6,8,137.0
6,9,112.0
6,10,220.0
6,11,227.0
7,0,221.0
7,1,275.0
7,2,226.0
7,3,194.0
7,4,192.0
7,5,160.0
7,6,326.0
7,7,440.0
7,8,412.0
7,9,233.0
7,10,459.0
7,11,355.0
8,0,379.0
8,1,554.0
8,2,396.0
8,3,328.0
8,4,425.0
8,5,451.0
8,6,409.0
8,7,745.0
8,8,496.0
8,9,355.0
8,10,321.0
8,11,277.0
9,0,258.0
9,1,303.0
9,2,408.0
9,3,243.0
9,4,209.0
9,5,194.0
9,6,289.0
9,7,272.0
9,8,177.0
9,9,230.0
9,10,169.0
9,11,155.0
10,0,170.0
10,1,216.0
10,2,189.0
10,3,187.0
10,4,191.0
10,5,264.0
10,6,169.0
10,7,166.0
10,8,166.0
10,9,123.0
10,10,122.0
10,11,125.0
11,0,174.0
11,1,162.0
11,2,117.0
11,3,118.0
11,4,97.0
11,5,128.0
11,6,130.0
11,7,104.0
11,8,95.0
11,9,114.0
11,10,103.0
11,11,138.0
12,0,133.0
12,1,124.0
12,2,111.0
12,3,88.0
12,4,108.0
12,5,116.0
12,6,146.0
12,7,139.0
12,8,153.0
12,9,106.0
12,10,100.0
12,11,143.0
13,0,145.0
13,1,132.0
13,2,124.0
13,3,119.0
13,4,75.0
13,5,100.0
13,6,92.0
13,7,88.0
13,8,145.0
13,9,111.0
13,10,99.0
13,11,102.0
14,0,199.0
14,1,170.0
14,2,109.0
14,3,124.0
14,4,103.0
14,5,102.0
14,6,170.0
14,7,135.0
14,8,110.0
14,9,98.0
14,10,181.0
14,11,157.0
15,0,125.0
15,1,126.0
15,2,176.0
15,3,111.0
15,4,147.0
15,5,152.0
15,6,162.0
15,7,122.0
15,8,140.0
15,9,154.0
15,10,98.0
15,11,140.0
16,0,192.0
16,1,184.0
16,2,158.0
16,3,144.0
16,4,146.0
16,5,181.0
16,6,181.0
16,7,151.0
16,8,144.0
16,9,190.0
16,10,200.0
16,11,178.0
17,0,273.0
17,1,207.0
17,2,263.0
17,3,289.0
17,4,297.0
17,5,168.0
17,6,276.0
17,7,298.0
17,8,351.0
17,9,273.0
17,10,375.0
17,11,408.0
18,0,235.0
18,1,280.0
18,2,421.0
18,3,271.0
18,4,297.0
18,5,319.0
18,6,244.0
18,7,419.0
18,8,265.0
18,9,367.0
18,10,268.0
18,11,231.0
19,0,245.0
19,1,247.0
19,2,236.0
19,3,248.0
19,4,217.0
19,5,158.0
19,6,198.0
19,7,140.0
19,8,141.0
19,9,127.0
19,10,159.0
19,11,182.0
20,0,132.0
20,1,136.0
20,2,136.0
20,3,122.0
20,4,99.0
20,5,104.0
20,6,100.0
20,7,107.0
20,8,78.0
20,9,83.0
20,10,81.0
20,11,143.0
21,0,86.0
21,1,88.0
21,2,115.0
21,3,73.0
21,4,76.0
21,5,76.0
21,6,79.0
21,7,116.0
21,8,79.0
21,9,90.0
21,10,86.0
21,11,83.0
22,0,45.0
22,1,49.0
22,2,56.0
22,3,94.0
22,4,45.0
22,5,58.0
22,6,41.0
22,7,50.0
22,8,21.0
22,9,17.0
22,10,26.0
22,11,26.0
23,0,9.0
23,1,4.0
23,2,11.0
23,3,7.0
23,4,5.0
23,5,7.0
23,6,3.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
