时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,1.0
5,2,29.0
5,3,30.0
5,4,64.0
5,5,45.0
5,6,26.0
5,7,35.0
5,8,14.0
5,9,15.0
5,10,13.0
5,11,17.0
6,0,80.0
6,1,19.0
6,2,86.0
6,3,96.0
6,4,135.0
6,5,116.0
6,6,141.0
6,7,132.0
6,8,179.0
6,9,175.0
6,10,225.0
6,11,297.0
7,0,222.0
7,1,315.0
7,2,219.0
7,3,306.0
7,4,425.0
7,5,327.0
7,6,658.0
7,7,521.0
7,8,681.0
7,9,883.0
7,10,864.0
7,11,761.0
8,0,698.0
8,1,863.0
8,2,1143.0
8,3,1025.0
8,4,1273.0
8,5,1046.0
8,6,1049.0
8,7,1131.0
8,8,1371.0
8,9,1178.0
8,10,778.0
8,11,971.0
9,0,701.0
9,1,819.0
9,2,785.0
9,3,715.0
9,4,768.0
9,5,447.0
9,6,654.0
9,7,594.0
9,8,557.0
9,9,411.0
9,10,513.0
9,11,281.0
10,0,550.0
10,1,343.0
10,2,389.0
10,3,374.0
10,4,386.0
10,5,503.0
10,6,318.0
10,7,337.0
10,8,378.0
10,9,368.0
10,10,475.0
10,11,320.0
11,0,246.0
11,1,348.0
11,2,344.0
11,3,271.0
11,4,209.0
11,5,294.0
11,6,397.0
11,7,279.0
11,8,361.0
11,9,271.0
11,10,391.0
11,11,347.0
12,0,211.0
12,1,323.0
12,2,327.0
12,3,342.0
12,4,250.0
12,5,287.0
12,6,375.0
12,7,310.0
12,8,285.0
12,9,346.0
12,10,395.0
12,11,345.0
13,0,286.0
13,1,325.0
13,2,346.0
13,3,354.0
13,4,344.0
13,5,255.0
13,6,312.0
13,7,330.0
13,8,370.0
13,9,367.0
13,10,331.0
13,11,339.0
14,0,242.0
14,1,328.0
14,2,299.0
14,3,397.0
14,4,338.0
14,5,292.0
14,6,297.0
14,7,337.0
14,8,310.0
14,9,356.0
14,10,323.0
14,11,410.0
15,0,294.0
15,1,322.0
15,2,248.0
15,3,229.0
15,4,477.0
15,5,337.0
15,6,374.0
15,7,287.0
15,8,391.0
15,9,401.0
15,10,247.0
15,11,394.0
16,0,324.0
16,1,399.0
16,2,316.0
16,3,349.0
16,4,392.0
16,5,347.0
16,6,494.0
16,7,320.0
16,8,373.0
16,9,487.0
16,10,414.0
16,11,475.0
17,0,424.0
17,1,634.0
17,2,588.0
17,3,549.0
17,4,583.0
17,5,558.0
17,6,535.0
17,7,601.0
17,8,843.0
17,9,818.0
17,10,864.0
17,11,882.0
18,0,801.0
18,1,753.0
18,2,843.0
18,3,875.0
18,4,814.0
18,5,698.0
18,6,906.0
18,7,830.0
18,8,736.0
18,9,737.0
18,10,519.0
18,11,538.0
19,0,533.0
19,1,405.0
19,2,437.0
19,3,592.0
19,4,307.0
19,5,442.0
19,6,383.0
19,7,313.0
19,8,304.0
19,9,419.0
19,10,275.0
19,11,265.0
20,0,178.0
20,1,240.0
20,2,219.0
20,3,204.0
20,4,189.0
20,5,350.0
20,6,194.0
20,7,197.0
20,8,195.0
20,9,196.0
20,10,189.0
20,11,124.0
21,0,146.0
21,1,174.0
21,2,190.0
21,3,225.0
21,4,229.0
21,5,193.0
21,6,181.0
21,7,130.0
21,8,198.0
21,9,136.0
21,10,173.0
21,11,190.0
22,0,135.0
22,1,228.0
22,2,173.0
22,3,143.0
22,4,216.0
22,5,127.0
22,6,154.0
22,7,101.0
22,8,79.0
22,9,88.0
22,10,81.0
22,11,56.0
23,0,44.0
23,1,35.0
23,2,2.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
