时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,1.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,1.0
5,7,2.0
5,8,8.0
5,9,11.0
5,10,19.0
5,11,25.0
6,0,22.0
6,1,38.0
6,2,34.0
6,3,41.0
6,4,47.0
6,5,72.0
6,6,52.0
6,7,161.0
6,8,125.0
6,9,103.0
6,10,157.0
6,11,150.0
7,0,229.0
7,1,140.0
7,2,184.0
7,3,260.0
7,4,240.0
7,5,219.0
7,6,304.0
7,7,300.0
7,8,382.0
7,9,364.0
7,10,427.0
7,11,442.0
8,0,474.0
8,1,430.0
8,2,815.0
8,3,609.0
8,4,695.0
8,5,815.0
8,6,709.0
8,7,1151.0
8,8,909.0
8,9,869.0
8,10,799.0
8,11,495.0
9,0,505.0
9,1,653.0
9,2,313.0
9,3,522.0
9,4,632.0
9,5,503.0
9,6,344.0
9,7,421.0
9,8,387.0
9,9,114.0
9,10,395.0
9,11,244.0
10,0,112.0
10,1,250.0
10,2,156.0
10,3,203.0
10,4,141.0
10,5,155.0
10,6,120.0
10,7,139.0
10,8,62.0
10,9,199.0
10,10,90.0
10,11,134.0
11,0,103.0
11,1,108.0
11,2,116.0
11,3,52.0
11,4,129.0
11,5,93.0
11,6,123.0
11,7,97.0
11,8,59.0
11,9,159.0
11,10,86.0
11,11,132.0
12,0,91.0
12,1,72.0
12,2,154.0
12,3,49.0
12,4,120.0
12,5,116.0
12,6,118.0
12,7,130.0
12,8,64.0
12,9,135.0
12,10,83.0
12,11,110.0
13,0,115.0
13,1,54.0
13,2,180.0
13,3,61.0
13,4,145.0
13,5,90.0
13,6,122.0
13,7,117.0
13,8,68.0
13,9,145.0
13,10,101.0
13,11,106.0
14,0,183.0
14,1,51.0
14,2,178.0
14,3,77.0
14,4,119.0
14,5,97.0
14,6,50.0
14,7,189.0
14,8,57.0
14,9,157.0
14,10,118.0
14,11,103.0
15,0,136.0
15,1,59.0
15,2,159.0
15,3,102.0
15,4,146.0
15,5,117.0
15,6,62.0
15,7,169.0
15,8,74.0
15,9,162.0
15,10,119.0
15,11,123.0
16,0,154.0
16,1,78.0
16,2,193.0
16,3,96.0
16,4,158.0
16,5,133.0
16,6,79.0
16,7,188.0
16,8,111.0
16,9,239.0
16,10,128.0
16,11,301.0
17,0,214.0
17,1,276.0
17,2,310.0
17,3,378.0
17,4,357.0
17,5,323.0
17,6,283.0
17,7,332.0
17,8,414.0
17,9,639.0
17,10,647.0
17,11,471.0
18,0,563.0
18,1,381.0
18,2,532.0
18,3,711.0
18,4,656.0
18,5,692.0
18,6,577.0
18,7,523.0
18,8,512.0
18,9,453.0
18,10,486.0
18,11,394.0
19,0,424.0
19,1,342.0
19,2,329.0
19,3,343.0
19,4,219.0
19,5,358.0
19,6,221.0
19,7,226.0
19,8,217.0
19,9,188.0
19,10,242.0
19,11,139.0
20,0,162.0
20,1,155.0
20,2,136.0
20,3,121.0
20,4,182.0
20,5,139.0
20,6,152.0
20,7,166.0
20,8,87.0
20,9,177.0
20,10,144.0
20,11,76.0
21,0,181.0
21,1,138.0
21,2,105.0
21,3,163.0
21,4,97.0
21,5,163.0
21,6,139.0
21,7,83.0
21,8,131.0
21,9,136.0
21,10,82.0
21,11,115.0
22,0,57.0
22,1,92.0
22,2,97.0
22,3,29.0
22,4,89.0
22,5,44.0
22,6,75.0
22,7,51.0
22,8,11.0
22,9,54.0
22,10,42.0
22,11,6.0
23,0,29.0
23,1,23.0
23,2,25.0
23,3,2.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
