时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,2.0
5,5,6.0
5,6,3.0
5,7,2.0
5,8,14.0
5,9,21.0
5,10,23.0
5,11,21.0
6,0,35.0
6,1,39.0
6,2,55.0
6,3,38.0
6,4,69.0
6,5,55.0
6,6,119.0
6,7,96.0
6,8,230.0
6,9,176.0
6,10,131.0
6,11,364.0
7,0,109.0
7,1,411.0
7,2,217.0
7,3,152.0
7,4,212.0
7,5,275.0
7,6,235.0
7,7,251.0
7,8,282.0
7,9,363.0
7,10,329.0
7,11,377.0
8,0,315.0
8,1,468.0
8,2,428.0
8,3,481.0
8,4,403.0
8,5,437.0
8,6,381.0
8,7,444.0
8,8,426.0
8,9,376.0
8,10,391.0
8,11,348.0
9,0,214.0
9,1,279.0
9,2,279.0
9,3,299.0
9,4,262.0
9,5,196.0
9,6,208.0
9,7,221.0
9,8,148.0
9,9,201.0
9,10,136.0
9,11,100.0
10,0,175.0
10,1,149.0
10,2,131.0
10,3,97.0
10,4,123.0
10,5,126.0
10,6,109.0
10,7,59.0
10,8,149.0
10,9,97.0
10,10,145.0
10,11,71.0
11,0,86.0
11,1,103.0
11,2,50.0
11,3,127.0
11,4,76.0
11,5,110.0
11,6,102.0
11,7,65.0
11,8,133.0
11,9,90.0
11,10,102.0
11,11,94.0
12,0,42.0
12,1,153.0
12,2,56.0
12,3,110.0
12,4,85.0
12,5,79.0
12,6,140.0
12,7,85.0
12,8,156.0
12,9,101.0
12,10,104.0
12,11,84.0
13,0,53.0
13,1,173.0
13,2,72.0
13,3,129.0
13,4,89.0
13,5,79.0
13,6,113.0
13,7,55.0
13,8,109.0
13,9,64.0
13,10,94.0
13,11,130.0
14,0,66.0
14,1,140.0
14,2,55.0
14,3,118.0
14,4,73.0
14,5,53.0
14,6,148.0
14,7,61.0
14,8,108.0
14,9,77.0
14,10,112.0
14,11,113.0
15,0,54.0
15,1,117.0
15,2,91.0
15,3,113.0
15,4,85.0
15,5,63.0
15,6,122.0
15,7,56.0
15,8,133.0
15,9,115.0
15,10,93.0
15,11,151.0
16,0,72.0
16,1,177.0
16,2,119.0
16,3,175.0
16,4,140.0
16,5,90.0
16,6,214.0
16,7,102.0
16,8,225.0
16,9,185.0
16,10,322.0
16,11,209.0
17,0,213.0
17,1,247.0
17,2,332.0
17,3,293.0
17,4,292.0
17,5,262.0
17,6,224.0
17,7,256.0
17,8,392.0
17,9,392.0
17,10,242.0
17,11,295.0
18,0,266.0
18,1,349.0
18,2,410.0
18,3,322.0
18,4,326.0
18,5,296.0
18,6,248.0
18,7,428.0
18,8,241.0
18,9,318.0
18,10,223.0
18,11,292.0
19,0,199.0
19,1,248.0
19,2,211.0
19,3,68.0
19,4,329.0
19,5,77.0
19,6,189.0
19,7,119.0
19,8,88.0
19,9,220.0
19,10,44.0
19,11,126.0
20,0,118.0
20,1,99.0
20,2,90.0
20,3,119.0
20,4,85.0
20,5,137.0
20,6,122.0
20,7,52.0
20,8,160.0
20,9,118.0
20,10,44.0
20,11,155.0
21,0,83.0
21,1,84.0
21,2,118.0
21,3,53.0
21,4,153.0
21,5,126.0
21,6,42.0
21,7,136.0
21,8,84.0
21,9,101.0
21,10,123.0
21,11,35.0
22,0,143.0
22,1,119.0
22,2,25.0
22,3,93.0
22,4,35.0
22,5,96.0
22,6,113.0
22,7,22.0
22,8,99.0
22,9,61.0
22,10,29.0
22,11,52.0
23,0,22.0
23,1,26.0
23,2,4.0
23,3,1.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
