时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,4.0
5,3,5.0
5,4,9.0
5,5,21.0
5,6,38.0
5,7,41.0
5,8,30.0
5,9,35.0
5,10,47.0
5,11,61.0
6,0,65.0
6,1,76.0
6,2,132.0
6,3,136.0
6,4,177.0
6,5,199.0
6,6,179.0
6,7,240.0
6,8,200.0
6,9,217.0
6,10,339.0
6,11,271.0
7,0,367.0
7,1,341.0
7,2,376.0
7,3,389.0
7,4,447.0
7,5,466.0
7,6,537.0
7,7,567.0
7,8,553.0
7,9,622.0
7,10,762.0
7,11,763.0
8,0,690.0
8,1,727.0
8,2,613.0
8,3,627.0
8,4,595.0
8,5,547.0
8,6,469.0
8,7,575.0
8,8,634.0
8,9,360.0
8,10,501.0
8,11,369.0
9,0,352.0
9,1,351.0
9,2,188.0
9,3,206.0
9,4,212.0
9,5,288.0
9,6,143.0
9,7,191.0
9,8,204.0
9,9,142.0
9,10,170.0
9,11,139.0
10,0,114.0
10,1,100.0
10,2,125.0
10,3,117.0
10,4,118.0
10,5,99.0
10,6,128.0
10,7,82.0
10,8,44.0
10,9,155.0
10,10,71.0
10,11,53.0
11,0,125.0
11,1,84.0
11,2,121.0
11,3,52.0
11,4,77.0
11,5,172.0
11,6,88.0
11,7,104.0
11,8,102.0
11,9,82.0
11,10,120.0
11,11,96.0
12,0,146.0
12,1,91.0
12,2,85.0
12,3,122.0
12,4,35.0
12,5,104.0
12,6,114.0
12,7,109.0
12,8,66.0
12,9,70.0
12,10,117.0
12,11,54.0
13,0,105.0
13,1,100.0
13,2,104.0
13,3,70.0
13,4,69.0
13,5,111.0
13,6,82.0
13,7,92.0
13,8,68.0
13,9,71.0
13,10,133.0
13,11,53.0
14,0,93.0
14,1,109.0
14,2,48.0
14,3,177.0
14,4,36.0
14,5,144.0
14,6,91.0
14,7,120.0
14,8,93.0
14,9,28.0
14,10,148.0
14,11,73.0
15,0,132.0
15,1,77.0
15,2,73.0
15,3,157.0
15,4,37.0
15,5,121.0
15,6,123.0
15,7,126.0
15,8,106.0
15,9,29.0
15,10,162.0
15,11,82.0
16,0,144.0
16,1,146.0
16,2,46.0
16,3,215.0
16,4,47.0
16,5,211.0
16,6,129.0
16,7,146.0
16,8,155.0
16,9,75.0
16,10,317.0
16,11,50.0
17,0,301.0
17,1,71.0
17,2,290.0
17,3,340.0
17,4,234.0
17,5,247.0
17,6,271.0
17,7,319.0
17,8,282.0
17,9,406.0
17,10,306.0
17,11,373.0
18,0,234.0
18,1,517.0
18,2,301.0
18,3,662.0
18,4,310.0
18,5,551.0
18,6,394.0
18,7,526.0
18,8,347.0
18,9,562.0
18,10,98.0
18,11,668.0
19,0,516.0
19,1,518.0
19,2,274.0
19,3,480.0
19,4,266.0
19,5,351.0
19,6,233.0
19,7,93.0
19,8,365.0
19,9,171.0
19,10,232.0
19,11,39.0
20,0,222.0
20,1,275.0
20,2,24.0
20,3,233.0
20,4,160.0
20,5,155.0
20,6,110.0
20,7,38.0
20,8,190.0
20,9,180.0
20,10,150.0
20,11,17.0
21,0,182.0
21,1,148.0
21,2,42.0
21,3,191.0
21,4,53.0
21,5,185.0
21,6,141.0
21,7,12.0
21,8,177.0
21,9,173.0
21,10,26.0
21,11,157.0
22,0,29.0
22,1,130.0
22,2,147.0
22,3,8.0
22,4,144.0
22,5,111.0
22,6,14.0
22,7,148.0
22,8,20.0
22,9,149.0
22,10,162.0
22,11,0.0
23,0,156.0
23,1,14.0
23,2,63.0
23,3,48.0
23,4,22.0
23,5,24.0
23,6,10.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
