时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,1.0
5,4,2.0
5,5,4.0
5,6,7.0
5,7,37.0
5,8,38.0
5,9,28.0
5,10,43.0
5,11,73.0
6,0,51.0
6,1,85.0
6,2,64.0
6,3,117.0
6,4,125.0
6,5,173.0
6,6,168.0
6,7,226.0
6,8,188.0
6,9,273.0
6,10,261.0
6,11,257.0
7,0,261.0
7,1,315.0
7,2,358.0
7,3,347.0
7,4,332.0
7,5,437.0
7,6,489.0
7,7,504.0
7,8,544.0
7,9,653.0
7,10,541.0
7,11,541.0
8,0,651.0
8,1,682.0
8,2,723.0
8,3,682.0
8,4,605.0
8,5,608.0
8,6,524.0
8,7,416.0
8,8,628.0
8,9,528.0
8,10,373.0
8,11,416.0
9,0,389.0
9,1,295.0
9,2,316.0
9,3,298.0
9,4,289.0
9,5,243.0
9,6,212.0
9,7,211.0
9,8,158.0
9,9,217.0
9,10,172.0
9,11,159.0
10,0,133.0
10,1,141.0
10,2,146.0
10,3,98.0
10,4,124.0
10,5,120.0
10,6,122.0
10,7,121.0
10,8,126.0
10,9,71.0
10,10,129.0
10,11,120.0
11,0,66.0
11,1,129.0
11,2,65.0
11,3,135.0
11,4,105.0
11,5,66.0
11,6,147.0
11,7,64.0
11,8,144.0
11,9,77.0
11,10,68.0
11,11,179.0
12,0,69.0
12,1,154.0
12,2,103.0
12,3,151.0
12,4,92.0
12,5,73.0
12,6,125.0
12,7,74.0
12,8,153.0
12,9,125.0
12,10,116.0
12,11,136.0
13,0,65.0
13,1,139.0
13,2,97.0
13,3,150.0
13,4,91.0
13,5,59.0
13,6,138.0
13,7,78.0
13,8,146.0
13,9,109.0
13,10,71.0
13,11,138.0
14,0,41.0
14,1,157.0
14,2,81.0
14,3,131.0
14,4,104.0
14,5,49.0
14,6,137.0
14,7,81.0
14,8,135.0
14,9,120.0
14,10,66.0
14,11,176.0
15,0,60.0
15,1,153.0
15,2,81.0
15,3,87.0
15,4,123.0
15,5,51.0
15,6,132.0
15,7,112.0
15,8,191.0
15,9,111.0
15,10,88.0
15,11,215.0
16,0,109.0
16,1,185.0
16,2,123.0
16,3,157.0
16,4,152.0
16,5,63.0
16,6,179.0
16,7,161.0
16,8,202.0
16,9,145.0
16,10,216.0
16,11,144.0
17,0,250.0
17,1,229.0
17,2,277.0
17,3,281.0
17,4,330.0
17,5,251.0
17,6,379.0
17,7,283.0
17,8,441.0
17,9,291.0
17,10,501.0
17,11,343.0
18,0,484.0
18,1,402.0
18,2,524.0
18,3,540.0
18,4,354.0
18,5,666.0
18,6,565.0
18,7,390.0
18,8,317.0
18,9,387.0
18,10,761.0
18,11,466.0
19,0,407.0
19,1,450.0
19,2,321.0
19,3,365.0
19,4,199.0
19,5,305.0
19,6,248.0
19,7,237.0
19,8,321.0
19,9,71.0
19,10,217.0
19,11,222.0
20,0,101.0
20,1,217.0
20,2,72.0
20,3,194.0
20,4,198.0
20,5,85.0
20,6,203.0
20,7,176.0
20,8,54.0
20,9,155.0
20,10,153.0
20,11,111.0
21,0,132.0
21,1,123.0
21,2,177.0
21,3,198.0
21,4,99.0
21,5,103.0
21,6,191.0
21,7,68.0
21,8,170.0
21,9,143.0
21,10,87.0
21,11,147.0
22,0,119.0
22,1,57.0
22,2,156.0
22,3,54.0
22,4,153.0
22,5,108.0
22,6,42.0
22,7,182.0
22,8,20.0
22,9,128.0
22,10,105.0
22,11,13.0
23,0,90.0
23,1,37.0
23,2,40.0
23,3,15.0
23,4,10.0
23,5,10.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
