时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,3.0
5,3,2.0
5,4,7.0
5,5,10.0
5,6,10.0
5,7,12.0
5,8,8.0
5,9,11.0
5,10,15.0
5,11,11.0
6,0,14.0
6,1,23.0
6,2,27.0
6,3,23.0
6,4,36.0
6,5,35.0
6,6,44.0
6,7,61.0
6,8,74.0
6,9,53.0
6,10,63.0
6,11,70.0
7,0,87.0
7,1,75.0
7,2,85.0
7,3,108.0
7,4,103.0
7,5,142.0
7,6,153.0
7,7,150.0
7,8,149.0
7,9,156.0
7,10,175.0
7,11,152.0
8,0,153.0
8,1,155.0
8,2,175.0
8,3,137.0
8,4,122.0
8,5,170.0
8,6,120.0
8,7,124.0
8,8,146.0
8,9,97.0
8,10,98.0
8,11,83.0
9,0,58.0
9,1,62.0
9,2,67.0
9,3,42.0
9,4,48.0
9,5,45.0
9,6,40.0
9,7,25.0
9,8,26.0
9,9,33.0
9,10,30.0
9,11,24.0
10,0,26.0
10,1,25.0
10,2,28.0
10,3,22.0
10,4,29.0
10,5,16.0
10,6,23.0
10,7,31.0
10,8,21.0
10,9,19.0
10,10,25.0
10,11,19.0
11,0,23.0
11,1,22.0
11,2,9.0
11,3,22.0
11,4,17.0
11,5,26.0
11,6,17.0
11,7,13.0
11,8,21.0
11,9,15.0
11,10,27.0
11,11,12.0
12,0,10.0
12,1,35.0
12,2,21.0
12,3,25.0
12,4,10.0
12,5,27.0
12,6,16.0
12,7,10.0
12,8,31.0
12,9,11.0
12,10,20.0
12,11,13.0
13,0,17.0
13,1,25.0
13,2,10.0
13,3,24.0
13,4,22.0
13,5,23.0
13,6,13.0
13,7,10.0
13,8,17.0
13,9,19.0
13,10,19.0
13,11,19.0
14,0,11.0
14,1,29.0
14,2,12.0
14,3,18.0
14,4,19.0
14,5,18.0
14,6,25.0
14,7,6.0
14,8,26.0
14,9,22.0
14,10,22.0
14,11,18.0
15,0,8.0
15,1,27.0
15,2,20.0
15,3,35.0
15,4,34.0
15,5,13.0
15,6,25.0
15,7,9.0
15,8,34.0
15,9,16.0
15,10,15.0
15,11,21.0
16,0,19.0
16,1,28.0
16,2,31.0
16,3,29.0
16,4,24.0
16,5,9.0
16,6,42.0
16,7,31.0
16,8,42.0
16,9,26.0
16,10,47.0
16,11,27.0
17,0,32.0
17,1,74.0
17,2,54.0
17,3,56.0
17,4,56.0
17,5,28.0
17,6,76.0
17,7,55.0
17,8,79.0
17,9,64.0
17,10,72.0
17,11,56.0
18,0,90.0
18,1,83.0
18,2,112.0
18,3,81.0
18,4,94.0
18,5,96.0
18,6,59.0
18,7,144.0
18,8,85.0
18,9,121.0
18,10,86.0
18,11,75.0
19,0,141.0
19,1,127.0
19,2,66.0
19,3,111.0
19,4,63.0
19,5,92.0
19,6,41.0
19,7,66.0
19,8,26.0
19,9,88.0
19,10,60.0
19,11,37.0
20,0,68.0
20,1,48.0
20,2,31.0
20,3,47.0
20,4,4.0
20,5,40.0
20,6,49.0
20,7,16.0
20,8,39.0
20,9,40.0
20,10,6.0
20,11,35.0
21,0,10.0
21,1,62.0
21,2,52.0
21,3,6.0
21,4,37.0
21,5,46.0
21,6,7.0
21,7,49.0
21,8,37.0
21,9,7.0
21,10,37.0
21,11,2.0
22,0,26.0
22,1,44.0
22,2,8.0
22,3,36.0
22,4,51.0
22,5,8.0
22,6,44.0
22,7,12.0
22,8,34.0
22,9,59.0
22,10,2.0
22,11,42.0
23,0,35.0
23,1,0.0
23,2,18.0
23,3,5.0
23,4,11.0
23,5,9.0
23,6,10.0
23,7,6.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
