时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,7.0
5,5,7.0
5,6,16.0
5,7,19.0
5,8,23.0
5,9,28.0
5,10,31.0
5,11,26.0
6,0,49.0
6,1,38.0
6,2,63.0
6,3,63.0
6,4,79.0
6,5,99.0
6,6,89.0
6,7,85.0
6,8,111.0
6,9,108.0
6,10,136.0
6,11,153.0
7,0,161.0
7,1,149.0
7,2,171.0
7,3,242.0
7,4,253.0
7,5,244.0
7,6,309.0
7,7,326.0
7,8,343.0
7,9,383.0
7,10,398.0
7,11,395.0
8,0,362.0
8,1,392.0
8,2,331.0
8,3,372.0
8,4,332.0
8,5,312.0
8,6,294.0
8,7,371.0
8,8,268.0
8,9,388.0
8,10,359.0
8,11,214.0
9,0,231.0
9,1,238.0
9,2,183.0
9,3,168.0
9,4,147.0
9,5,110.0
9,6,122.0
9,7,75.0
9,8,96.0
9,9,72.0
9,10,84.0
9,11,89.0
10,0,79.0
10,1,70.0
10,2,50.0
10,3,70.0
10,4,51.0
10,5,63.0
10,6,48.0
10,7,61.0
10,8,52.0
10,9,54.0
10,10,36.0
10,11,51.0
11,0,48.0
11,1,27.0
11,2,45.0
11,3,32.0
11,4,44.0
11,5,36.0
11,6,18.0
11,7,81.0
11,8,30.0
11,9,54.0
11,10,36.0
11,11,33.0
12,0,71.0
12,1,28.0
12,2,63.0
12,3,47.0
12,4,72.0
12,5,46.0
12,6,28.0
12,7,58.0
12,8,33.0
12,9,55.0
12,10,32.0
12,11,57.0
13,0,54.0
13,1,38.0
13,2,62.0
13,3,41.0
13,4,49.0
13,5,36.0
13,6,27.0
13,7,72.0
13,8,42.0
13,9,53.0
13,10,43.0
13,11,28.0
14,0,39.0
14,1,17.0
14,2,53.0
14,3,36.0
14,4,44.0
14,5,36.0
14,6,24.0
14,7,71.0
14,8,30.0
14,9,69.0
14,10,27.0
14,11,23.0
15,0,73.0
15,1,34.0
15,2,83.0
15,3,40.0
15,4,57.0
15,5,46.0
15,6,27.0
15,7,62.0
15,8,44.0
15,9,81.0
15,10,63.0
15,11,40.0
16,0,79.0
16,1,71.0
16,2,104.0
16,3,75.0
16,4,67.0
16,5,71.0
16,6,52.0
16,7,88.0
16,8,82.0
16,9,91.0
16,10,58.0
16,11,90.0
17,0,85.0
17,1,125.0
17,2,117.0
17,3,101.0
17,4,95.0
17,5,172.0
17,6,97.0
17,7,175.0
17,8,191.0
17,9,224.0
17,10,157.0
17,11,193.0
18,0,152.0
18,1,220.0
18,2,257.0
18,3,260.0
18,4,206.0
18,5,170.0
18,6,277.0
18,7,265.0
18,8,181.0
18,9,166.0
18,10,186.0
18,11,303.0
19,0,189.0
19,1,202.0
19,2,189.0
19,3,163.0
19,4,159.0
19,5,85.0
19,6,117.0
19,7,113.0
19,8,115.0
19,9,148.0
19,10,37.0
19,11,80.0
20,0,112.0
20,1,63.0
20,2,91.0
20,3,32.0
20,4,63.0
20,5,66.0
20,6,31.0
20,7,70.0
20,8,87.0
20,9,9.0
20,10,77.0
20,11,64.0
21,0,40.0
21,1,80.0
21,2,102.0
21,3,45.0
21,4,102.0
21,5,8.0
21,6,88.0
21,7,108.0
21,8,19.0
21,9,84.0
21,10,56.0
21,11,30.0
22,0,85.0
22,1,36.0
22,2,45.0
22,3,73.0
22,4,5.0
22,5,54.0
22,6,56.0
22,7,13.0
22,8,58.0
22,9,5.0
22,10,75.0
22,11,48.0
23,0,2.0
23,1,34.0
23,2,17.0
23,3,11.0
23,4,7.0
23,5,10.0
23,6,3.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
