时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,1.0
5,4,2.0
5,5,5.0
5,6,10.0
5,7,9.0
5,8,10.0
5,9,10.0
5,10,8.0
5,11,11.0
6,0,31.0
6,1,34.0
6,2,32.0
6,3,37.0
6,4,43.0
6,5,98.0
6,6,80.0
6,7,85.0
6,8,127.0
6,9,140.0
6,10,124.0
6,11,184.0
7,0,179.0
7,1,207.0
7,2,219.0
7,3,245.0
7,4,349.0
7,5,317.0
7,6,301.0
7,7,394.0
7,8,362.0
7,9,379.0
7,10,349.0
7,11,453.0
8,0,442.0
8,1,377.0
8,2,455.0
8,3,417.0
8,4,397.0
8,5,348.0
8,6,362.0
8,7,382.0
8,8,319.0
8,9,299.0
8,10,329.0
8,11,287.0
9,0,205.0
9,1,207.0
9,2,154.0
9,3,146.0
9,4,143.0
9,5,99.0
9,6,163.0
9,7,74.0
9,8,108.0
9,9,112.0
9,10,73.0
9,11,97.0
10,0,75.0
10,1,90.0
10,2,84.0
10,3,69.0
10,4,76.0
10,5,45.0
10,6,49.0
10,7,90.0
10,8,63.0
10,9,50.0
10,10,51.0
10,11,74.0
11,0,56.0
11,1,92.0
11,2,54.0
11,3,49.0
11,4,54.0
11,5,51.0
11,6,69.0
11,7,60.0
11,8,43.0
11,9,71.0
11,10,35.0
11,11,44.0
12,0,71.0
12,1,57.0
12,2,51.0
12,3,46.0
12,4,81.0
12,5,46.0
12,6,58.0
12,7,31.0
12,8,60.0
12,9,62.0
12,10,65.0
12,11,50.0
13,0,60.0
13,1,35.0
13,2,58.0
13,3,64.0
13,4,67.0
13,5,66.0
13,6,37.0
13,7,46.0
13,8,66.0
13,9,62.0
13,10,47.0
13,11,68.0
14,0,64.0
14,1,43.0
14,2,76.0
14,3,69.0
14,4,47.0
14,5,69.0
14,6,45.0
14,7,38.0
14,8,63.0
14,9,68.0
14,10,68.0
14,11,63.0
15,0,78.0
15,1,69.0
15,2,77.0
15,3,60.0
15,4,80.0
15,5,84.0
15,6,58.0
15,7,62.0
15,8,90.0
15,9,74.0
15,10,57.0
15,11,72.0
16,0,76.0
16,1,98.0
16,2,110.0
16,3,122.0
16,4,111.0
16,5,158.0
16,6,120.0
16,7,116.0
16,8,90.0
16,9,137.0
16,10,138.0
16,11,122.0
17,0,99.0
17,1,200.0
17,2,154.0
17,3,210.0
17,4,134.0
17,5,218.0
17,6,197.0
17,7,205.0
17,8,199.0
17,9,215.0
17,10,212.0
17,11,268.0
18,0,271.0
18,1,249.0
18,2,185.0
18,3,340.0
18,4,255.0
18,5,181.0
18,6,343.0
18,7,286.0
18,8,140.0
18,9,401.0
18,10,294.0
18,11,186.0
19,0,320.0
19,1,210.0
19,2,91.0
19,3,330.0
19,4,196.0
19,5,109.0
19,6,219.0
19,7,135.0
19,8,105.0
19,9,87.0
19,10,152.0
19,11,108.0
20,0,93.0
20,1,48.0
20,2,126.0
20,3,91.0
20,4,48.0
20,5,106.0
20,6,62.0
20,7,65.0
20,8,56.0
20,9,88.0
20,10,39.0
20,11,99.0
21,0,67.0
21,1,60.0
21,2,96.0
21,3,69.0
21,4,59.0
21,5,71.0
21,6,72.0
21,7,59.0
21,8,57.0
21,9,34.0
21,10,84.0
21,11,48.0
22,0,42.0
22,1,46.0
22,2,76.0
22,3,34.0
22,4,50.0
22,5,25.0
22,6,40.0
22,7,27.0
22,8,60.0
22,9,19.0
22,10,38.0
22,11,30.0
23,0,11.0
23,1,13.0
23,2,10.0
23,3,8.0
23,4,7.0
23,5,2.0
23,6,3.0
23,7,2.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
