时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,1.0
5,2,0.0
5,3,7.0
5,4,9.0
5,5,26.0
5,6,33.0
5,7,22.0
5,8,33.0
5,9,28.0
5,10,32.0
5,11,38.0
6,0,56.0
6,1,69.0
6,2,74.0
6,3,69.0
6,4,80.0
6,5,101.0
6,6,126.0
6,7,109.0
6,8,140.0
6,9,163.0
6,10,138.0
6,11,177.0
7,0,209.0
7,1,200.0
7,2,265.0
7,3,271.0
7,4,307.0
7,5,377.0
7,6,389.0
7,7,473.0
7,8,471.0
7,9,528.0
7,10,526.0
7,11,491.0
8,0,505.0
8,1,483.0
8,2,528.0
8,3,438.0
8,4,435.0
8,5,375.0
8,6,381.0
8,7,304.0
8,8,300.0
8,9,290.0
8,10,268.0
8,11,187.0
9,0,179.0
9,1,168.0
9,2,162.0
9,3,133.0
9,4,124.0
9,5,112.0
9,6,99.0
9,7,90.0
9,8,83.0
9,9,79.0
9,10,66.0
9,11,69.0
10,0,86.0
10,1,88.0
10,2,52.0
10,3,58.0
10,4,57.0
10,5,48.0
10,6,55.0
10,7,49.0
10,8,47.0
10,9,47.0
10,10,53.0
10,11,50.0
11,0,51.0
11,1,53.0
11,2,40.0
11,3,75.0
11,4,49.0
11,5,64.0
11,6,55.0
11,7,32.0
11,8,86.0
11,9,43.0
11,10,67.0
11,11,57.0
12,0,49.0
12,1,87.0
12,2,38.0
12,3,74.0
12,4,52.0
12,5,67.0
12,6,52.0
12,7,30.0
12,8,80.0
12,9,43.0
12,10,63.0
12,11,63.0
13,0,62.0
13,1,52.0
13,2,45.0
13,3,50.0
13,4,49.0
13,5,62.0
13,6,53.0
13,7,27.0
13,8,69.0
13,9,49.0
13,10,55.0
13,11,58.0
14,0,23.0
14,1,55.0
14,2,26.0
14,3,53.0
14,4,54.0
14,5,32.0
14,6,76.0
14,7,33.0
14,8,68.0
14,9,36.0
14,10,70.0
14,11,48.0
15,0,24.0
15,1,101.0
15,2,47.0
15,3,71.0
15,4,46.0
15,5,37.0
15,6,96.0
15,7,26.0
15,8,69.0
15,9,60.0
15,10,82.0
15,11,66.0
16,0,40.0
16,1,107.0
16,2,65.0
16,3,69.0
16,4,56.0
16,5,82.0
16,6,88.0
16,7,40.0
16,8,104.0
16,9,71.0
16,10,114.0
16,11,63.0
17,0,92.0
17,1,78.0
17,2,116.0
17,3,113.0
17,4,149.0
17,5,106.0
17,6,186.0
17,7,127.0
17,8,172.0
17,9,188.0
17,10,190.0
17,11,135.0
18,0,246.0
18,1,192.0
18,2,254.0
18,3,239.0
18,4,285.0
18,5,229.0
18,6,204.0
18,7,397.0
18,8,313.0
18,9,332.0
18,10,183.0
18,11,295.0
19,0,490.0
19,1,332.0
19,2,230.0
19,3,312.0
19,4,201.0
19,5,300.0
19,6,112.0
19,7,180.0
19,8,115.0
19,9,251.0
19,10,217.0
19,11,78.0
20,0,174.0
20,1,159.0
20,2,83.0
20,3,126.0
20,4,47.0
20,5,140.0
20,6,107.0
20,7,77.0
20,8,157.0
20,9,126.0
20,10,14.0
20,11,123.0
21,0,51.0
21,1,117.0
21,2,112.0
21,3,70.0
21,4,133.0
21,5,158.0
21,6,12.0
21,7,129.0
21,8,153.0
21,9,14.0
21,10,134.0
21,11,61.0
22,0,87.0
22,1,116.0
22,2,16.0
22,3,125.0
22,4,109.0
22,5,14.0
22,6,133.0
22,7,91.0
22,8,43.0
22,9,124.0
22,10,4.0
22,11,137.0
23,0,86.0
23,1,0.0
23,2,76.0
23,3,27.0
23,4,27.0
23,5,33.0
23,6,7.0
23,7,10.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
