时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,1.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,16.0
5,4,22.0
5,5,37.0
5,6,15.0
5,7,29.0
5,8,30.0
5,9,29.0
5,10,31.0
5,11,57.0
6,0,71.0
6,1,59.0
6,2,98.0
6,3,153.0
6,4,61.0
6,5,131.0
6,6,209.0
6,7,191.0
6,8,155.0
6,9,277.0
6,10,285.0
6,11,231.0
7,0,317.0
7,1,346.0
7,2,480.0
7,3,302.0
7,4,438.0
7,5,440.0
7,6,451.0
7,7,555.0
7,8,611.0
7,9,610.0
7,10,489.0
7,11,757.0
8,0,561.0
8,1,642.0
8,2,469.0
8,3,672.0
8,4,477.0
8,5,467.0
8,6,344.0
8,7,416.0
8,8,292.0
8,9,324.0
8,10,385.0
8,11,274.0
9,0,217.0
9,1,190.0
9,2,249.0
9,3,192.0
9,4,151.0
9,5,130.0
9,6,183.0
9,7,127.0
9,8,108.0
9,9,112.0
9,10,179.0
9,11,94.0
10,0,90.0
10,1,107.0
10,2,122.0
10,3,83.0
10,4,99.0
10,5,95.0
10,6,54.0
10,7,109.0
10,8,86.0
10,9,109.0
10,10,115.0
10,11,96.0
11,0,70.0
11,1,122.0
11,2,114.0
11,3,57.0
11,4,143.0
11,5,56.0
11,6,127.0
11,7,97.0
11,8,60.0
11,9,178.0
11,10,106.0
11,11,111.0
12,0,101.0
12,1,116.0
12,2,103.0
12,3,57.0
12,4,179.0
12,5,97.0
12,6,115.0
12,7,64.0
12,8,82.0
12,9,165.0
12,10,65.0
12,11,99.0
13,0,85.0
13,1,106.0
13,2,93.0
13,3,43.0
13,4,82.0
13,5,75.0
13,6,93.0
13,7,64.0
13,8,47.0
13,9,100.0
13,10,78.0
13,11,93.0
14,0,71.0
14,1,43.0
14,2,110.0
14,3,60.0
14,4,108.0
14,5,62.0
14,6,74.0
14,7,100.0
14,8,39.0
14,9,92.0
14,10,61.0
14,11,108.0
15,0,60.0
15,1,48.0
15,2,154.0
15,3,39.0
15,4,91.0
15,5,75.0
15,6,78.0
15,7,86.0
15,8,47.0
15,9,124.0
15,10,100.0
15,11,124.0
16,0,82.0
16,1,28.0
16,2,134.0
16,3,87.0
16,4,134.0
16,5,123.0
16,6,145.0
16,7,112.0
16,8,61.0
16,9,175.0
16,10,116.0
16,11,164.0
17,0,127.0
17,1,96.0
17,2,266.0
17,3,167.0
17,4,277.0
17,5,215.0
17,6,208.0
17,7,263.0
17,8,138.0
17,9,203.0
17,10,262.0
17,11,271.0
18,0,182.0
18,1,247.0
18,2,270.0
18,3,353.0
18,4,254.0
18,5,330.0
18,6,319.0
18,7,195.0
18,8,417.0
18,9,338.0
18,10,283.0
18,11,176.0
19,0,273.0
19,1,384.0
19,2,303.0
19,3,399.0
19,4,226.0
19,5,214.0
19,6,289.0
19,7,107.0
19,8,212.0
19,9,148.0
19,10,185.0
19,11,231.0
20,0,43.0
20,1,184.0
20,2,143.0
20,3,78.0
20,4,142.0
20,5,78.0
20,6,67.0
20,7,152.0
20,8,49.0
20,9,170.0
20,10,145.0
20,11,15.0
21,0,113.0
21,1,124.0
21,2,71.0
21,3,124.0
21,4,126.0
21,5,49.0
21,6,133.0
21,7,13.0
21,8,112.0
21,9,144.0
21,10,3.0
21,11,119.0
22,0,95.0
22,1,40.0
22,2,117.0
22,3,46.0
22,4,60.0
22,5,100.0
22,6,0.0
22,7,97.0
22,8,77.0
22,9,14.0
22,10,95.0
22,11,48.0
23,0,36.0
23,1,79.0
23,2,1.0
23,3,57.0
23,4,31.0
23,5,14.0
23,6,11.0
23,7,8.0
23,8,4.0
23,9,0.0
23,10,0.0
23,11,0.0
