时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,2.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,2.0
5,1,0.0
5,2,0.0
5,3,2.0
5,4,2.0
5,5,4.0
5,6,1.0
5,7,0.0
5,8,1.0
5,9,2.0
5,10,0.0
5,11,8.0
6,0,12.0
6,1,17.0
6,2,18.0
6,3,23.0
6,4,23.0
6,5,35.0
6,6,40.0
6,7,70.0
6,8,44.0
6,9,82.0
6,10,91.0
6,11,114.0
7,0,123.0
7,1,108.0
7,2,127.0
7,3,117.0
7,4,109.0
7,5,121.0
7,6,99.0
7,7,141.0
7,8,148.0
7,9,162.0
7,10,180.0
7,11,155.0
8,0,174.0
8,1,164.0
8,2,206.0
8,3,172.0
8,4,213.0
8,5,156.0
8,6,234.0
8,7,247.0
8,8,215.0
8,9,259.0
8,10,246.0
8,11,268.0
9,0,163.0
9,1,183.0
9,2,186.0
9,3,171.0
9,4,165.0
9,5,188.0
9,6,145.0
9,7,141.0
9,8,109.0
9,9,150.0
9,10,118.0
9,11,110.0
10,0,93.0
10,1,125.0
10,2,71.0
10,3,118.0
10,4,79.0
10,5,85.0
10,6,69.0
10,7,71.0
10,8,73.0
10,9,80.0
10,10,60.0
10,11,64.0
11,0,70.0
11,1,68.0
11,2,59.0
11,3,63.0
11,4,54.0
11,5,67.0
11,6,46.0
11,7,52.0
11,8,53.0
11,9,50.0
11,10,62.0
11,11,51.0
12,0,60.0
12,1,61.0
12,2,66.0
12,3,60.0
12,4,58.0
12,5,59.0
12,6,49.0
12,7,66.0
12,8,59.0
12,9,50.0
12,10,65.0
12,11,63.0
13,0,56.0
13,1,63.0
13,2,61.0
13,3,69.0
13,4,67.0
13,5,64.0
13,6,68.0
13,7,62.0
13,8,66.0
13,9,51.0
13,10,74.0
13,11,70.0
14,0,62.0
14,1,63.0
14,2,60.0
14,3,54.0
14,4,71.0
14,5,58.0
14,6,69.0
14,7,59.0
14,8,60.0
14,9,76.0
14,10,63.0
14,11,81.0
15,0,63.0
15,1,62.0
15,2,54.0
15,3,81.0
15,4,73.0
15,5,67.0
15,6,64.0
15,7,59.0
15,8,75.0
15,9,80.0
15,10,84.0
15,11,73.0
16,0,66.0
16,1,63.0
16,2,68.0
16,3,77.0
16,4,47.0
16,5,79.0
16,6,79.0
16,7,96.0
16,8,103.0
16,9,114.0
16,10,137.0
16,11,188.0
17,0,134.0
17,1,211.0
17,2,254.0
17,3,172.0
17,4,219.0
17,5,187.0
17,6,163.0
17,7,174.0
17,8,184.0
17,9,223.0
17,10,148.0
17,11,166.0
18,0,98.0
18,1,175.0
18,2,216.0
18,3,204.0
18,4,193.0
18,5,150.0
18,6,138.0
18,7,131.0
18,8,116.0
18,9,91.0
18,10,81.0
18,11,123.0
19,0,77.0
19,1,92.0
19,2,84.0
19,3,72.0
19,4,66.0
19,5,57.0
19,6,60.0
19,7,49.0
19,8,63.0
19,9,44.0
19,10,38.0
19,11,53.0
20,0,52.0
20,1,42.0
20,2,53.0
20,3,42.0
20,4,51.0
20,5,37.0
20,6,33.0
20,7,40.0
20,8,52.0
20,9,34.0
20,10,28.0
20,11,40.0
21,0,34.0
21,1,31.0
21,2,57.0
21,3,30.0
21,4,41.0
21,5,38.0
21,6,34.0
21,7,29.0
21,8,43.0
21,9,83.0
21,10,39.0
21,11,40.0
22,0,25.0
22,1,43.0
22,2,18.0
22,3,26.0
22,4,27.0
22,5,26.0
22,6,16.0
22,7,23.0
22,8,12.0
22,9,11.0
22,10,11.0
22,11,6.0
23,0,5.0
23,1,8.0
23,2,0.0
23,3,2.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
