时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,5.0
5,7,10.0
5,8,11.0
5,9,28.0
5,10,36.0
5,11,65.0
6,0,34.0
6,1,59.0
6,2,59.0
6,3,78.0
6,4,102.0
6,5,112.0
6,6,136.0
6,7,156.0
6,8,180.0
6,9,200.0
6,10,225.0
6,11,263.0
7,0,325.0
7,1,335.0
7,2,281.0
7,3,363.0
7,4,393.0
7,5,317.0
7,6,376.0
7,7,531.0
7,8,538.0
7,9,559.0
7,10,659.0
7,11,575.0
8,0,571.0
8,1,508.0
8,2,494.0
8,3,665.0
8,4,572.0
8,5,575.0
8,6,615.0
8,7,707.0
8,8,502.0
8,9,603.0
8,10,682.0
8,11,441.0
9,0,605.0
9,1,403.0
9,2,472.0
9,3,437.0
9,4,460.0
9,5,423.0
9,6,269.0
9,7,404.0
9,8,389.0
9,9,375.0
9,10,216.0
9,11,343.0
10,0,243.0
10,1,231.0
10,2,215.0
10,3,311.0
10,4,175.0
10,5,187.0
10,6,266.0
10,7,165.0
10,8,235.0
10,9,199.0
10,10,141.0
10,11,241.0
11,0,138.0
11,1,225.0
11,2,171.0
11,3,165.0
11,4,204.0
11,5,121.0
11,6,222.0
11,7,142.0
11,8,172.0
11,9,117.0
11,10,112.0
11,11,223.0
12,0,125.0
12,1,187.0
12,2,156.0
12,3,114.0
12,4,209.0
12,5,140.0
12,6,197.0
12,7,184.0
12,8,149.0
12,9,193.0
12,10,131.0
12,11,209.0
13,0,181.0
13,1,223.0
13,2,134.0
13,3,149.0
13,4,202.0
13,5,187.0
13,6,243.0
13,7,171.0
13,8,187.0
13,9,184.0
13,10,184.0
13,11,219.0
14,0,161.0
14,1,216.0
14,2,178.0
14,3,152.0
14,4,270.0
14,5,132.0
14,6,226.0
14,7,193.0
14,8,150.0
14,9,271.0
14,10,124.0
14,11,244.0
15,0,196.0
15,1,212.0
15,2,200.0
15,3,165.0
15,4,223.0
15,5,211.0
15,6,254.0
15,7,188.0
15,8,180.0
15,9,271.0
15,10,215.0
15,11,228.0
16,0,232.0
16,1,260.0
16,2,239.0
16,3,130.0
16,4,301.0
16,5,261.0
16,6,289.0
16,7,192.0
16,8,301.0
16,9,219.0
16,10,296.0
16,11,253.0
17,0,365.0
17,1,409.0
17,2,392.0
17,3,418.0
17,4,363.0
17,5,329.0
17,6,445.0
17,7,289.0
17,8,523.0
17,9,494.0
17,10,440.0
17,11,404.0
18,0,487.0
18,1,477.0
18,2,447.0
18,3,611.0
18,4,598.0
18,5,496.0
18,6,256.0
18,7,648.0
18,8,555.0
18,9,390.0
18,10,493.0
18,11,417.0
19,0,354.0
19,1,372.0
19,2,262.0
19,3,319.0
19,4,313.0
19,5,240.0
19,6,376.0
19,7,119.0
19,8,290.0
19,9,197.0
19,10,169.0
19,11,223.0
20,0,73.0
20,1,198.0
20,2,215.0
20,3,90.0
20,4,244.0
20,5,177.0
20,6,72.0
20,7,153.0
20,8,201.0
20,9,88.0
20,10,185.0
20,11,144.0
21,0,156.0
21,1,204.0
21,2,113.0
21,3,133.0
21,4,201.0
21,5,62.0
21,6,166.0
21,7,163.0
21,8,96.0
21,9,172.0
21,10,103.0
21,11,98.0
22,0,138.0
22,1,70.0
22,2,174.0
22,3,154.0
22,4,40.0
22,5,145.0
22,6,16.0
22,7,119.0
22,8,108.0
22,9,16.0
22,10,65.0
22,11,26.0
23,0,45.0
23,1,20.0
23,2,23.0
23,3,9.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
