时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,3.0
5,3,1.0
5,4,6.0
5,5,8.0
5,6,21.0
5,7,23.0
5,8,75.0
5,9,84.0
5,10,103.0
5,11,80.0
6,0,97.0
6,1,104.0
6,2,190.0
6,3,162.0
6,4,248.0
6,5,192.0
6,6,334.0
6,7,264.0
6,8,413.0
6,9,377.0
6,10,391.0
6,11,426.0
7,0,498.0
7,1,426.0
7,2,534.0
7,3,502.0
7,4,523.0
7,5,687.0
7,6,585.0
7,7,638.0
7,8,697.0
7,9,726.0
7,10,792.0
7,11,806.0
8,0,789.0
8,1,775.0
8,2,692.0
8,3,843.0
8,4,746.0
8,5,687.0
8,6,777.0
8,7,599.0
8,8,712.0
8,9,698.0
8,10,592.0
8,11,592.0
9,0,477.0
9,1,497.0
9,2,572.0
9,3,405.0
9,4,422.0
9,5,364.0
9,6,349.0
9,7,283.0
9,8,290.0
9,9,309.0
9,10,210.0
9,11,300.0
10,0,222.0
10,1,110.0
10,2,312.0
10,3,157.0
10,4,199.0
10,5,142.0
10,6,159.0
10,7,186.0
10,8,163.0
10,9,107.0
10,10,177.0
10,11,126.0
11,0,194.0
11,1,118.0
11,2,146.0
11,3,167.0
11,4,78.0
11,5,181.0
11,6,119.0
11,7,149.0
11,8,171.0
11,9,69.0
11,10,180.0
11,11,119.0
12,0,186.0
12,1,158.0
12,2,100.0
12,3,238.0
12,4,119.0
12,5,201.0
12,6,150.0
12,7,144.0
12,8,169.0
12,9,87.0
12,10,171.0
12,11,166.0
13,0,168.0
13,1,155.0
13,2,89.0
13,3,229.0
13,4,93.0
13,5,178.0
13,6,148.0
13,7,112.0
13,8,168.0
13,9,71.0
13,10,184.0
13,11,130.0
14,0,95.0
14,1,224.0
14,2,77.0
14,3,197.0
14,4,89.0
14,5,202.0
14,6,131.0
14,7,66.0
14,8,252.0
14,9,78.0
14,10,189.0
14,11,158.0
15,0,63.0
15,1,258.0
15,2,65.0
15,3,204.0
15,4,133.0
15,5,181.0
15,6,149.0
15,7,78.0
15,8,270.0
15,9,152.0
15,10,223.0
15,11,194.0
16,0,103.0
16,1,294.0
16,2,68.0
16,3,287.0
16,4,172.0
16,5,246.0
16,6,211.0
16,7,98.0
16,8,430.0
16,9,114.0
16,10,432.0
16,11,153.0
17,0,575.0
17,1,358.0
17,2,444.0
17,3,323.0
17,4,653.0
17,5,290.0
17,6,463.0
17,7,516.0
17,8,542.0
17,9,491.0
17,10,469.0
17,11,658.0
18,0,396.0
18,1,841.0
18,2,444.0
18,3,823.0
18,4,653.0
18,5,712.0
18,6,523.0
18,7,758.0
18,8,93.0
18,9,1027.0
18,10,638.0
18,11,722.0
19,0,429.0
19,1,672.0
19,2,388.0
19,3,567.0
19,4,334.0
19,5,158.0
19,6,584.0
19,7,214.0
19,8,405.0
19,9,100.0
19,10,316.0
19,11,423.0
20,0,52.0
20,1,313.0
20,2,234.0
20,3,242.0
20,4,169.0
20,5,112.0
20,6,236.0
20,7,230.0
20,8,286.0
20,9,48.0
20,10,315.0
20,11,245.0
21,0,32.0
21,1,325.0
21,2,90.0
21,3,188.0
21,4,224.0
21,5,64.0
21,6,272.0
21,7,299.0
21,8,16.0
21,9,315.0
21,10,120.0
21,11,152.0
22,0,213.0
22,1,31.0
22,2,212.0
22,3,238.0
22,4,17.0
22,5,229.0
22,6,17.0
22,7,276.0
22,8,256.0
22,9,13.0
22,10,239.0
22,11,35.0
23,0,124.0
23,1,107.0
23,2,41.0
23,3,56.0
23,4,15.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
