时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,1.0
5,2,1.0
5,3,1.0
5,4,1.0
5,5,4.0
5,6,9.0
5,7,4.0
5,8,4.0
5,9,10.0
5,10,5.0
5,11,13.0
6,0,14.0
6,1,18.0
6,2,30.0
6,3,38.0
6,4,26.0
6,5,50.0
6,6,36.0
6,7,44.0
6,8,42.0
6,9,65.0
6,10,53.0
6,11,75.0
7,0,99.0
7,1,110.0
7,2,131.0
7,3,81.0
7,4,114.0
7,5,138.0
7,6,90.0
7,7,167.0
7,8,101.0
7,9,179.0
7,10,177.0
7,11,165.0
8,0,208.0
8,1,212.0
8,2,236.0
8,3,276.0
8,4,283.0
8,5,266.0
8,6,293.0
8,7,350.0
8,8,361.0
8,9,484.0
8,10,450.0
8,11,308.0
9,0,293.0
9,1,277.0
9,2,227.0
9,3,269.0
9,4,193.0
9,5,232.0
9,6,120.0
9,7,230.0
9,8,141.0
9,9,163.0
9,10,96.0
9,11,161.0
10,0,85.0
10,1,120.0
10,2,99.0
10,3,84.0
10,4,126.0
10,5,58.0
10,6,84.0
10,7,64.0
10,8,76.0
10,9,124.0
10,10,55.0
10,11,77.0
11,0,70.0
11,1,40.0
11,2,90.0
11,3,75.0
11,4,73.0
11,5,66.0
11,6,60.0
11,7,62.0
11,8,52.0
11,9,81.0
11,10,68.0
11,11,70.0
12,0,72.0
12,1,58.0
12,2,73.0
12,3,51.0
12,4,66.0
12,5,75.0
12,6,60.0
12,7,66.0
12,8,80.0
12,9,78.0
12,10,76.0
12,11,110.0
13,0,78.0
13,1,84.0
13,2,75.0
13,3,95.0
13,4,91.0
13,5,76.0
13,6,89.0
13,7,96.0
13,8,76.0
13,9,68.0
13,10,71.0
13,11,90.0
14,0,65.0
14,1,83.0
14,2,79.0
14,3,57.0
14,4,109.0
14,5,77.0
14,6,81.0
14,7,108.0
14,8,79.0
14,9,72.0
14,10,60.0
14,11,93.0
15,0,100.0
15,1,57.0
15,2,82.0
15,3,74.0
15,4,77.0
15,5,91.0
15,6,61.0
15,7,77.0
15,8,101.0
15,9,93.0
15,10,73.0
15,11,108.0
16,0,90.0
16,1,119.0
16,2,97.0
16,3,111.0
16,4,120.0
16,5,93.0
16,6,136.0
16,7,123.0
16,8,129.0
16,9,125.0
16,10,108.0
16,11,126.0
17,0,135.0
17,1,190.0
17,2,219.0
17,3,199.0
17,4,189.0
17,5,147.0
17,6,179.0
17,7,367.0
17,8,289.0
17,9,233.0
17,10,217.0
17,11,159.0
18,0,145.0
18,1,243.0
18,2,233.0
18,3,178.0
18,4,211.0
18,5,218.0
18,6,165.0
18,7,173.0
18,8,202.0
18,9,207.0
18,10,138.0
18,11,176.0
19,0,110.0
19,1,130.0
19,2,110.0
19,3,109.0
19,4,84.0
19,5,83.0
19,6,70.0
19,7,81.0
19,8,56.0
19,9,91.0
19,10,53.0
19,11,58.0
20,0,67.0
20,1,57.0
20,2,64.0
20,3,63.0
20,4,50.0
20,5,64.0
20,6,70.0
20,7,54.0
20,8,45.0
20,9,53.0
20,10,69.0
20,11,35.0
21,0,43.0
21,1,111.0
21,2,54.0
21,3,56.0
21,4,45.0
21,5,65.0
21,6,65.0
21,7,51.0
21,8,62.0
21,9,68.0
21,10,41.0
21,11,60.0
22,0,39.0
22,1,68.0
22,2,61.0
22,3,36.0
22,4,21.0
22,5,33.0
22,6,52.0
22,7,35.0
22,8,27.0
22,9,17.0
22,10,38.0
22,11,14.0
23,0,12.0
23,1,5.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
