时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,4.0
5,5,6.0
5,6,1.0
5,7,0.0
5,8,3.0
5,9,15.0
5,10,10.0
5,11,9.0
6,0,16.0
6,1,16.0
6,2,21.0
6,3,26.0
6,4,37.0
6,5,43.0
6,6,32.0
6,7,38.0
6,8,56.0
6,9,54.0
6,10,64.0
6,11,74.0
7,0,86.0
7,1,84.0
7,2,139.0
7,3,131.0
7,4,105.0
7,5,141.0
7,6,152.0
7,7,194.0
7,8,199.0
7,9,271.0
7,10,289.0
7,11,383.0
8,0,418.0
8,1,506.0
8,2,593.0
8,3,565.0
8,4,801.0
8,5,587.0
8,6,825.0
8,7,946.0
8,8,1087.0
8,9,1318.0
8,10,1055.0
8,11,944.0
9,0,1004.0
9,1,619.0
9,2,698.0
9,3,805.0
9,4,671.0
9,5,614.0
9,6,449.0
9,7,418.0
9,8,573.0
9,9,441.0
9,10,401.0
9,11,315.0
10,0,338.0
10,1,356.0
10,2,303.0
10,3,287.0
10,4,286.0
10,5,201.0
10,6,183.0
10,7,271.0
10,8,221.0
10,9,198.0
10,10,176.0
10,11,205.0
11,0,163.0
11,1,152.0
11,2,150.0
11,3,151.0
11,4,178.0
11,5,159.0
11,6,174.0
11,7,156.0
11,8,192.0
11,9,139.0
11,10,176.0
11,11,128.0
12,0,134.0
12,1,130.0
12,2,143.0
12,3,145.0
12,4,167.0
12,5,170.0
12,6,119.0
12,7,183.0
12,8,166.0
12,9,185.0
12,10,110.0
12,11,161.0
13,0,169.0
13,1,185.0
13,2,193.0
13,3,161.0
13,4,202.0
13,5,194.0
13,6,203.0
13,7,180.0
13,8,173.0
13,9,185.0
13,10,180.0
13,11,184.0
14,0,162.0
14,1,178.0
14,2,186.0
14,3,181.0
14,4,212.0
14,5,133.0
14,6,163.0
14,7,140.0
14,8,161.0
14,9,196.0
14,10,173.0
14,11,167.0
15,0,153.0
15,1,175.0
15,2,159.0
15,3,164.0
15,4,168.0
15,5,175.0
15,6,167.0
15,7,155.0
15,8,151.0
15,9,170.0
15,10,179.0
15,11,154.0
16,0,179.0
16,1,192.0
16,2,239.0
16,3,153.0
16,4,193.0
16,5,171.0
16,6,210.0
16,7,229.0
16,8,213.0
16,9,216.0
16,10,204.0
16,11,242.0
17,0,287.0
17,1,450.0
17,2,437.0
17,3,471.0
17,4,376.0
17,5,344.0
17,6,396.0
17,7,562.0
17,8,754.0
17,9,763.0
17,10,641.0
17,11,519.0
18,0,507.0
18,1,702.0
18,2,779.0
18,3,875.0
18,4,773.0
18,5,644.0
18,6,564.0
18,7,538.0
18,8,543.0
18,9,478.0
18,10,422.0
18,11,375.0
19,0,355.0
19,1,325.0
19,2,264.0
19,3,318.0
19,4,261.0
19,5,219.0
19,6,185.0
19,7,167.0
19,8,196.0
19,9,177.0
19,10,129.0
19,11,166.0
20,0,115.0
20,1,144.0
20,2,178.0
20,3,150.0
20,4,117.0
20,5,137.0
20,6,121.0
20,7,140.0
20,8,132.0
20,9,121.0
20,10,96.0
20,11,120.0
21,0,90.0
21,1,118.0
21,2,116.0
21,3,68.0
21,4,85.0
21,5,84.0
21,6,89.0
21,7,116.0
21,8,97.0
21,9,69.0
21,10,73.0
21,11,63.0
22,0,79.0
22,1,61.0
22,2,63.0
22,3,91.0
22,4,48.0
22,5,38.0
22,6,42.0
22,7,71.0
22,8,40.0
22,9,25.0
22,10,25.0
22,11,18.0
23,0,22.0
23,1,6.0
23,2,3.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
