时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,1.0
5,4,0.0
5,5,1.0
5,6,3.0
5,7,8.0
5,8,9.0
5,9,6.0
5,10,31.0
5,11,20.0
6,0,22.0
6,1,31.0
6,2,46.0
6,3,54.0
6,4,69.0
6,5,73.0
6,6,66.0
6,7,87.0
6,8,111.0
6,9,123.0
6,10,115.0
6,11,142.0
7,0,98.0
7,1,159.0
7,2,169.0
7,3,219.0
7,4,119.0
7,5,225.0
7,6,302.0
7,7,238.0
7,8,291.0
7,9,318.0
7,10,315.0
7,11,605.0
8,0,603.0
8,1,525.0
8,2,670.0
8,3,643.0
8,4,925.0
8,5,659.0
8,6,785.0
8,7,873.0
8,8,1062.0
8,9,747.0
8,10,708.0
8,11,809.0
9,0,396.0
9,1,589.0
9,2,431.0
9,3,385.0
9,4,440.0
9,5,361.0
9,6,290.0
9,7,172.0
9,8,297.0
9,9,195.0
9,10,294.0
9,11,76.0
10,0,186.0
10,1,182.0
10,2,165.0
10,3,95.0
10,4,155.0
10,5,123.0
10,6,125.0
10,7,164.0
10,8,60.0
10,9,163.0
10,10,122.0
10,11,62.0
11,0,157.0
11,1,42.0
11,2,153.0
11,3,110.0
11,4,106.0
11,5,140.0
11,6,64.0
11,7,105.0
11,8,85.0
11,9,116.0
11,10,95.0
11,11,78.0
12,0,160.0
12,1,69.0
12,2,118.0
12,3,90.0
12,4,83.0
12,5,182.0
12,6,74.0
12,7,130.0
12,8,113.0
12,9,103.0
12,10,172.0
12,11,52.0
13,0,117.0
13,1,93.0
13,2,169.0
13,3,101.0
13,4,84.0
13,5,152.0
13,6,71.0
13,7,134.0
13,8,119.0
13,9,124.0
13,10,107.0
13,11,62.0
14,0,145.0
14,1,87.0
14,2,157.0
14,3,106.0
14,4,87.0
14,5,158.0
14,6,74.0
14,7,141.0
14,8,108.0
14,9,102.0
14,10,141.0
14,11,65.0
15,0,149.0
15,1,108.0
15,2,142.0
15,3,127.0
15,4,81.0
15,5,144.0
15,6,128.0
15,7,154.0
15,8,112.0
15,9,77.0
15,10,151.0
15,11,106.0
16,0,159.0
16,1,110.0
16,2,170.0
16,3,133.0
16,4,93.0
16,5,169.0
16,6,150.0
16,7,217.0
16,8,163.0
16,9,217.0
16,10,163.0
16,11,206.0
17,0,204.0
17,1,253.0
17,2,311.0
17,3,371.0
17,4,349.0
17,5,299.0
17,6,361.0
17,7,318.0
17,8,386.0
17,9,551.0
17,10,659.0
17,11,527.0
18,0,484.0
18,1,513.0
18,2,570.0
18,3,546.0
18,4,651.0
18,5,722.0
18,6,533.0
18,7,422.0
18,8,484.0
18,9,517.0
18,10,360.0
18,11,354.0
19,0,383.0
19,1,254.0
19,2,239.0
19,3,209.0
19,4,215.0
19,5,182.0
19,6,156.0
19,7,201.0
19,8,116.0
19,9,170.0
19,10,120.0
19,11,104.0
20,0,132.0
20,1,80.0
20,2,136.0
20,3,133.0
20,4,74.0
20,5,125.0
20,6,101.0
20,7,60.0
20,8,77.0
20,9,113.0
20,10,70.0
20,11,72.0
21,0,70.0
21,1,49.0
21,2,95.0
21,3,75.0
21,4,62.0
21,5,88.0
21,6,72.0
21,7,85.0
21,8,87.0
21,9,36.0
21,10,76.0
21,11,62.0
22,0,35.0
22,1,96.0
22,2,38.0
22,3,91.0
22,4,62.0
22,5,34.0
22,6,64.0
22,7,20.0
22,8,56.0
22,9,33.0
22,10,10.0
22,11,29.0
23,0,18.0
23,1,20.0
23,2,10.0
23,3,8.0
23,4,2.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
