时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,1.0
4,9,1.0
4,10,1.0
4,11,1.0
5,0,1.0
5,1,0.0
5,2,1.0
5,3,6.0
5,4,0.0
5,5,3.0
5,6,6.0
5,7,5.0
5,8,16.0
5,9,14.0
5,10,20.0
5,11,24.0
6,0,33.0
6,1,28.0
6,2,42.0
6,3,46.0
6,4,71.0
6,5,74.0
6,6,69.0
6,7,136.0
6,8,128.0
6,9,141.0
6,10,172.0
6,11,225.0
7,0,234.0
7,1,158.0
7,2,241.0
7,3,222.0
7,4,257.0
7,5,293.0
7,6,296.0
7,7,317.0
7,8,319.0
7,9,417.0
7,10,441.0
7,11,388.0
8,0,428.0
8,1,598.0
8,2,534.0
8,3,577.0
8,4,526.0
8,5,535.0
8,6,644.0
8,7,479.0
8,8,578.0
8,9,611.0
8,10,510.0
8,11,502.0
9,0,436.0
9,1,449.0
9,2,281.0
9,3,462.0
9,4,285.0
9,5,339.0
9,6,290.0
9,7,284.0
9,8,246.0
9,9,237.0
9,10,181.0
9,11,215.0
10,0,188.0
10,1,150.0
10,2,189.0
10,3,166.0
10,4,156.0
10,5,185.0
10,6,132.0
10,7,126.0
10,8,142.0
10,9,151.0
10,10,112.0
10,11,138.0
11,0,115.0
11,1,153.0
11,2,104.0
11,3,101.0
11,4,114.0
11,5,131.0
11,6,97.0
11,7,105.0
11,8,126.0
11,9,129.0
11,10,98.0
11,11,111.0
12,0,100.0
12,1,135.0
12,2,105.0
12,3,109.0
12,4,87.0
12,5,130.0
12,6,134.0
12,7,97.0
12,8,91.0
12,9,144.0
12,10,121.0
12,11,111.0
13,0,97.0
13,1,140.0
13,2,105.0
13,3,115.0
13,4,132.0
13,5,116.0
13,6,186.0
13,7,116.0
13,8,134.0
13,9,124.0
13,10,126.0
13,11,146.0
14,0,89.0
14,1,145.0
14,2,125.0
14,3,138.0
14,4,152.0
14,5,122.0
14,6,132.0
14,7,138.0
14,8,122.0
14,9,122.0
14,10,191.0
14,11,128.0
15,0,100.0
15,1,176.0
15,2,159.0
15,3,132.0
15,4,118.0
15,5,151.0
15,6,150.0
15,7,131.0
15,8,134.0
15,9,153.0
15,10,174.0
15,11,160.0
16,0,125.0
16,1,188.0
16,2,165.0
16,3,192.0
16,4,202.0
16,5,161.0
16,6,211.0
16,7,224.0
16,8,192.0
16,9,292.0
16,10,266.0
16,11,278.0
17,0,297.0
17,1,324.0
17,2,347.0
17,3,336.0
17,4,356.0
17,5,310.0
17,6,390.0
17,7,382.0
17,8,441.0
17,9,410.0
17,10,428.0
17,11,327.0
18,0,304.0
18,1,361.0
18,2,355.0
18,3,329.0
18,4,463.0
18,5,325.0
18,6,404.0
18,7,300.0
18,8,346.0
18,9,284.0
18,10,316.0
18,11,243.0
19,0,230.0
19,1,286.0
19,2,260.0
19,3,217.0
19,4,166.0
19,5,208.0
19,6,133.0
19,7,184.0
19,8,115.0
19,9,153.0
19,10,138.0
19,11,57.0
20,0,152.0
20,1,112.0
20,2,77.0
20,3,149.0
20,4,118.0
20,5,76.0
20,6,130.0
20,7,111.0
20,8,103.0
20,9,105.0
20,10,75.0
20,11,115.0
21,0,85.0
21,1,71.0
21,2,86.0
21,3,126.0
21,4,82.0
21,5,96.0
21,6,106.0
21,7,64.0
21,8,112.0
21,9,87.0
21,10,75.0
21,11,91.0
22,0,107.0
22,1,58.0
22,2,63.0
22,3,73.0
22,4,60.0
22,5,73.0
22,6,52.0
22,7,70.0
22,8,61.0
22,9,33.0
22,10,21.0
22,11,34.0
23,0,17.0
23,1,12.0
23,2,8.0
23,3,15.0
23,4,8.0
23,5,0.0
23,6,1.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
