时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,1.0
5,1,2.0
5,2,6.0
5,3,6.0
5,4,28.0
5,5,37.0
5,6,41.0
5,7,29.0
5,8,39.0
5,9,44.0
5,10,58.0
5,11,118.0
6,0,107.0
6,1,130.0
6,2,233.0
6,3,271.0
6,4,272.0
6,5,298.0
6,6,383.0
6,7,515.0
6,8,386.0
6,9,498.0
6,10,685.0
6,11,631.0
7,0,614.0
7,1,871.0
7,2,828.0
7,3,1116.0
7,4,1013.0
7,5,1149.0
7,6,1134.0
7,7,1369.0
7,8,1390.0
7,9,1259.0
7,10,1635.0
7,11,1574.0
8,0,1687.0
8,1,1779.0
8,2,1833.0
8,3,1797.0
8,4,1901.0
8,5,1657.0
8,6,1480.0
8,7,1458.0
8,8,1271.0
8,9,1387.0
8,10,1243.0
8,11,1096.0
9,0,1020.0
9,1,826.0
9,2,977.0
9,3,824.0
9,4,672.0
9,5,700.0
9,6,560.0
9,7,533.0
9,8,573.0
9,9,518.0
9,10,569.0
9,11,457.0
10,0,502.0
10,1,475.0
10,2,337.0
10,3,374.0
10,4,385.0
10,5,490.0
10,6,369.0
10,7,387.0
10,8,324.0
10,9,375.0
10,10,321.0
10,11,352.0
11,0,265.0
11,1,279.0
11,2,330.0
11,3,355.0
11,4,315.0
11,5,254.0
11,6,331.0
11,7,331.0
11,8,302.0
11,9,328.0
11,10,294.0
11,11,320.0
12,0,307.0
12,1,293.0
12,2,260.0
12,3,379.0
12,4,394.0
12,5,279.0
12,6,320.0
12,7,409.0
12,8,235.0
12,9,397.0
12,10,323.0
12,11,361.0
13,0,347.0
13,1,333.0
13,2,336.0
13,3,255.0
13,4,438.0
13,5,263.0
13,6,294.0
13,7,334.0
13,8,282.0
13,9,419.0
13,10,319.0
13,11,257.0
14,0,363.0
14,1,269.0
14,2,364.0
14,3,303.0
14,4,319.0
14,5,311.0
14,6,300.0
14,7,312.0
14,8,393.0
14,9,277.0
14,10,320.0
14,11,327.0
15,0,256.0
15,1,495.0
15,2,293.0
15,3,273.0
15,4,398.0
15,5,337.0
15,6,319.0
15,7,264.0
15,8,362.0
15,9,449.0
15,10,362.0
15,11,381.0
16,0,398.0
16,1,389.0
16,2,409.0
16,3,354.0
16,4,479.0
16,5,490.0
16,6,462.0
16,7,432.0
16,8,546.0
16,9,644.0
16,10,511.0
16,11,594.0
17,0,665.0
17,1,663.0
17,2,735.0
17,3,913.0
17,4,707.0
17,5,826.0
17,6,703.0
17,7,945.0
17,8,888.0
17,9,1042.0
17,10,1063.0
17,11,1086.0
18,0,1038.0
18,1,1172.0
18,2,1048.0
18,3,1062.0
18,4,1327.0
18,5,1117.0
18,6,509.0
18,7,926.0
18,8,1082.0
18,9,1311.0
18,10,1159.0
18,11,935.0
19,0,1194.0
19,1,1013.0
19,2,845.0
19,3,1090.0
19,4,1017.0
19,5,755.0
19,6,815.0
19,7,535.0
19,8,741.0
19,9,382.0
19,10,447.0
19,11,510.0
20,0,448.0
20,1,381.0
20,2,250.0
20,3,517.0
20,4,390.0
20,5,283.0
20,6,532.0
20,7,322.0
20,8,337.0
20,9,375.0
20,10,400.0
20,11,355.0
21,0,276.0
21,1,333.0
21,2,387.0
21,3,304.0
21,4,265.0
21,5,401.0
21,6,333.0
21,7,250.0
21,8,297.0
21,9,342.0
21,10,300.0
21,11,203.0
22,0,275.0
22,1,264.0
22,2,319.0
22,3,228.0
22,4,188.0
22,5,240.0
22,6,290.0
22,7,194.0
22,8,188.0
22,9,147.0
22,10,198.0
22,11,143.0
23,0,105.0
23,1,77.0
23,2,131.0
23,3,69.0
23,4,50.0
23,5,46.0
23,6,33.0
23,7,22.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
