时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,2.0
5,2,3.0
5,3,0.0
5,4,10.0
5,5,14.0
5,6,29.0
5,7,43.0
5,8,46.0
5,9,81.0
5,10,141.0
5,11,98.0
6,0,165.0
6,1,132.0
6,2,121.0
6,3,141.0
6,4,229.0
6,5,276.0
6,6,323.0
6,7,324.0
6,8,313.0
6,9,427.0
6,10,400.0
6,11,470.0
7,0,430.0
7,1,513.0
7,2,616.0
7,3,699.0
7,4,693.0
7,5,714.0
7,6,834.0
7,7,753.0
7,8,974.0
7,9,961.0
7,10,1198.0
7,11,978.0
8,0,1156.0
8,1,1044.0
8,2,1169.0
8,3,971.0
8,4,785.0
8,5,899.0
8,6,1100.0
8,7,1026.0
8,8,954.0
8,9,991.0
8,10,787.0
8,11,831.0
9,0,790.0
9,1,644.0
9,2,768.0
9,3,585.0
9,4,513.0
9,5,556.0
9,6,415.0
9,7,473.0
9,8,393.0
9,9,429.0
9,10,314.0
9,11,392.0
10,0,322.0
10,1,303.0
10,2,279.0
10,3,333.0
10,4,351.0
10,5,284.0
10,6,271.0
10,7,161.0
10,8,260.0
10,9,280.0
10,10,265.0
10,11,239.0
11,0,185.0
11,1,291.0
11,2,252.0
11,3,192.0
11,4,185.0
11,5,298.0
11,6,206.0
11,7,249.0
11,8,216.0
11,9,266.0
11,10,215.0
11,11,222.0
12,0,217.0
12,1,285.0
12,2,207.0
12,3,286.0
12,4,208.0
12,5,263.0
12,6,286.0
12,7,275.0
12,8,195.0
12,9,269.0
12,10,229.0
12,11,225.0
13,0,251.0
13,1,296.0
13,2,233.0
13,3,246.0
13,4,171.0
13,5,201.0
13,6,354.0
13,7,172.0
13,8,229.0
13,9,278.0
13,10,193.0
13,11,254.0
14,0,187.0
14,1,247.0
14,2,222.0
14,3,196.0
14,4,264.0
14,5,261.0
14,6,175.0
14,7,308.0
14,8,223.0
14,9,263.0
14,10,233.0
14,11,237.0
15,0,287.0
15,1,193.0
15,2,215.0
15,3,340.0
15,4,201.0
15,5,278.0
15,6,318.0
15,7,306.0
15,8,212.0
15,9,277.0
15,10,333.0
15,11,279.0
16,0,259.0
16,1,304.0
16,2,229.0
16,3,435.0
16,4,336.0
16,5,320.0
16,6,351.0
16,7,467.0
16,8,378.0
16,9,314.0
16,10,443.0
16,11,492.0
17,0,422.0
17,1,705.0
17,2,427.0
17,3,586.0
17,4,567.0
17,5,649.0
17,6,515.0
17,7,803.0
17,8,574.0
17,9,757.0
17,10,862.0
17,11,655.0
18,0,1049.0
18,1,497.0
18,2,859.0
18,3,1132.0
18,4,826.0
18,5,521.0
18,6,1006.0
18,7,680.0
18,8,1042.0
18,9,985.0
18,10,933.0
18,11,576.0
19,0,840.0
19,1,534.0
19,2,582.0
19,3,722.0
19,4,609.0
19,5,570.0
19,6,401.0
19,7,432.0
19,8,382.0
19,9,292.0
19,10,202.0
19,11,386.0
20,0,416.0
20,1,166.0
20,2,408.0
20,3,375.0
20,4,245.0
20,5,312.0
20,6,270.0
20,7,236.0
20,8,315.0
20,9,221.0
20,10,261.0
20,11,191.0
21,0,316.0
21,1,170.0
21,2,223.0
21,3,300.0
21,4,263.0
21,5,218.0
21,6,195.0
21,7,268.0
21,8,311.0
21,9,236.0
21,10,160.0
21,11,155.0
22,0,238.0
22,1,159.0
22,2,159.0
22,3,118.0
22,4,254.0
22,5,119.0
22,6,131.0
22,7,178.0
22,8,156.0
22,9,90.0
22,10,53.0
22,11,77.0
23,0,60.0
23,1,54.0
23,2,36.0
23,3,26.0
23,4,33.0
23,5,17.0
23,6,6.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
