时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,1.0
5,1,2.0
5,2,3.0
5,3,4.0
5,4,3.0
5,5,4.0
5,6,3.0
5,7,3.0
5,8,7.0
5,9,7.0
5,10,9.0
5,11,4.0
6,0,6.0
6,1,15.0
6,2,12.0
6,3,27.0
6,4,14.0
6,5,25.0
6,6,23.0
6,7,38.0
6,8,58.0
6,9,57.0
6,10,36.0
6,11,108.0
7,0,115.0
7,1,122.0
7,2,108.0
7,3,110.0
7,4,109.0
7,5,73.0
7,6,134.0
7,7,121.0
7,8,138.0
7,9,214.0
7,10,217.0
7,11,201.0
8,0,139.0
8,1,222.0
8,2,182.0
8,3,211.0
8,4,208.0
8,5,146.0
8,6,168.0
8,7,199.0
8,8,190.0
8,9,210.0
8,10,223.0
8,11,203.0
9,0,152.0
9,1,155.0
9,2,101.0
9,3,121.0
9,4,141.0
9,5,106.0
9,6,123.0
9,7,95.0
9,8,96.0
9,9,111.0
9,10,93.0
9,11,88.0
10,0,67.0
10,1,70.0
10,2,62.0
10,3,79.0
10,4,74.0
10,5,59.0
10,6,66.0
10,7,77.0
10,8,44.0
10,9,35.0
10,10,67.0
10,11,67.0
11,0,53.0
11,1,53.0
11,2,49.0
11,3,54.0
11,4,42.0
11,5,51.0
11,6,43.0
11,7,66.0
11,8,32.0
11,9,59.0
11,10,39.0
11,11,54.0
12,0,50.0
12,1,30.0
12,2,49.0
12,3,59.0
12,4,57.0
12,5,33.0
12,6,54.0
12,7,39.0
12,8,39.0
12,9,47.0
12,10,40.0
12,11,37.0
13,0,70.0
13,1,53.0
13,2,40.0
13,3,74.0
13,4,71.0
13,5,65.0
13,6,68.0
13,7,62.0
13,8,57.0
13,9,63.0
13,10,68.0
13,11,37.0
14,0,53.0
14,1,39.0
14,2,76.0
14,3,61.0
14,4,63.0
14,5,46.0
14,6,61.0
14,7,51.0
14,8,70.0
14,9,52.0
14,10,44.0
14,11,42.0
15,0,63.0
15,1,52.0
15,2,69.0
15,3,66.0
15,4,78.0
15,5,64.0
15,6,66.0
15,7,82.0
15,8,64.0
15,9,102.0
15,10,69.0
15,11,79.0
16,0,89.0
16,1,95.0
16,2,108.0
16,3,85.0
16,4,77.0
16,5,61.0
16,6,92.0
16,7,97.0
16,8,123.0
16,9,133.0
16,10,174.0
16,11,155.0
17,0,129.0
17,1,170.0
17,2,197.0
17,3,189.0
17,4,236.0
17,5,232.0
17,6,186.0
17,7,193.0
17,8,198.0
17,9,244.0
17,10,172.0
17,11,196.0
18,0,150.0
18,1,150.0
18,2,151.0
18,3,176.0
18,4,176.0
18,5,138.0
18,6,120.0
18,7,105.0
18,8,128.0
18,9,99.0
18,10,81.0
18,11,123.0
19,0,97.0
19,1,94.0
19,2,99.0
19,3,66.0
19,4,67.0
19,5,49.0
19,6,60.0
19,7,36.0
19,8,73.0
19,9,50.0
19,10,65.0
19,11,36.0
20,0,50.0
20,1,63.0
20,2,38.0
20,3,43.0
20,4,46.0
20,5,58.0
20,6,38.0
20,7,44.0
20,8,45.0
20,9,44.0
20,10,85.0
20,11,47.0
21,0,66.0
21,1,36.0
21,2,58.0
21,3,52.0
21,4,54.0
21,5,55.0
21,6,45.0
21,7,60.0
21,8,44.0
21,9,44.0
21,10,35.0
21,11,45.0
22,0,26.0
22,1,35.0
22,2,42.0
22,3,38.0
22,4,32.0
22,5,19.0
22,6,29.0
22,7,21.0
22,8,16.0
22,9,9.0
22,10,12.0
22,11,6.0
23,0,5.0
23,1,5.0
23,2,7.0
23,3,1.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
