时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,1.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,1.0
5,4,5.0
5,5,16.0
5,6,33.0
5,7,47.0
5,8,54.0
5,9,43.0
5,10,93.0
5,11,98.0
6,0,90.0
6,1,127.0
6,2,143.0
6,3,177.0
6,4,193.0
6,5,214.0
6,6,209.0
6,7,265.0
6,8,297.0
6,9,340.0
6,10,304.0
6,11,343.0
7,0,428.0
7,1,411.0
7,2,460.0
7,3,455.0
7,4,561.0
7,5,614.0
7,6,645.0
7,7,757.0
7,8,755.0
7,9,802.0
7,10,724.0
7,11,888.0
8,0,841.0
8,1,833.0
8,2,778.0
8,3,736.0
8,4,748.0
8,5,620.0
8,6,691.0
8,7,639.0
8,8,498.0
8,9,583.0
8,10,548.0
8,11,407.0
9,0,434.0
9,1,333.0
9,2,348.0
9,3,311.0
9,4,237.0
9,5,232.0
9,6,271.0
9,7,193.0
9,8,173.0
9,9,182.0
9,10,155.0
9,11,150.0
10,0,172.0
10,1,157.0
10,2,171.0
10,3,169.0
10,4,104.0
10,5,105.0
10,6,165.0
10,7,148.0
10,8,109.0
10,9,165.0
10,10,74.0
10,11,102.0
11,0,122.0
11,1,140.0
11,2,117.0
11,3,69.0
11,4,137.0
11,5,118.0
11,6,122.0
11,7,106.0
11,8,75.0
11,9,176.0
11,10,83.0
11,11,148.0
12,0,96.0
12,1,102.0
12,2,156.0
12,3,85.0
12,4,134.0
12,5,109.0
12,6,129.0
12,7,124.0
12,8,94.0
12,9,124.0
12,10,100.0
12,11,146.0
13,0,97.0
13,1,118.0
13,2,120.0
13,3,77.0
13,4,108.0
13,5,110.0
13,6,131.0
13,7,95.0
13,8,52.0
13,9,129.0
13,10,101.0
13,11,123.0
14,0,108.0
14,1,56.0
14,2,153.0
14,3,68.0
14,4,134.0
14,5,94.0
14,6,99.0
14,7,92.0
14,8,57.0
14,9,133.0
14,10,85.0
14,11,138.0
15,0,105.0
15,1,66.0
15,2,156.0
15,3,54.0
15,4,143.0
15,5,104.0
15,6,136.0
15,7,137.0
15,8,58.0
15,9,156.0
15,10,117.0
15,11,152.0
16,0,186.0
16,1,58.0
16,2,232.0
16,3,86.0
16,4,189.0
16,5,110.0
16,6,187.0
16,7,172.0
16,8,77.0
16,9,286.0
16,10,94.0
16,11,337.0
17,0,91.0
17,1,270.0
17,2,334.0
17,3,165.0
17,4,311.0
17,5,348.0
17,6,306.0
17,7,287.0
17,8,461.0
17,9,335.0
17,10,445.0
17,11,300.0
18,0,588.0
18,1,350.0
18,2,677.0
18,3,389.0
18,4,730.0
18,5,502.0
18,6,683.0
18,7,474.0
18,8,519.0
18,9,239.0
18,10,880.0
18,11,628.0
19,0,671.0
19,1,336.0
19,2,556.0
19,3,359.0
19,4,454.0
19,5,218.0
19,6,187.0
19,7,476.0
19,8,127.0
19,9,384.0
19,10,24.0
19,11,314.0
20,0,344.0
20,1,56.0
20,2,242.0
20,3,196.0
20,4,174.0
20,5,126.0
20,6,34.0
20,7,222.0
20,8,149.0
20,9,165.0
20,10,38.0
20,11,224.0
21,0,168.0
21,1,43.0
21,2,233.0
21,3,29.0
21,4,211.0
21,5,196.0
21,6,31.0
21,7,224.0
21,8,175.0
21,9,75.0
21,10,217.0
21,11,29.0
22,0,148.0
22,1,138.0
22,2,21.0
22,3,166.0
22,4,147.0
22,5,30.0
22,6,164.0
22,7,18.0
22,8,229.0
22,9,171.0
22,10,7.0
22,11,167.0
23,0,7.0
23,1,90.0
23,2,75.0
23,3,35.0
23,4,42.0
23,5,30.0
23,6,1.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
