时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,1.0
5,3,2.0
5,4,1.0
5,5,5.0
5,6,10.0
5,7,10.0
5,8,17.0
5,9,27.0
5,10,25.0
5,11,26.0
6,0,52.0
6,1,49.0
6,2,37.0
6,3,61.0
6,4,73.0
6,5,96.0
6,6,86.0
6,7,136.0
6,8,135.0
6,9,184.0
6,10,191.0
6,11,178.0
7,0,264.0
7,1,248.0
7,2,226.0
7,3,319.0
7,4,277.0
7,5,394.0
7,6,279.0
7,7,384.0
7,8,406.0
7,9,416.0
7,10,500.0
7,11,398.0
8,0,507.0
8,1,450.0
8,2,430.0
8,3,417.0
8,4,369.0
8,5,352.0
8,6,385.0
8,7,390.0
8,8,329.0
8,9,358.0
8,10,404.0
8,11,306.0
9,0,300.0
9,1,296.0
9,2,283.0
9,3,230.0
9,4,183.0
9,5,219.0
9,6,182.0
9,7,130.0
9,8,194.0
9,9,124.0
9,10,147.0
9,11,103.0
10,0,94.0
10,1,146.0
10,2,125.0
10,3,123.0
10,4,106.0
10,5,103.0
10,6,95.0
10,7,137.0
10,8,74.0
10,9,93.0
10,10,104.0
10,11,90.0
11,0,97.0
11,1,61.0
11,2,101.0
11,3,91.0
11,4,68.0
11,5,86.0
11,6,106.0
11,7,61.0
11,8,90.0
11,9,68.0
11,10,76.0
11,11,96.0
12,0,97.0
12,1,91.0
12,2,77.0
12,3,100.0
12,4,79.0
12,5,93.0
12,6,94.0
12,7,91.0
12,8,88.0
12,9,86.0
12,10,70.0
12,11,114.0
13,0,75.0
13,1,122.0
13,2,119.0
13,3,89.0
13,4,87.0
13,5,111.0
13,6,84.0
13,7,117.0
13,8,67.0
13,9,86.0
13,10,77.0
13,11,93.0
14,0,89.0
14,1,81.0
14,2,63.0
14,3,98.0
14,4,94.0
14,5,94.0
14,6,119.0
14,7,102.0
14,8,79.0
14,9,99.0
14,10,74.0
14,11,117.0
15,0,130.0
15,1,89.0
15,2,112.0
15,3,72.0
15,4,110.0
15,5,77.0
15,6,88.0
15,7,136.0
15,8,89.0
15,9,100.0
15,10,87.0
15,11,72.0
16,0,173.0
16,1,134.0
16,2,135.0
16,3,95.0
16,4,226.0
16,5,125.0
16,6,140.0
16,7,147.0
16,8,215.0
16,9,172.0
16,10,161.0
16,11,135.0
17,0,272.0
17,1,237.0
17,2,292.0
17,3,205.0
17,4,289.0
17,5,316.0
17,6,281.0
17,7,363.0
17,8,305.0
17,9,330.0
17,10,363.0
17,11,294.0
18,0,379.0
18,1,327.0
18,2,415.0
18,3,275.0
18,4,278.0
18,5,502.0
18,6,299.0
18,7,334.0
18,8,436.0
18,9,427.0
18,10,365.0
18,11,357.0
19,0,313.0
19,1,118.0
19,2,398.0
19,3,284.0
19,4,185.0
19,5,195.0
19,6,215.0
19,7,137.0
19,8,124.0
19,9,192.0
19,10,157.0
19,11,121.0
20,0,86.0
20,1,204.0
20,2,118.0
20,3,90.0
20,4,137.0
20,5,96.0
20,6,113.0
20,7,107.0
20,8,137.0
20,9,90.0
20,10,122.0
20,11,77.0
21,0,85.0
21,1,117.0
21,2,99.0
21,3,77.0
21,4,125.0
21,5,91.0
21,6,95.0
21,7,95.0
21,8,62.0
21,9,139.0
21,10,87.0
21,11,57.0
22,0,75.0
22,1,119.0
22,2,67.0
22,3,69.0
22,4,35.0
22,5,81.0
22,6,88.0
22,7,73.0
22,8,45.0
22,9,63.0
22,10,35.0
22,11,33.0
23,0,28.0
23,1,10.0
23,2,12.0
23,3,16.0
23,4,5.0
23,5,13.0
23,6,2.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
