时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,1.0
5,0,0.0
5,1,1.0
5,2,0.0
5,3,0.0
5,4,2.0
5,5,3.0
5,6,6.0
5,7,4.0
5,8,11.0
5,9,14.0
5,10,9.0
5,11,16.0
6,0,19.0
6,1,30.0
6,2,35.0
6,3,26.0
6,4,46.0
6,5,60.0
6,6,61.0
6,7,63.0
6,8,85.0
6,9,80.0
6,10,151.0
6,11,116.0
7,0,181.0
7,1,207.0
7,2,207.0
7,3,177.0
7,4,245.0
7,5,223.0
7,6,202.0
7,7,236.0
7,8,263.0
7,9,288.0
7,10,278.0
7,11,280.0
8,0,265.0
8,1,302.0
8,2,314.0
8,3,381.0
8,4,437.0
8,5,334.0
8,6,399.0
8,7,533.0
8,8,493.0
8,9,553.0
8,10,617.0
8,11,694.0
9,0,609.0
9,1,593.0
9,2,611.0
9,3,442.0
9,4,693.0
9,5,421.0
9,6,389.0
9,7,331.0
9,8,363.0
9,9,338.0
9,10,318.0
9,11,254.0
10,0,282.0
10,1,242.0
10,2,223.0
10,3,227.0
10,4,221.0
10,5,225.0
10,6,284.0
10,7,173.0
10,8,223.0
10,9,226.0
10,10,193.0
10,11,203.0
11,0,234.0
11,1,170.0
11,2,183.0
11,3,200.0
11,4,212.0
11,5,196.0
11,6,210.0
11,7,172.0
11,8,254.0
11,9,184.0
11,10,230.0
11,11,186.0
12,0,168.0
12,1,213.0
12,2,180.0
12,3,194.0
12,4,173.0
12,5,183.0
12,6,214.0
12,7,179.0
12,8,174.0
12,9,203.0
12,10,183.0
12,11,216.0
13,0,208.0
13,1,196.0
13,2,222.0
13,3,187.0
13,4,236.0
13,5,177.0
13,6,240.0
13,7,240.0
13,8,214.0
13,9,224.0
13,10,230.0
13,11,222.0
14,0,199.0
14,1,195.0
14,2,175.0
14,3,239.0
14,4,207.0
14,5,203.0
14,6,235.0
14,7,205.0
14,8,276.0
14,9,207.0
14,10,205.0
14,11,212.0
15,0,201.0
15,1,219.0
15,2,193.0
15,3,216.0
15,4,213.0
15,5,201.0
15,6,191.0
15,7,237.0
15,8,217.0
15,9,236.0
15,10,228.0
15,11,255.0
16,0,253.0
16,1,242.0
16,2,262.0
16,3,252.0
16,4,227.0
16,5,253.0
16,6,251.0
16,7,293.0
16,8,301.0
16,9,293.0
16,10,262.0
16,11,274.0
17,0,260.0
17,1,392.0
17,2,373.0
17,3,407.0
17,4,320.0
17,5,380.0
17,6,349.0
17,7,384.0
17,8,517.0
17,9,469.0
17,10,424.0
17,11,435.0
18,0,381.0
18,1,474.0
18,2,648.0
18,3,581.0
18,4,488.0
18,5,470.0
18,6,459.0
18,7,445.0
18,8,516.0
18,9,391.0
18,10,387.0
18,11,310.0
19,0,298.0
19,1,306.0
19,2,264.0
19,3,286.0
19,4,236.0
19,5,254.0
19,6,184.0
19,7,255.0
19,8,203.0
19,9,181.0
19,10,194.0
19,11,190.0
20,0,167.0
20,1,196.0
20,2,172.0
20,3,172.0
20,4,170.0
20,5,182.0
20,6,170.0
20,7,158.0
20,8,198.0
20,9,187.0
20,10,194.0
20,11,175.0
21,0,140.0
21,1,199.0
21,2,212.0
21,3,166.0
21,4,163.0
21,5,157.0
21,6,150.0
21,7,169.0
21,8,155.0
21,9,150.0
21,10,171.0
21,11,124.0
22,0,138.0
22,1,222.0
22,2,316.0
22,3,214.0
22,4,118.0
22,5,101.0
22,6,84.0
22,7,77.0
22,8,85.0
22,9,49.0
22,10,37.0
22,11,22.0
23,0,21.0
23,1,12.0
23,2,8.0
23,3,5.0
23,4,1.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
