时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,3.0
5,0,4.0
5,1,0.0
5,2,3.0
5,3,3.0
5,4,9.0
5,5,12.0
5,6,11.0
5,7,9.0
5,8,10.0
5,9,10.0
5,10,6.0
5,11,13.0
6,0,26.0
6,1,21.0
6,2,65.0
6,3,30.0
6,4,56.0
6,5,53.0
6,6,73.0
6,7,64.0
6,8,83.0
6,9,62.0
6,10,95.0
6,11,84.0
7,0,128.0
7,1,122.0
7,2,107.0
7,3,156.0
7,4,187.0
7,5,171.0
7,6,215.0
7,7,127.0
7,8,315.0
7,9,269.0
7,10,315.0
7,11,239.0
8,0,381.0
8,1,474.0
8,2,425.0
8,3,503.0
8,4,591.0
8,5,511.0
8,6,587.0
8,7,897.0
8,8,748.0
8,9,642.0
8,10,1116.0
8,11,869.0
9,0,866.0
9,1,674.0
9,2,754.0
9,3,785.0
9,4,745.0
9,5,684.0
9,6,671.0
9,7,413.0
9,8,636.0
9,9,439.0
9,10,562.0
9,11,330.0
10,0,366.0
10,1,376.0
10,2,424.0
10,3,236.0
10,4,297.0
10,5,252.0
10,6,238.0
10,7,237.0
10,8,199.0
10,9,246.0
10,10,236.0
10,11,217.0
11,0,144.0
11,1,170.0
11,2,210.0
11,3,159.0
11,4,210.0
11,5,172.0
11,6,250.0
11,7,205.0
11,8,203.0
11,9,158.0
11,10,213.0
11,11,232.0
12,0,181.0
12,1,185.0
12,2,185.0
12,3,188.0
12,4,210.0
12,5,205.0
12,6,213.0
12,7,154.0
12,8,195.0
12,9,204.0
12,10,248.0
12,11,209.0
13,0,182.0
13,1,144.0
13,2,154.0
13,3,255.0
13,4,196.0
13,5,201.0
13,6,213.0
13,7,216.0
13,8,147.0
13,9,248.0
13,10,242.0
13,11,217.0
14,0,184.0
14,1,217.0
14,2,178.0
14,3,263.0
14,4,212.0
14,5,179.0
14,6,177.0
14,7,211.0
14,8,221.0
14,9,193.0
14,10,207.0
14,11,171.0
15,0,190.0
15,1,183.0
15,2,187.0
15,3,248.0
15,4,193.0
15,5,151.0
15,6,172.0
15,7,200.0
15,8,184.0
15,9,196.0
15,10,206.0
15,11,206.0
16,0,179.0
16,1,222.0
16,2,242.0
16,3,247.0
16,4,206.0
16,5,292.0
16,6,246.0
16,7,278.0
16,8,224.0
16,9,279.0
16,10,286.0
16,11,269.0
17,0,280.0
17,1,390.0
17,2,445.0
17,3,518.0
17,4,374.0
17,5,387.0
17,6,417.0
17,7,617.0
17,8,626.0
17,9,720.0
17,10,589.0
17,11,523.0
18,0,437.0
18,1,811.0
18,2,812.0
18,3,859.0
18,4,867.0
18,5,679.0
18,6,587.0
18,7,601.0
18,8,615.0
18,9,458.0
18,10,575.0
18,11,394.0
19,0,395.0
19,1,352.0
19,2,374.0
19,3,304.0
19,4,287.0
19,5,280.0
19,6,238.0
19,7,230.0
19,8,257.0
19,9,181.0
19,10,177.0
19,11,181.0
20,0,188.0
20,1,201.0
20,2,191.0
20,3,193.0
20,4,185.0
20,5,180.0
20,6,180.0
20,7,156.0
20,8,180.0
20,9,190.0
20,10,145.0
20,11,151.0
21,0,192.0
21,1,175.0
21,2,174.0
21,3,190.0
21,4,181.0
21,5,128.0
21,6,165.0
21,7,136.0
21,8,131.0
21,9,127.0
21,10,139.0
21,11,133.0
22,0,198.0
22,1,240.0
22,2,169.0
22,3,149.0
22,4,86.0
22,5,100.0
22,6,61.0
22,7,97.0
22,8,48.0
22,9,43.0
22,10,38.0
22,11,29.0
23,0,4.0
23,1,7.0
23,2,5.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
