时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,2.0
5,2,0.0
5,3,3.0
5,4,1.0
5,5,4.0
5,6,5.0
5,7,2.0
5,8,1.0
5,9,9.0
5,10,5.0
5,11,7.0
6,0,2.0
6,1,5.0
6,2,4.0
6,3,31.0
6,4,23.0
6,5,18.0
6,6,22.0
6,7,40.0
6,8,67.0
6,9,94.0
6,10,63.0
6,11,85.0
7,0,47.0
7,1,108.0
7,2,103.0
7,3,107.0
7,4,156.0
7,5,113.0
7,6,140.0
7,7,174.0
7,8,227.0
7,9,267.0
7,10,270.0
7,11,450.0
8,0,400.0
8,1,386.0
8,2,443.0
8,3,394.0
8,4,437.0
8,5,453.0
8,6,449.0
8,7,454.0
8,8,408.0
8,9,553.0
8,10,355.0
8,11,452.0
9,0,364.0
9,1,264.0
9,2,242.0
9,3,263.0
9,4,271.0
9,5,220.0
9,6,192.0
9,7,208.0
9,8,186.0
9,9,163.0
9,10,129.0
9,11,185.0
10,0,140.0
10,1,125.0
10,2,141.0
10,3,109.0
10,4,122.0
10,5,138.0
10,6,109.0
10,7,63.0
10,8,138.0
10,9,93.0
10,10,94.0
10,11,84.0
11,0,88.0
11,1,102.0
11,2,101.0
11,3,101.0
11,4,115.0
11,5,102.0
11,6,111.0
11,7,76.0
11,8,125.0
11,9,87.0
11,10,80.0
11,11,82.0
12,0,93.0
12,1,78.0
12,2,98.0
12,3,69.0
12,4,71.0
12,5,86.0
12,6,92.0
12,7,83.0
12,8,105.0
12,9,96.0
12,10,94.0
12,11,85.0
13,0,148.0
13,1,105.0
13,2,116.0
13,3,70.0
13,4,101.0
13,5,99.0
13,6,116.0
13,7,90.0
13,8,104.0
13,9,85.0
13,10,99.0
13,11,117.0
14,0,107.0
14,1,83.0
14,2,82.0
14,3,107.0
14,4,149.0
14,5,102.0
14,6,104.0
14,7,99.0
14,8,100.0
14,9,80.0
14,10,87.0
14,11,100.0
15,0,131.0
15,1,101.0
15,2,77.0
15,3,86.0
15,4,144.0
15,5,132.0
15,6,68.0
15,7,83.0
15,8,146.0
15,9,97.0
15,10,119.0
15,11,119.0
16,0,130.0
16,1,122.0
16,2,113.0
16,3,136.0
16,4,119.0
16,5,131.0
16,6,145.0
16,7,170.0
16,8,136.0
16,9,206.0
16,10,170.0
16,11,190.0
17,0,127.0
17,1,189.0
17,2,194.0
17,3,243.0
17,4,226.0
17,5,223.0
17,6,288.0
17,7,332.0
17,8,394.0
17,9,352.0
17,10,350.0
17,11,311.0
18,0,282.0
18,1,304.0
18,2,248.0
18,3,293.0
18,4,362.0
18,5,399.0
18,6,309.0
18,7,257.0
18,8,216.0
18,9,324.0
18,10,335.0
18,11,258.0
19,0,223.0
19,1,198.0
19,2,178.0
19,3,173.0
19,4,99.0
19,5,122.0
19,6,106.0
19,7,137.0
19,8,94.0
19,9,144.0
19,10,88.0
19,11,116.0
20,0,66.0
20,1,76.0
20,2,89.0
20,3,92.0
20,4,84.0
20,5,52.0
20,6,69.0
20,7,114.0
20,8,108.0
20,9,249.0
20,10,198.0
20,11,97.0
21,0,77.0
21,1,79.0
21,2,50.0
21,3,65.0
21,4,52.0
21,5,48.0
21,6,54.0
21,7,39.0
21,8,40.0
21,9,34.0
21,10,30.0
21,11,41.0
22,0,32.0
22,1,25.0
22,2,26.0
22,3,27.0
22,4,18.0
22,5,20.0
22,6,42.0
22,7,4.0
22,8,16.0
22,9,17.0
22,10,4.0
22,11,10.0
23,0,6.0
23,1,3.0
23,2,3.0
23,3,7.0
23,4,5.0
23,5,5.0
23,6,3.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
