时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,2.0
5,3,5.0
5,4,4.0
5,5,4.0
5,6,3.0
5,7,7.0
5,8,9.0
5,9,10.0
5,10,15.0
5,11,8.0
6,0,11.0
6,1,15.0
6,2,30.0
6,3,25.0
6,4,18.0
6,5,47.0
6,6,57.0
6,7,57.0
6,8,55.0
6,9,74.0
6,10,128.0
6,11,124.0
7,0,152.0
7,1,132.0
7,2,189.0
7,3,151.0
7,4,189.0
7,5,235.0
7,6,242.0
7,7,373.0
7,8,322.0
7,9,424.0
7,10,427.0
7,11,499.0
8,0,492.0
8,1,485.0
8,2,490.0
8,3,468.0
8,4,648.0
8,5,483.0
8,6,418.0
8,7,228.0
8,8,428.0
8,9,407.0
8,10,405.0
8,11,327.0
9,0,316.0
9,1,291.0
9,2,258.0
9,3,223.0
9,4,192.0
9,5,169.0
9,6,179.0
9,7,106.0
9,8,141.0
9,9,133.0
9,10,123.0
9,11,83.0
10,0,72.0
10,1,79.0
10,2,57.0
10,3,76.0
10,4,120.0
10,5,63.0
10,6,58.0
10,7,73.0
10,8,80.0
10,9,80.0
10,10,68.0
10,11,68.0
11,0,52.0
11,1,45.0
11,2,48.0
11,3,55.0
11,4,45.0
11,5,43.0
11,6,43.0
11,7,58.0
11,8,52.0
11,9,50.0
11,10,66.0
11,11,70.0
12,0,54.0
12,1,56.0
12,2,53.0
12,3,62.0
12,4,62.0
12,5,55.0
12,6,69.0
12,7,88.0
12,8,70.0
12,9,65.0
12,10,31.0
12,11,55.0
13,0,56.0
13,1,49.0
13,2,47.0
13,3,81.0
13,4,53.0
13,5,71.0
13,6,54.0
13,7,64.0
13,8,73.0
13,9,62.0
13,10,76.0
13,11,55.0
14,0,52.0
14,1,62.0
14,2,48.0
14,3,70.0
14,4,78.0
14,5,42.0
14,6,55.0
14,7,66.0
14,8,53.0
14,9,79.0
14,10,51.0
14,11,48.0
15,0,82.0
15,1,53.0
15,2,62.0
15,3,58.0
15,4,47.0
15,5,62.0
15,6,67.0
15,7,79.0
15,8,61.0
15,9,76.0
15,10,78.0
15,11,82.0
16,0,53.0
16,1,99.0
16,2,84.0
16,3,72.0
16,4,93.0
16,5,110.0
16,6,81.0
16,7,97.0
16,8,115.0
16,9,128.0
16,10,157.0
16,11,166.0
17,0,203.0
17,1,97.0
17,2,189.0
17,3,213.0
17,4,191.0
17,5,254.0
17,6,204.0
17,7,207.0
17,8,343.0
17,9,245.0
17,10,323.0
17,11,225.0
18,0,340.0
18,1,314.0
18,2,342.0
18,3,319.0
18,4,281.0
18,5,408.0
18,6,269.0
18,7,411.0
18,8,230.0
18,9,430.0
18,10,166.0
18,11,225.0
19,0,307.0
19,1,242.0
19,2,267.0
19,3,194.0
19,4,171.0
19,5,222.0
19,6,161.0
19,7,179.0
19,8,127.0
19,9,207.0
19,10,136.0
19,11,132.0
20,0,115.0
20,1,183.0
20,2,138.0
20,3,90.0
20,4,112.0
20,5,115.0
20,6,88.0
20,7,49.0
20,8,122.0
20,9,99.0
20,10,84.0
20,11,88.0
21,0,96.0
21,1,125.0
21,2,123.0
21,3,101.0
21,4,97.0
21,5,99.0
21,6,92.0
21,7,80.0
21,8,105.0
21,9,93.0
21,10,75.0
21,11,82.0
22,0,67.0
22,1,75.0
22,2,75.0
22,3,52.0
22,4,74.0
22,5,53.0
22,6,81.0
22,7,17.0
22,8,64.0
22,9,27.0
22,10,44.0
22,11,14.0
23,0,20.0
23,1,19.0
23,2,10.0
23,3,10.0
23,4,7.0
23,5,9.0
23,6,9.0
23,7,3.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
