时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,1.0
4,11,0.0
5,0,0.0
5,1,2.0
5,2,3.0
5,3,11.0
5,4,13.0
5,5,14.0
5,6,16.0
5,7,16.0
5,8,23.0
5,9,26.0
5,10,30.0
5,11,26.0
6,0,40.0
6,1,29.0
6,2,67.0
6,3,90.0
6,4,59.0
6,5,94.0
6,6,100.0
6,7,140.0
6,8,130.0
6,9,180.0
6,10,180.0
6,11,246.0
7,0,310.0
7,1,241.0
7,2,241.0
7,3,349.0
7,4,301.0
7,5,323.0
7,6,247.0
7,7,339.0
7,8,478.0
7,9,527.0
7,10,560.0
7,11,658.0
8,0,912.0
8,1,874.0
8,2,1116.0
8,3,1083.0
8,4,1085.0
8,5,1169.0
8,6,1335.0
8,7,1363.0
8,8,1511.0
8,9,1112.0
8,10,1372.0
8,11,1135.0
9,0,1036.0
9,1,1007.0
9,2,832.0
9,3,519.0
9,4,484.0
9,5,571.0
9,6,611.0
9,7,428.0
9,8,445.0
9,9,416.0
9,10,311.0
9,11,332.0
10,0,306.0
10,1,221.0
10,2,261.0
10,3,231.0
10,4,228.0
10,5,225.0
10,6,183.0
10,7,263.0
10,8,217.0
10,9,126.0
10,10,174.0
10,11,180.0
11,0,146.0
11,1,164.0
11,2,196.0
11,3,201.0
11,4,190.0
11,5,177.0
11,6,207.0
11,7,222.0
11,8,203.0
11,9,259.0
11,10,209.0
11,11,150.0
12,0,176.0
12,1,137.0
12,2,173.0
12,3,170.0
12,4,190.0
12,5,163.0
12,6,216.0
12,7,174.0
12,8,214.0
12,9,161.0
12,10,210.0
12,11,256.0
13,0,210.0
13,1,188.0
13,2,202.0
13,3,212.0
13,4,215.0
13,5,177.0
13,6,231.0
13,7,244.0
13,8,221.0
13,9,177.0
13,10,134.0
13,11,188.0
14,0,168.0
14,1,168.0
14,2,191.0
14,3,189.0
14,4,205.0
14,5,203.0
14,6,221.0
14,7,189.0
14,8,179.0
14,9,200.0
14,10,249.0
14,11,192.0
15,0,170.0
15,1,135.0
15,2,205.0
15,3,188.0
15,4,199.0
15,5,168.0
15,6,223.0
15,7,215.0
15,8,201.0
15,9,200.0
15,10,212.0
15,11,203.0
16,0,227.0
16,1,270.0
16,2,214.0
16,3,194.0
16,4,261.0
16,5,273.0
16,6,266.0
16,7,220.0
16,8,258.0
16,9,430.0
16,10,472.0
16,11,410.0
17,0,442.0
17,1,458.0
17,2,621.0
17,3,622.0
17,4,629.0
17,5,593.0
17,6,585.0
17,7,804.0
17,8,907.0
17,9,804.0
17,10,657.0
17,11,896.0
18,0,693.0
18,1,813.0
18,2,857.0
18,3,1053.0
18,4,1105.0
18,5,917.0
18,6,762.0
18,7,750.0
18,8,638.0
18,9,806.0
18,10,589.0
18,11,656.0
19,0,495.0
19,1,615.0
19,2,468.0
19,3,297.0
19,4,258.0
19,5,330.0
19,6,328.0
19,7,282.0
19,8,279.0
19,9,237.0
19,10,223.0
19,11,246.0
20,0,221.0
20,1,199.0
20,2,255.0
20,3,280.0
20,4,265.0
20,5,200.0
20,6,175.0
20,7,190.0
20,8,193.0
20,9,172.0
20,10,152.0
20,11,175.0
21,0,194.0
21,1,191.0
21,2,219.0
21,3,248.0
21,4,166.0
21,5,268.0
21,6,156.0
21,7,134.0
21,8,223.0
21,9,111.0
21,10,173.0
21,11,100.0
22,0,131.0
22,1,134.0
22,2,111.0
22,3,156.0
22,4,182.0
22,5,110.0
22,6,88.0
22,7,75.0
22,8,69.0
22,9,51.0
22,10,61.0
22,11,35.0
23,0,39.0
23,1,41.0
23,2,21.0
23,3,8.0
23,4,14.0
23,5,4.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
