时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,1.0
5,4,7.0
5,5,5.0
5,6,4.0
5,7,14.0
5,8,8.0
5,9,34.0
5,10,28.0
5,11,21.0
6,0,34.0
6,1,58.0
6,2,36.0
6,3,57.0
6,4,60.0
6,5,70.0
6,6,79.0
6,7,95.0
6,8,110.0
6,9,138.0
6,10,131.0
6,11,194.0
7,0,202.0
7,1,209.0
7,2,303.0
7,3,231.0
7,4,250.0
7,5,289.0
7,6,266.0
7,7,340.0
7,8,412.0
7,9,383.0
7,10,491.0
7,11,573.0
8,0,559.0
8,1,584.0
8,2,489.0
8,3,807.0
8,4,657.0
8,5,798.0
8,6,819.0
8,7,787.0
8,8,879.0
8,9,755.0
8,10,980.0
8,11,786.0
9,0,524.0
9,1,594.0
9,2,762.0
9,3,530.0
9,4,662.0
9,5,440.0
9,6,585.0
9,7,419.0
9,8,568.0
9,9,495.0
9,10,467.0
9,11,422.0
10,0,361.0
10,1,393.0
10,2,250.0
10,3,320.0
10,4,272.0
10,5,270.0
10,6,272.0
10,7,231.0
10,8,337.0
10,9,224.0
10,10,235.0
10,11,170.0
11,0,224.0
11,1,212.0
11,2,260.0
11,3,254.0
11,4,225.0
11,5,201.0
11,6,256.0
11,7,243.0
11,8,275.0
11,9,230.0
11,10,248.0
11,11,264.0
12,0,258.0
12,1,229.0
12,2,241.0
12,3,238.0
12,4,248.0
12,5,219.0
12,6,258.0
12,7,278.0
12,8,247.0
12,9,254.0
12,10,257.0
12,11,248.0
13,0,251.0
13,1,254.0
13,2,292.0
13,3,303.0
13,4,230.0
13,5,263.0
13,6,308.0
13,7,264.0
13,8,276.0
13,9,247.0
13,10,240.0
13,11,306.0
14,0,254.0
14,1,252.0
14,2,252.0
14,3,315.0
14,4,263.0
14,5,305.0
14,6,259.0
14,7,261.0
14,8,193.0
14,9,264.0
14,10,212.0
14,11,247.0
15,0,296.0
15,1,211.0
15,2,258.0
15,3,314.0
15,4,284.0
15,5,388.0
15,6,236.0
15,7,289.0
15,8,247.0
15,9,314.0
15,10,230.0
15,11,379.0
16,0,300.0
16,1,254.0
16,2,279.0
16,3,341.0
16,4,288.0
16,5,272.0
16,6,344.0
16,7,399.0
16,8,343.0
16,9,319.0
16,10,388.0
16,11,375.0
17,0,469.0
17,1,472.0
17,2,631.0
17,3,473.0
17,4,426.0
17,5,497.0
17,6,575.0
17,7,551.0
17,8,565.0
17,9,702.0
17,10,656.0
17,11,665.0
18,0,823.0
18,1,708.0
18,2,890.0
18,3,753.0
18,4,800.0
18,5,908.0
18,6,683.0
18,7,869.0
18,8,699.0
18,9,804.0
18,10,647.0
18,11,681.0
19,0,505.0
19,1,506.0
19,2,565.0
19,3,418.0
19,4,558.0
19,5,563.0
19,6,379.0
19,7,376.0
19,8,376.0
19,9,355.0
19,10,295.0
19,11,344.0
20,0,294.0
20,1,337.0
20,2,339.0
20,3,268.0
20,4,383.0
20,5,310.0
20,6,324.0
20,7,303.0
20,8,230.0
20,9,318.0
20,10,249.0
20,11,276.0
21,0,279.0
21,1,332.0
21,2,286.0
21,3,279.0
21,4,257.0
21,5,321.0
21,6,269.0
21,7,294.0
21,8,369.0
21,9,218.0
21,10,226.0
21,11,233.0
22,0,237.0
22,1,266.0
22,2,217.0
22,3,151.0
22,4,157.0
22,5,138.0
22,6,91.0
22,7,134.0
22,8,55.0
22,9,82.0
22,10,61.0
22,11,54.0
23,0,50.0
23,1,41.0
23,2,14.0
23,3,15.0
23,4,44.0
23,5,5.0
23,6,5.0
23,7,0.0
23,8,0.0
23,9,31.0
23,10,8.0
23,11,0.0
