时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,1.0
5,11,0.0
6,0,27.0
6,1,23.0
6,2,22.0
6,3,35.0
6,4,23.0
6,5,20.0
6,6,44.0
6,7,38.0
6,8,33.0
6,9,56.0
6,10,29.0
6,11,44.0
7,0,50.0
7,1,74.0
7,2,61.0
7,3,73.0
7,4,130.0
7,5,62.0
7,6,109.0
7,7,87.0
7,8,97.0
7,9,122.0
7,10,102.0
7,11,77.0
8,0,145.0
8,1,102.0
8,2,73.0
8,3,91.0
8,4,65.0
8,5,66.0
8,6,72.0
8,7,69.0
8,8,37.0
8,9,54.0
8,10,24.0
8,11,39.0
9,0,41.0
9,1,16.0
9,2,19.0
9,3,25.0
9,4,26.0
9,5,41.0
9,6,21.0
9,7,22.0
9,8,7.0
9,9,19.0
9,10,21.0
9,11,11.0
10,0,21.0
10,1,15.0
10,2,6.0
10,3,13.0
10,4,12.0
10,5,10.0
10,6,14.0
10,7,18.0
10,8,8.0
10,9,14.0
10,10,26.0
10,11,7.0
11,0,13.0
11,1,9.0
11,2,19.0
11,3,15.0
11,4,11.0
11,5,9.0
11,6,15.0
11,7,11.0
11,8,12.0
11,9,23.0
11,10,10.0
11,11,19.0
12,0,12.0
12,1,4.0
12,2,21.0
12,3,3.0
12,4,8.0
12,5,15.0
12,6,10.0
12,7,16.0
12,8,10.0
12,9,16.0
12,10,7.0
12,11,13.0
13,0,15.0
13,1,7.0
13,2,9.0
13,3,14.0
13,4,7.0
13,5,12.0
13,6,16.0
13,7,8.0
13,8,10.0
13,9,17.0
13,10,13.0
13,11,8.0
14,0,15.0
14,1,7.0
14,2,21.0
14,3,6.0
14,4,12.0
14,5,16.0
14,6,17.0
14,7,13.0
14,8,7.0
14,9,21.0
14,10,10.0
14,11,1.0
15,0,7.0
15,1,10.0
15,2,23.0
15,3,15.0
15,4,22.0
15,5,19.0
15,6,18.0
15,7,27.0
15,8,6.0
15,9,22.0
15,10,27.0
15,11,8.0
16,0,17.0
16,1,8.0
16,2,31.0
16,3,19.0
16,4,5.0
16,5,23.0
16,6,21.0
16,7,40.0
16,8,11.0
16,9,19.0
16,10,38.0
16,11,4.0
17,0,37.0
17,1,14.0
17,2,24.0
17,3,31.0
17,4,32.0
17,5,32.0
17,6,19.0
17,7,9.0
17,8,62.0
17,9,43.0
17,10,52.0
17,11,6.0
18,0,48.0
18,1,63.0
18,2,59.0
18,3,14.0
18,4,70.0
18,5,59.0
18,6,14.0
18,7,93.0
18,8,43.0
18,9,10.0
18,10,60.0
18,11,52.0
19,0,68.0
19,1,13.0
19,2,82.0
19,3,70.0
19,4,61.0
19,5,8.0
19,6,88.0
19,7,67.0
19,8,12.0
19,9,27.0
19,10,42.0
19,11,5.0
20,0,42.0
20,1,44.0
20,2,42.0
20,3,8.0
20,4,33.0
20,5,21.0
20,6,14.0
20,7,4.0
20,8,28.0
20,9,20.0
20,10,21.0
20,11,27.0
21,0,17.0
21,1,10.0
21,2,19.0
21,3,18.0
21,4,38.0
21,5,23.0
21,6,5.0
21,7,30.0
21,8,27.0
21,9,18.0
21,10,1.0
21,11,17.0
22,0,16.0
22,1,24.0
22,2,15.0
22,3,5.0
22,4,11.0
22,5,2.0
22,6,3.0
22,7,22.0
22,8,1.0
22,9,13.0
22,10,0.0
22,11,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
