时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,0.0
5,11,2.0
6,0,3.0
6,1,5.0
6,2,6.0
6,3,3.0
6,4,15.0
6,5,19.0
6,6,24.0
6,7,12.0
6,8,19.0
6,9,13.0
6,10,26.0
6,11,26.0
7,0,17.0
7,1,16.0
7,2,28.0
7,3,31.0
7,4,36.0
7,5,36.0
7,6,57.0
7,7,41.0
7,8,53.0
7,9,71.0
7,10,55.0
7,11,59.0
8,0,57.0
8,1,62.0
8,2,37.0
8,3,51.0
8,4,42.0
8,5,37.0
8,6,39.0
8,7,27.0
8,8,33.0
8,9,40.0
8,10,17.0
8,11,24.0
9,0,17.0
9,1,12.0
9,2,16.0
9,3,18.0
9,4,16.0
9,5,9.0
9,6,11.0
9,7,17.0
9,8,6.0
9,9,9.0
9,10,13.0
9,11,12.0
10,0,12.0
10,1,4.0
10,2,8.0
10,3,6.0
10,4,9.0
10,5,9.0
10,6,6.0
10,7,10.0
10,8,4.0
10,9,3.0
10,10,19.0
10,11,7.0
11,0,15.0
11,1,4.0
11,2,7.0
11,3,14.0
11,4,9.0
11,5,13.0
11,6,3.0
11,7,5.0
11,8,7.0
11,9,10.0
11,10,7.0
11,11,3.0
12,0,5.0
12,1,6.0
12,2,7.0
12,3,5.0
12,4,16.0
12,5,11.0
12,6,1.0
12,7,12.0
12,8,2.0
12,9,14.0
12,10,6.0
12,11,11.0
13,0,13.0
13,1,5.0
13,2,7.0
13,3,5.0
13,4,7.0
13,5,11.0
13,6,5.0
13,7,14.0
13,8,4.0
13,9,12.0
13,10,6.0
13,11,2.0
14,0,7.0
14,1,2.0
14,2,13.0
14,3,8.0
14,4,3.0
14,5,6.0
14,6,10.0
14,7,9.0
14,8,6.0
14,9,4.0
14,10,11.0
14,11,5.0
15,0,12.0
15,1,6.0
15,2,14.0
15,3,9.0
15,4,4.0
15,5,6.0
15,6,6.0
15,7,2.0
15,8,15.0
15,9,5.0
15,10,11.0
15,11,10.0
16,0,7.0
16,1,12.0
16,2,6.0
16,3,17.0
16,4,3.0
16,5,17.0
16,6,8.0
16,7,18.0
16,8,21.0
16,9,9.0
16,10,15.0
16,11,12.0
17,0,12.0
17,1,22.0
17,2,22.0
17,3,19.0
17,4,13.0
17,5,13.0
17,6,17.0
17,7,25.0
17,8,20.0
17,9,14.0
17,10,32.0
17,11,33.0
18,0,41.0
18,1,13.0
18,2,35.0
18,3,37.0
18,4,8.0
18,5,43.0
18,6,34.0
18,7,14.0
18,8,32.0
18,9,33.0
18,10,46.0
18,11,6.0
19,0,27.0
19,1,36.0
19,2,40.0
19,3,2.0
19,4,63.0
19,5,16.0
19,6,8.0
19,7,14.0
19,8,31.0
19,9,15.0
19,10,5.0
19,11,42.0
20,0,17.0
20,1,14.0
20,2,10.0
20,3,17.0
20,4,8.0
20,5,1.0
20,6,19.0
20,7,9.0
20,8,16.0
20,9,19.0
20,10,19.0
20,11,7.0
21,0,14.0
21,1,12.0
21,2,26.0
21,3,14.0
21,4,2.0
21,5,17.0
21,6,16.0
21,7,13.0
21,8,11.0
21,9,7.0
21,10,9.0
21,11,28.0
22,0,11.0
22,1,2.0
22,2,6.0
22,3,5.0
22,4,0.0
22,5,19.0
22,6,7.0
22,7,4.0
22,8,0.0
22,9,0.0
22,10,0.0
22,11,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
