时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,1.0
5,5,0.0
5,6,9.0
5,7,16.0
5,8,28.0
5,9,28.0
5,10,30.0
5,11,29.0
6,0,28.0
6,1,37.0
6,2,44.0
6,3,62.0
6,4,67.0
6,5,96.0
6,6,98.0
6,7,122.0
6,8,148.0
6,9,146.0
6,10,160.0
6,11,163.0
7,0,192.0
7,1,208.0
7,2,118.0
7,3,229.0
7,4,259.0
7,5,260.0
7,6,322.0
7,7,321.0
7,8,385.0
7,9,427.0
7,10,365.0
7,11,529.0
8,0,517.0
8,1,609.0
8,2,561.0
8,3,596.0
8,4,560.0
8,5,467.0
8,6,531.0
8,7,546.0
8,8,533.0
8,9,466.0
8,10,408.0
8,11,632.0
9,0,346.0
9,1,350.0
9,2,183.0
9,3,295.0
9,4,268.0
9,5,234.0
9,6,255.0
9,7,191.0
9,8,176.0
9,9,187.0
9,10,181.0
9,11,137.0
10,0,144.0
10,1,126.0
10,2,162.0
10,3,114.0
10,4,142.0
10,5,115.0
10,6,125.0
10,7,109.0
10,8,108.0
10,9,89.0
10,10,74.0
10,11,67.0
11,0,72.0
11,1,86.0
11,2,108.0
11,3,88.0
11,4,79.0
11,5,97.0
11,6,89.0
11,7,118.0
11,8,119.0
11,9,98.0
11,10,98.0
11,11,77.0
12,0,97.0
12,1,117.0
12,2,123.0
12,3,104.0
12,4,74.0
12,5,60.0
12,6,82.0
12,7,103.0
12,8,108.0
12,9,92.0
12,10,89.0
12,11,91.0
13,0,134.0
13,1,81.0
13,2,93.0
13,3,94.0
13,4,102.0
13,5,117.0
13,6,110.0
13,7,83.0
13,8,84.0
13,9,101.0
13,10,102.0
13,11,74.0
14,0,78.0
14,1,81.0
14,2,70.0
14,3,83.0
14,4,90.0
14,5,129.0
14,6,67.0
14,7,111.0
14,8,122.0
14,9,118.0
14,10,91.0
14,11,158.0
15,0,96.0
15,1,101.0
15,2,129.0
15,3,96.0
15,4,101.0
15,5,114.0
15,6,127.0
15,7,87.0
15,8,88.0
15,9,130.0
15,10,163.0
15,11,34.0
16,0,155.0
16,1,109.0
16,2,134.0
16,3,107.0
16,4,170.0
16,5,137.0
16,6,129.0
16,7,135.0
16,8,215.0
16,9,166.0
16,10,132.0
16,11,262.0
17,0,190.0
17,1,200.0
17,2,156.0
17,3,222.0
17,4,268.0
17,5,191.0
17,6,320.0
17,7,246.0
17,8,405.0
17,9,323.0
17,10,364.0
17,11,402.0
18,0,255.0
18,1,416.0
18,2,328.0
18,3,463.0
18,4,370.0
18,5,542.0
18,6,378.0
18,7,430.0
18,8,269.0
18,9,414.0
18,10,319.0
18,11,227.0
19,0,434.0
19,1,252.0
19,2,275.0
19,3,295.0
19,4,157.0
19,5,274.0
19,6,135.0
19,7,286.0
19,8,144.0
19,9,188.0
19,10,147.0
19,11,137.0
20,0,176.0
20,1,101.0
20,2,182.0
20,3,133.0
20,4,138.0
20,5,129.0
20,6,114.0
20,7,114.0
20,8,188.0
20,9,133.0
20,10,120.0
20,11,141.0
21,0,146.0
21,1,124.0
21,2,49.0
21,3,105.0
21,4,145.0
21,5,114.0
21,6,72.0
21,7,100.0
21,8,187.0
21,9,117.0
21,10,110.0
21,11,114.0
22,0,109.0
22,1,81.0
22,2,82.0
22,3,94.0
22,4,86.0
22,5,139.0
22,6,77.0
22,7,105.0
22,8,56.0
22,9,51.0
22,10,59.0
22,11,39.0
23,0,39.0
23,1,21.0
23,2,40.0
23,3,28.0
23,4,11.0
23,5,11.0
23,6,5.0
23,7,0.0
23,8,7.0
23,9,0.0
23,10,0.0
23,11,0.0
