时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,7.0
5,11,5.0
6,0,4.0
6,1,24.0
6,2,33.0
6,3,36.0
6,4,57.0
6,5,45.0
6,6,58.0
6,7,83.0
6,8,86.0
6,9,144.0
6,10,115.0
6,11,139.0
7,0,181.0
7,1,201.0
7,2,212.0
7,3,191.0
7,4,244.0
7,5,258.0
7,6,299.0
7,7,358.0
7,8,406.0
7,9,430.0
7,10,391.0
7,11,409.0
8,0,402.0
8,1,396.0
8,2,374.0
8,3,362.0
8,4,300.0
8,5,284.0
8,6,312.0
8,7,246.0
8,8,226.0
8,9,202.0
8,10,202.0
8,11,135.0
9,0,142.0
9,1,146.0
9,2,116.0
9,3,101.0
9,4,80.0
9,5,69.0
9,6,71.0
9,7,62.0
9,8,64.0
9,9,60.0
9,10,58.0
9,11,52.0
10,0,46.0
10,1,48.0
10,2,41.0
10,3,34.0
10,4,58.0
10,5,35.0
10,6,42.0
10,7,41.0
10,8,24.0
10,9,62.0
10,10,46.0
10,11,34.0
11,0,21.0
11,1,45.0
11,2,24.0
11,3,46.0
11,4,64.0
11,5,30.0
11,6,42.0
11,7,42.0
11,8,25.0
11,9,36.0
11,10,54.0
11,11,52.0
12,0,19.0
12,1,63.0
12,2,31.0
12,3,30.0
12,4,38.0
12,5,22.0
12,6,49.0
12,7,40.0
12,8,31.0
12,9,49.0
12,10,23.0
12,11,60.0
13,0,29.0
13,1,39.0
13,2,48.0
13,3,26.0
13,4,60.0
13,5,20.0
13,6,60.0
13,7,36.0
13,8,25.0
13,9,32.0
13,10,20.0
13,11,59.0
14,0,5.0
14,1,54.0
14,2,42.0
14,3,24.0
14,4,40.0
14,5,35.0
14,6,46.0
14,7,65.0
14,8,11.0
14,9,40.0
14,10,21.0
14,11,50.0
15,0,52.0
15,1,16.0
15,2,62.0
15,3,16.0
15,4,58.0
15,5,51.0
15,6,34.0
15,7,74.0
15,8,11.0
15,9,52.0
15,10,17.0
15,11,73.0
16,0,87.0
16,1,39.0
16,2,56.0
16,3,19.0
16,4,78.0
16,5,46.0
16,6,74.0
16,7,83.0
16,8,28.0
16,9,104.0
16,10,81.0
16,11,71.0
17,0,134.0
17,1,25.0
17,2,106.0
17,3,138.0
17,4,87.0
17,5,102.0
17,6,122.0
17,7,59.0
17,8,160.0
17,9,204.0
17,10,168.0
17,11,51.0
18,0,229.0
18,1,237.0
18,2,51.0
18,3,183.0
18,4,256.0
18,5,259.0
18,6,214.0
18,7,147.0
18,8,269.0
18,9,173.0
18,10,127.0
18,11,351.0
19,0,246.0
19,1,18.0
19,2,355.0
19,3,252.0
19,4,164.0
19,5,290.0
19,6,148.0
19,7,137.0
19,8,21.0
19,9,201.0
19,10,198.0
19,11,57.0
20,0,166.0
20,1,190.0
20,2,166.0
20,3,115.0
20,4,41.0
20,5,93.0
20,6,157.0
20,7,77.0
20,8,86.0
20,9,52.0
20,10,96.0
20,11,123.0
21,0,93.0
21,1,23.0
21,2,64.0
21,3,117.0
21,4,93.0
21,5,82.0
21,6,49.0
21,7,96.0
21,8,58.0
21,9,115.0
21,10,11.0
21,11,77.0
22,0,129.0
22,1,79.0
22,2,86.0
22,3,4.0
22,4,45.0
22,5,33.0
22,6,39.0
22,7,50.0
22,8,1.0
22,9,0.0
22,10,0.0
22,11,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
