时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,2.0
5,2,1.0
5,3,2.0
5,4,6.0
5,5,5.0
5,6,8.0
5,7,18.0
5,8,9.0
5,9,12.0
5,10,14.0
5,11,25.0
6,0,27.0
6,1,35.0
6,2,35.0
6,3,50.0
6,4,47.0
6,5,49.0
6,6,42.0
6,7,67.0
6,8,62.0
6,9,116.0
6,10,102.0
6,11,89.0
7,0,148.0
7,1,144.0
7,2,172.0
7,3,227.0
7,4,255.0
7,5,249.0
7,6,285.0
7,7,270.0
7,8,409.0
7,9,400.0
7,10,214.0
7,11,514.0
8,0,570.0
8,1,536.0
8,2,754.0
8,3,808.0
8,4,706.0
8,5,851.0
8,6,827.0
8,7,1102.0
8,8,995.0
8,9,1166.0
8,10,759.0
8,11,1012.0
9,0,881.0
9,1,729.0
9,2,691.0
9,3,744.0
9,4,823.0
9,5,629.0
9,6,515.0
9,7,485.0
9,8,582.0
9,9,515.0
9,10,404.0
9,11,340.0
10,0,320.0
10,1,328.0
10,2,427.0
10,3,314.0
10,4,383.0
10,5,286.0
10,6,384.0
10,7,345.0
10,8,304.0
10,9,383.0
10,10,310.0
10,11,277.0
11,0,295.0
11,1,382.0
11,2,327.0
11,3,262.0
11,4,321.0
11,5,323.0
11,6,291.0
11,7,444.0
11,8,295.0
11,9,273.0
11,10,322.0
11,11,314.0
12,0,275.0
12,1,325.0
12,2,315.0
12,3,348.0
12,4,163.0
12,5,356.0
12,6,295.0
12,7,293.0
12,8,284.0
12,9,368.0
12,10,328.0
12,11,265.0
13,0,295.0
13,1,351.0
13,2,304.0
13,3,340.0
13,4,331.0
13,5,421.0
13,6,347.0
13,7,377.0
13,8,337.0
13,9,428.0
13,10,432.0
13,11,342.0
14,0,350.0
14,1,352.0
14,2,346.0
14,3,399.0
14,4,263.0
14,5,377.0
14,6,350.0
14,7,306.0
14,8,407.0
14,9,321.0
14,10,367.0
14,11,289.0
15,0,338.0
15,1,379.0
15,2,396.0
15,3,321.0
15,4,296.0
15,5,343.0
15,6,299.0
15,7,344.0
15,8,324.0
15,9,322.0
15,10,376.0
15,11,340.0
16,0,343.0
16,1,330.0
16,2,328.0
16,3,296.0
16,4,352.0
16,5,350.0
16,6,371.0
16,7,372.0
16,8,415.0
16,9,409.0
16,10,392.0
16,11,390.0
17,0,450.0
17,1,524.0
17,2,715.0
17,3,679.0
17,4,635.0
17,5,584.0
17,6,558.0
17,7,736.0
17,8,898.0
17,9,1002.0
17,10,731.0
17,11,697.0
18,0,652.0
18,1,687.0
18,2,912.0
18,3,868.0
18,4,747.0
18,5,709.0
18,6,660.0
18,7,706.0
18,8,587.0
18,9,616.0
18,10,523.0
18,11,510.0
19,0,505.0
19,1,456.0
19,2,462.0
19,3,403.0
19,4,379.0
19,5,356.0
19,6,383.0
19,7,331.0
19,8,298.0
19,9,339.0
19,10,325.0
19,11,308.0
20,0,301.0
20,1,336.0
20,2,305.0
20,3,364.0
20,4,265.0
20,5,284.0
20,6,272.0
20,7,288.0
20,8,278.0
20,9,251.0
20,10,262.0
20,11,253.0
21,0,322.0
21,1,299.0
21,2,343.0
21,3,298.0
21,4,295.0
21,5,274.0
21,6,274.0
21,7,254.0
21,8,247.0
21,9,222.0
21,10,229.0
21,11,222.0
22,0,273.0
22,1,459.0
22,2,287.0
22,3,219.0
22,4,162.0
22,5,148.0
22,6,85.0
22,7,103.0
22,8,98.0
22,9,86.0
22,10,76.0
22,11,42.0
23,0,28.0
23,1,35.0
23,2,31.0
23,3,18.0
23,4,16.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
