时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,1.0
5,3,1.0
5,4,3.0
5,5,1.0
5,6,3.0
5,7,10.0
5,8,18.0
5,9,12.0
5,10,30.0
5,11,19.0
6,0,66.0
6,1,58.0
6,2,51.0
6,3,51.0
6,4,76.0
6,5,74.0
6,6,77.0
6,7,90.0
6,8,153.0
6,9,135.0
6,10,130.0
6,11,192.0
7,0,236.0
7,1,219.0
7,2,279.0
7,3,295.0
7,4,283.0
7,5,328.0
7,6,438.0
7,7,391.0
7,8,487.0
7,9,606.0
7,10,536.0
7,11,646.0
8,0,874.0
8,1,816.0
8,2,947.0
8,3,1175.0
8,4,901.0
8,5,1423.0
8,6,1356.0
8,7,1809.0
8,8,1445.0
8,9,1251.0
8,10,813.0
8,11,1197.0
9,0,1240.0
9,1,954.0
9,2,1095.0
9,3,1123.0
9,4,825.0
9,5,901.0
9,6,967.0
9,7,636.0
9,8,720.0
9,9,650.0
9,10,584.0
9,11,454.0
10,0,628.0
10,1,468.0
10,2,447.0
10,3,491.0
10,4,486.0
10,5,418.0
10,6,428.0
10,7,274.0
10,8,406.0
10,9,363.0
10,10,262.0
10,11,370.0
11,0,333.0
11,1,331.0
11,2,366.0
11,3,356.0
11,4,285.0
11,5,325.0
11,6,268.0
11,7,420.0
11,8,337.0
11,9,346.0
11,10,497.0
11,11,328.0
12,0,336.0
12,1,262.0
12,2,404.0
12,3,401.0
12,4,333.0
12,5,352.0
12,6,301.0
12,7,436.0
12,8,397.0
12,9,342.0
12,10,321.0
12,11,434.0
13,0,371.0
13,1,378.0
13,2,368.0
13,3,422.0
13,4,462.0
13,5,481.0
13,6,380.0
13,7,380.0
13,8,356.0
13,9,422.0
13,10,399.0
13,11,331.0
14,0,321.0
14,1,339.0
14,2,347.0
14,3,426.0
14,4,325.0
14,5,346.0
14,6,324.0
14,7,446.0
14,8,366.0
14,9,384.0
14,10,307.0
14,11,436.0
15,0,349.0
15,1,282.0
15,2,345.0
15,3,419.0
15,4,362.0
15,5,312.0
15,6,336.0
15,7,441.0
15,8,337.0
15,9,334.0
15,10,541.0
15,11,365.0
16,0,332.0
16,1,462.0
16,2,374.0
16,3,400.0
16,4,285.0
16,5,428.0
16,6,442.0
16,7,411.0
16,8,455.0
16,9,514.0
16,10,436.0
16,11,543.0
17,0,459.0
17,1,911.0
17,2,728.0
17,3,706.0
17,4,455.0
17,5,715.0
17,6,772.0
17,7,645.0
17,8,1114.0
17,9,871.0
17,10,983.0
17,11,972.0
18,0,927.0
18,1,1430.0
18,2,1253.0
18,3,1180.0
18,4,858.0
18,5,1201.0
18,6,1165.0
18,7,965.0
18,8,1051.0
18,9,887.0
18,10,1093.0
18,11,764.0
19,0,782.0
19,1,605.0
19,2,683.0
19,3,693.0
19,4,529.0
19,5,577.0
19,6,510.0
19,7,477.0
19,8,367.0
19,9,427.0
19,10,512.0
19,11,274.0
20,0,350.0
20,1,357.0
20,2,355.0
20,3,337.0
20,4,346.0
20,5,306.0
20,6,284.0
20,7,314.0
20,8,247.0
20,9,341.0
20,10,236.0
20,11,339.0
21,0,278.0
21,1,322.0
21,2,332.0
21,3,324.0
21,4,354.0
21,5,303.0
21,6,294.0
21,7,209.0
21,8,258.0
21,9,300.0
21,10,256.0
21,11,251.0
22,0,230.0
22,1,273.0
22,2,207.0
22,3,259.0
22,4,252.0
22,5,139.0
22,6,113.0
22,7,117.0
22,8,92.0
22,9,64.0
22,10,55.0
22,11,38.0
23,0,53.0
23,1,24.0
23,2,28.0
23,3,32.0
23,4,11.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
