时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,1.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,3.0
5,11,4.0
6,0,4.0
6,1,9.0
6,2,19.0
6,3,27.0
6,4,28.0
6,5,61.0
6,6,53.0
6,7,126.0
6,8,90.0
6,9,58.0
6,10,133.0
6,11,136.0
7,0,199.0
7,1,168.0
7,2,279.0
7,3,237.0
7,4,400.0
7,5,384.0
7,6,539.0
7,7,630.0
7,8,616.0
7,9,626.0
7,10,708.0
7,11,630.0
8,0,853.0
8,1,585.0
8,2,724.0
8,3,654.0
8,4,584.0
8,5,778.0
8,6,464.0
8,7,615.0
8,8,435.0
8,9,411.0
8,10,407.0
8,11,224.0
9,0,300.0
9,1,250.0
9,2,243.0
9,3,170.0
9,4,151.0
9,5,196.0
9,6,137.0
9,7,116.0
9,8,91.0
9,9,106.0
9,10,66.0
9,11,60.0
10,0,101.0
10,1,66.0
10,2,57.0
10,3,92.0
10,4,25.0
10,5,80.0
10,6,50.0
10,7,43.0
10,8,95.0
10,9,51.0
10,10,48.0
10,11,36.0
11,0,67.0
11,1,76.0
11,2,17.0
11,3,84.0
11,4,44.0
11,5,71.0
11,6,75.0
11,7,28.0
11,8,50.0
11,9,22.0
11,10,116.0
11,11,57.0
12,0,75.0
12,1,73.0
12,2,37.0
12,3,57.0
12,4,57.0
12,5,59.0
12,6,61.0
12,7,52.0
12,8,77.0
12,9,31.0
12,10,81.0
12,11,63.0
13,0,36.0
13,1,82.0
13,2,51.0
13,3,63.0
13,4,47.0
13,5,67.0
13,6,67.0
13,7,18.0
13,8,77.0
13,9,48.0
13,10,38.0
13,11,42.0
14,0,50.0
14,1,67.0
14,2,14.0
14,3,54.0
14,4,67.0
14,5,26.0
14,6,81.0
14,7,20.0
14,8,81.0
14,9,47.0
14,10,33.0
14,11,66.0
15,0,10.0
15,1,87.0
15,2,32.0
15,3,51.0
15,4,106.0
15,5,18.0
15,6,80.0
15,7,32.0
15,8,86.0
15,9,95.0
15,10,25.0
15,11,97.0
16,0,20.0
16,1,67.0
16,2,34.0
16,3,116.0
16,4,89.0
16,5,21.0
16,6,100.0
16,7,30.0
16,8,145.0
16,9,130.0
16,10,69.0
16,11,143.0
17,0,111.0
17,1,149.0
17,2,135.0
17,3,109.0
17,4,167.0
17,5,137.0
17,6,226.0
17,7,241.0
17,8,170.0
17,9,331.0
17,10,235.0
17,11,182.0
18,0,460.0
18,1,237.0
18,2,56.0
18,3,561.0
18,4,247.0
18,5,430.0
18,6,392.0
18,7,246.0
18,8,345.0
18,9,392.0
18,10,386.0
18,11,566.0
19,0,243.0
19,1,321.0
19,2,604.0
19,3,332.0
19,4,338.0
19,5,250.0
19,6,233.0
19,7,212.0
19,8,167.0
19,9,269.0
19,10,265.0
19,11,104.0
20,0,310.0
20,1,253.0
20,2,210.0
20,3,90.0
20,4,58.0
20,5,261.0
20,6,105.0
20,7,211.0
20,8,31.0
20,9,157.0
20,10,198.0
20,11,148.0
21,0,117.0
21,1,36.0
21,2,182.0
21,3,157.0
21,4,174.0
21,5,15.0
21,6,156.0
21,7,99.0
21,8,137.0
21,9,113.0
21,10,87.0
21,11,159.0
22,0,114.0
22,1,123.0
22,2,21.0
22,3,43.0
22,4,153.0
22,5,1.0
22,6,87.0
22,7,0.0
22,8,0.0
22,9,0.0
22,10,0.0
22,11,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
