时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,3.0
5,4,1.0
5,5,1.0
5,6,5.0
5,7,5.0
5,8,18.0
5,9,15.0
5,10,19.0
5,11,20.0
6,0,27.0
6,1,25.0
6,2,55.0
6,3,38.0
6,4,42.0
6,5,54.0
6,6,57.0
6,7,73.0
6,8,94.0
6,9,145.0
6,10,165.0
6,11,184.0
7,0,218.0
7,1,172.0
7,2,221.0
7,3,241.0
7,4,243.0
7,5,278.0
7,6,286.0
7,7,317.0
7,8,344.0
7,9,409.0
7,10,452.0
7,11,532.0
8,0,469.0
8,1,474.0
8,2,454.0
8,3,558.0
8,4,559.0
8,5,687.0
8,6,598.0
8,7,511.0
8,8,726.0
8,9,613.0
8,10,411.0
8,11,514.0
9,0,440.0
9,1,301.0
9,2,450.0
9,3,248.0
9,4,271.0
9,5,156.0
9,6,216.0
9,7,232.0
9,8,194.0
9,9,173.0
9,10,185.0
9,11,164.0
10,0,162.0
10,1,117.0
10,2,172.0
10,3,118.0
10,4,89.0
10,5,134.0
10,6,115.0
10,7,117.0
10,8,117.0
10,9,91.0
10,10,138.0
10,11,131.0
11,0,114.0
11,1,101.0
11,2,79.0
11,3,91.0
11,4,105.0
11,5,124.0
11,6,105.0
11,7,84.0
11,8,77.0
11,9,79.0
11,10,98.0
11,11,85.0
12,0,106.0
12,1,113.0
12,2,107.0
12,3,98.0
12,4,84.0
12,5,132.0
12,6,108.0
12,7,151.0
12,8,126.0
12,9,121.0
12,10,98.0
12,11,89.0
13,0,98.0
13,1,135.0
13,2,101.0
13,3,115.0
13,4,98.0
13,5,123.0
13,6,108.0
13,7,101.0
13,8,91.0
13,9,133.0
13,10,110.0
13,11,127.0
14,0,85.0
14,1,110.0
14,2,97.0
14,3,108.0
14,4,147.0
14,5,81.0
14,6,115.0
14,7,93.0
14,8,108.0
14,9,149.0
14,10,88.0
14,11,93.0
15,0,88.0
15,1,139.0
15,2,114.0
15,3,119.0
15,4,103.0
15,5,152.0
15,6,103.0
15,7,110.0
15,8,117.0
15,9,226.0
15,10,175.0
15,11,241.0
16,0,147.0
16,1,113.0
16,2,107.0
16,3,124.0
16,4,145.0
16,5,177.0
16,6,148.0
16,7,147.0
16,8,203.0
16,9,284.0
16,10,253.0
16,11,216.0
17,0,213.0
17,1,258.0
17,2,235.0
17,3,258.0
17,4,294.0
17,5,232.0
17,6,309.0
17,7,363.0
17,8,316.0
17,9,460.0
17,10,402.0
17,11,454.0
18,0,337.0
18,1,425.0
18,2,466.0
18,3,470.0
18,4,648.0
18,5,633.0
18,6,387.0
18,7,302.0
18,8,274.0
18,9,363.0
18,10,323.0
18,11,361.0
19,0,261.0
19,1,313.0
19,2,214.0
19,3,270.0
19,4,208.0
19,5,183.0
19,6,193.0
19,7,149.0
19,8,182.0
19,9,164.0
19,10,187.0
19,11,101.0
20,0,151.0
20,1,142.0
20,2,142.0
20,3,151.0
20,4,121.0
20,5,117.0
20,6,156.0
20,7,101.0
20,8,83.0
20,9,126.0
20,10,116.0
20,11,83.0
21,0,135.0
21,1,104.0
21,2,115.0
21,3,139.0
21,4,90.0
21,5,119.0
21,6,115.0
21,7,125.0
21,8,76.0
21,9,83.0
21,10,85.0
21,11,77.0
22,0,90.0
22,1,93.0
22,2,140.0
22,3,70.0
22,4,26.0
22,5,58.0
22,6,53.0
22,7,63.0
22,8,70.0
22,9,27.0
22,10,40.0
22,11,28.0
23,0,36.0
23,1,11.0
23,2,16.0
23,3,11.0
23,4,5.0
23,5,8.0
23,6,4.0
23,7,2.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
