时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,3.0
5,5,2.0
5,6,6.0
5,7,15.0
5,8,37.0
5,9,48.0
5,10,27.0
5,11,30.0
6,0,52.0
6,1,43.0
6,2,44.0
6,3,41.0
6,4,85.0
6,5,91.0
6,6,97.0
6,7,122.0
6,8,154.0
6,9,149.0
6,10,155.0
6,11,152.0
7,0,200.0
7,1,216.0
7,2,271.0
7,3,300.0
7,4,272.0
7,5,473.0
7,6,525.0
7,7,420.0
7,8,556.0
7,9,618.0
7,10,767.0
7,11,615.0
8,0,862.0
8,1,978.0
8,2,1369.0
8,3,1239.0
8,4,1064.0
8,5,1424.0
8,6,1418.0
8,7,1200.0
8,8,1615.0
8,9,1263.0
8,10,1162.0
8,11,1142.0
9,0,933.0
9,1,790.0
9,2,1129.0
9,3,844.0
9,4,666.0
9,5,648.0
9,6,441.0
9,7,582.0
9,8,398.0
9,9,351.0
9,10,385.0
9,11,375.0
10,0,347.0
10,1,300.0
10,2,326.0
10,3,300.0
10,4,226.0
10,5,265.0
10,6,287.0
10,7,214.0
10,8,257.0
10,9,229.0
10,10,230.0
10,11,230.0
11,0,240.0
11,1,277.0
11,2,225.0
11,3,231.0
11,4,217.0
11,5,190.0
11,6,263.0
11,7,185.0
11,8,222.0
11,9,233.0
11,10,214.0
11,11,273.0
12,0,212.0
12,1,203.0
12,2,226.0
12,3,274.0
12,4,220.0
12,5,213.0
12,6,228.0
12,7,268.0
12,8,267.0
12,9,243.0
12,10,254.0
12,11,230.0
13,0,241.0
13,1,210.0
13,2,257.0
13,3,287.0
13,4,247.0
13,5,205.0
13,6,265.0
13,7,259.0
13,8,236.0
13,9,250.0
13,10,276.0
13,11,272.0
14,0,217.0
14,1,172.0
14,2,289.0
14,3,192.0
14,4,276.0
14,5,230.0
14,6,280.0
14,7,271.0
14,8,283.0
14,9,274.0
14,10,226.0
14,11,218.0
15,0,281.0
15,1,212.0
15,2,244.0
15,3,158.0
15,4,282.0
15,5,225.0
15,6,243.0
15,7,323.0
15,8,260.0
15,9,292.0
15,10,273.0
15,11,270.0
16,0,258.0
16,1,219.0
16,2,317.0
16,3,284.0
16,4,287.0
16,5,312.0
16,6,293.0
16,7,303.0
16,8,311.0
16,9,318.0
16,10,430.0
16,11,267.0
17,0,466.0
17,1,342.0
17,2,638.0
17,3,549.0
17,4,594.0
17,5,586.0
17,6,546.0
17,7,687.0
17,8,824.0
17,9,1188.0
17,10,1082.0
17,11,994.0
18,0,959.0
18,1,830.0
18,2,1185.0
18,3,1181.0
18,4,1218.0
18,5,1099.0
18,6,1028.0
18,7,981.0
18,8,734.0
18,9,979.0
18,10,733.0
18,11,837.0
19,0,595.0
19,1,693.0
19,2,499.0
19,3,514.0
19,4,502.0
19,5,395.0
19,6,477.0
19,7,344.0
19,8,470.0
19,9,302.0
19,10,333.0
19,11,342.0
20,0,422.0
20,1,277.0
20,2,373.0
20,3,315.0
20,4,353.0
20,5,324.0
20,6,228.0
20,7,289.0
20,8,296.0
20,9,220.0
20,10,297.0
20,11,342.0
21,0,239.0
21,1,263.0
21,2,290.0
21,3,318.0
21,4,220.0
21,5,184.0
21,6,216.0
21,7,274.0
21,8,224.0
21,9,248.0
21,10,217.0
21,11,203.0
22,0,214.0
22,1,236.0
22,2,232.0
22,3,269.0
22,4,194.0
22,5,145.0
22,6,185.0
22,7,118.0
22,8,85.0
22,9,108.0
22,10,52.0
22,11,66.0
23,0,24.0
23,1,46.0
23,2,25.0
23,3,24.0
23,4,13.0
23,5,10.0
23,6,0.0
23,7,5.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
