时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,2.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,6.0
5,11,39.0
6,0,25.0
6,1,61.0
6,2,79.0
6,3,71.0
6,4,96.0
6,5,89.0
6,6,120.0
6,7,126.0
6,8,106.0
6,9,109.0
6,10,207.0
6,11,146.0
7,0,185.0
7,1,270.0
7,2,241.0
7,3,260.0
7,4,327.0
7,5,334.0
7,6,290.0
7,7,326.0
7,8,390.0
7,9,414.0
7,10,478.0
7,11,399.0
8,0,503.0
8,1,435.0
8,2,510.0
8,3,442.0
8,4,410.0
8,5,369.0
8,6,358.0
8,7,215.0
8,8,292.0
8,9,286.0
8,10,221.0
8,11,238.0
9,0,174.0
9,1,123.0
9,2,156.0
9,3,124.0
9,4,153.0
9,5,148.0
9,6,134.0
9,7,74.0
9,8,113.0
9,9,113.0
9,10,89.0
9,11,99.0
10,0,68.0
10,1,53.0
10,2,104.0
10,3,81.0
10,4,72.0
10,5,66.0
10,6,52.0
10,7,71.0
10,8,63.0
10,9,59.0
10,10,97.0
10,11,105.0
11,0,87.0
11,1,37.0
11,2,82.0
11,3,77.0
11,4,43.0
11,5,83.0
11,6,37.0
11,7,87.0
11,8,99.0
11,9,52.0
11,10,88.0
11,11,44.0
12,0,105.0
12,1,81.0
12,2,62.0
12,3,97.0
12,4,56.0
12,5,75.0
12,6,44.0
12,7,74.0
12,8,85.0
12,9,34.0
12,10,75.0
12,11,31.0
13,0,121.0
13,1,81.0
13,2,53.0
13,3,89.0
13,4,37.0
13,5,95.0
13,6,77.0
13,7,59.0
13,8,110.0
13,9,42.0
13,10,79.0
13,11,68.0
14,0,42.0
14,1,74.0
14,2,80.0
14,3,80.0
14,4,29.0
14,5,86.0
14,6,70.0
14,7,26.0
14,8,78.0
14,9,26.0
14,10,111.0
14,11,70.0
15,0,50.0
15,1,101.0
15,2,29.0
15,3,96.0
15,4,34.0
15,5,94.0
15,6,79.0
15,7,43.0
15,8,111.0
15,9,41.0
15,10,98.0
15,11,125.0
16,0,27.0
16,1,101.0
16,2,47.0
16,3,118.0
16,4,36.0
16,5,132.0
16,6,132.0
16,7,70.0
16,8,119.0
16,9,86.0
16,10,116.0
16,11,230.0
17,0,70.0
17,1,168.0
17,2,160.0
17,3,38.0
17,4,224.0
17,5,145.0
17,6,132.0
17,7,246.0
17,8,191.0
17,9,72.0
17,10,288.0
17,11,249.0
18,0,150.0
18,1,198.0
18,2,268.0
18,3,270.0
18,4,147.0
18,5,284.0
18,6,325.0
18,7,294.0
18,8,130.0
18,9,294.0
18,10,270.0
18,11,38.0
19,0,350.0
19,1,340.0
19,2,50.0
19,3,381.0
19,4,268.0
19,5,326.0
19,6,274.0
19,7,141.0
19,8,139.0
19,9,123.0
19,10,126.0
19,11,209.0
20,0,194.0
20,1,44.0
20,2,187.0
20,3,170.0
20,4,156.0
20,5,68.0
20,6,79.0
20,7,177.0
20,8,109.0
20,9,140.0
20,10,89.0
20,11,82.0
21,0,140.0
21,1,130.0
21,2,72.0
21,3,37.0
21,4,147.0
21,5,137.0
21,6,156.0
21,7,37.0
21,8,108.0
21,9,103.0
21,10,104.0
21,11,91.0
22,0,114.0
22,1,52.0
22,2,73.0
22,3,55.0
22,4,10.0
22,5,35.0
22,6,81.0
22,7,4.0
22,8,53.0
22,9,0.0
22,10,0.0
22,11,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
