时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,7.0
5,3,13.0
5,4,21.0
5,5,31.0
5,6,22.0
5,7,31.0
5,8,39.0
5,9,55.0
5,10,62.0
5,11,73.0
6,0,81.0
6,1,80.0
6,2,115.0
6,3,65.0
6,4,99.0
6,5,110.0
6,6,150.0
6,7,122.0
6,8,132.0
6,9,195.0
6,10,170.0
6,11,159.0
7,0,280.0
7,1,211.0
7,2,343.0
7,3,401.0
7,4,501.0
7,5,552.0
7,6,638.0
7,7,692.0
7,8,839.0
7,9,964.0
7,10,924.0
7,11,1158.0
8,0,1096.0
8,1,1282.0
8,2,1476.0
8,3,1183.0
8,4,1365.0
8,5,1097.0
8,6,1516.0
8,7,1363.0
8,8,1386.0
8,9,1207.0
8,10,837.0
8,11,909.0
9,0,940.0
9,1,701.0
9,2,766.0
9,3,583.0
9,4,660.0
9,5,446.0
9,6,341.0
9,7,312.0
9,8,459.0
9,9,237.0
9,10,310.0
9,11,294.0
10,0,240.0
10,1,133.0
10,2,164.0
10,3,192.0
10,4,155.0
10,5,145.0
10,6,153.0
10,7,117.0
10,8,109.0
10,9,77.0
10,10,94.0
10,11,153.0
11,0,106.0
11,1,83.0
11,2,123.0
11,3,117.0
11,4,90.0
11,5,123.0
11,6,125.0
11,7,93.0
11,8,92.0
11,9,102.0
11,10,150.0
11,11,125.0
12,0,125.0
12,1,84.0
12,2,129.0
12,3,135.0
12,4,103.0
12,5,151.0
12,6,124.0
12,7,121.0
12,8,140.0
12,9,115.0
12,10,149.0
12,11,115.0
13,0,90.0
13,1,113.0
13,2,125.0
13,3,121.0
13,4,110.0
13,5,110.0
13,6,139.0
13,7,141.0
13,8,113.0
13,9,91.0
13,10,109.0
13,11,130.0
14,0,109.0
14,1,106.0
14,2,129.0
14,3,117.0
14,4,81.0
14,5,93.0
14,6,97.0
14,7,127.0
14,8,105.0
14,9,136.0
14,10,134.0
14,11,131.0
15,0,106.0
15,1,96.0
15,2,110.0
15,3,173.0
15,4,97.0
15,5,123.0
15,6,108.0
15,7,125.0
15,8,121.0
15,9,119.0
15,10,159.0
15,11,162.0
16,0,124.0
16,1,109.0
16,2,143.0
16,3,175.0
16,4,132.0
16,5,168.0
16,6,163.0
16,7,198.0
16,8,166.0
16,9,197.0
16,10,231.0
16,11,219.0
17,0,283.0
17,1,278.0
17,2,355.0
17,3,360.0
17,4,432.0
17,5,521.0
17,6,566.0
17,7,525.0
17,8,744.0
17,9,821.0
17,10,852.0
17,11,701.0
18,0,670.0
18,1,753.0
18,2,847.0
18,3,652.0
18,4,1041.0
18,5,835.0
18,6,663.0
18,7,994.0
18,8,849.0
18,9,802.0
18,10,791.0
18,11,504.0
19,0,852.0
19,1,765.0
19,2,585.0
19,3,517.0
19,4,537.0
19,5,365.0
19,6,747.0
19,7,397.0
19,8,224.0
19,9,568.0
19,10,366.0
19,11,340.0
20,0,268.0
20,1,349.0
20,2,280.0
20,3,373.0
20,4,209.0
20,5,247.0
20,6,344.0
20,7,179.0
20,8,209.0
20,9,311.0
20,10,266.0
20,11,217.0
21,0,376.0
21,1,185.0
21,2,261.0
21,3,255.0
21,4,261.0
21,5,206.0
21,6,223.0
21,7,234.0
21,8,104.0
21,9,333.0
21,10,126.0
21,11,175.0
22,0,166.0
22,1,83.0
22,2,189.0
22,3,160.0
22,4,74.0
22,5,164.0
22,6,114.0
22,7,170.0
22,8,193.0
22,9,187.0
22,10,13.0
22,11,150.0
23,0,78.0
23,1,72.0
23,2,62.0
23,3,48.0
23,4,0.0
23,5,101.0
23,6,27.0
23,7,2.0
23,8,47.0
23,9,25.0
23,10,0.0
23,11,0.0
