时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,5.0
5,5,5.0
5,6,6.0
5,7,19.0
5,8,12.0
5,9,6.0
5,10,14.0
5,11,16.0
6,0,9.0
6,1,14.0
6,2,8.0
6,3,36.0
6,4,31.0
6,5,67.0
6,6,103.0
6,7,71.0
6,8,77.0
6,9,96.0
6,10,140.0
6,11,124.0
7,0,196.0
7,1,196.0
7,2,139.0
7,3,288.0
7,4,325.0
7,5,261.0
7,6,412.0
7,7,405.0
7,8,537.0
7,9,756.0
7,10,676.0
7,11,784.0
8,0,932.0
8,1,1252.0
8,2,1107.0
8,3,1033.0
8,4,709.0
8,5,1794.0
8,6,1213.0
8,7,1362.0
8,8,1728.0
8,9,1312.0
8,10,1368.0
8,11,1049.0
9,0,912.0
9,1,939.0
9,2,903.0
9,3,1013.0
9,4,685.0
9,5,774.0
9,6,483.0
9,7,531.0
9,8,325.0
9,9,688.0
9,10,307.0
9,11,373.0
10,0,280.0
10,1,141.0
10,2,230.0
10,3,171.0
10,4,209.0
10,5,150.0
10,6,175.0
10,7,143.0
10,8,132.0
10,9,159.0
10,10,132.0
10,11,142.0
11,0,96.0
11,1,173.0
11,2,145.0
11,3,111.0
11,4,127.0
11,5,172.0
11,6,132.0
11,7,142.0
11,8,104.0
11,9,172.0
11,10,146.0
11,11,98.0
12,0,124.0
12,1,133.0
12,2,104.0
12,3,124.0
12,4,147.0
12,5,168.0
12,6,165.0
12,7,137.0
12,8,140.0
12,9,200.0
12,10,142.0
12,11,133.0
13,0,194.0
13,1,128.0
13,2,157.0
13,3,157.0
13,4,124.0
13,5,184.0
13,6,161.0
13,7,126.0
13,8,127.0
13,9,187.0
13,10,112.0
13,11,147.0
14,0,132.0
14,1,122.0
14,2,124.0
14,3,129.0
14,4,132.0
14,5,133.0
14,6,134.0
14,7,94.0
14,8,168.0
14,9,148.0
14,10,92.0
14,11,141.0
15,0,118.0
15,1,180.0
15,2,133.0
15,3,151.0
15,4,120.0
15,5,152.0
15,6,129.0
15,7,145.0
15,8,120.0
15,9,155.0
15,10,142.0
15,11,175.0
16,0,129.0
16,1,151.0
16,2,142.0
16,3,128.0
16,4,204.0
16,5,197.0
16,6,132.0
16,7,254.0
16,8,321.0
16,9,291.0
16,10,268.0
16,11,252.0
17,0,337.0
17,1,356.0
17,2,620.0
17,3,667.0
17,4,632.0
17,5,486.0
17,6,492.0
17,7,571.0
17,8,589.0
17,9,1045.0
17,10,1003.0
17,11,848.0
18,0,725.0
18,1,658.0
18,2,887.0
18,3,1053.0
18,4,975.0
18,5,940.0
18,6,731.0
18,7,833.0
18,8,761.0
18,9,636.0
18,10,648.0
18,11,659.0
19,0,617.0
19,1,473.0
19,2,555.0
19,3,465.0
19,4,462.0
19,5,418.0
19,6,321.0
19,7,386.0
19,8,376.0
19,9,285.0
19,10,262.0
19,11,330.0
20,0,232.0
20,1,252.0
20,2,300.0
20,3,314.0
20,4,162.0
20,5,308.0
20,6,181.0
20,7,156.0
20,8,240.0
20,9,287.0
20,10,184.0
20,11,184.0
21,0,186.0
21,1,197.0
21,2,234.0
21,3,219.0
21,4,201.0
21,5,202.0
21,6,201.0
21,7,74.0
21,8,245.0
21,9,130.0
21,10,148.0
21,11,91.0
22,0,45.0
22,1,163.0
22,2,82.0
22,3,107.0
22,4,56.0
22,5,64.0
22,6,50.0
22,7,86.0
22,8,51.0
22,9,8.0
22,10,59.0
22,11,28.0
23,0,27.0
23,1,29.0
23,2,14.0
23,3,3.0
23,4,32.0
23,5,17.0
23,6,0.0
23,7,14.0
23,8,3.0
23,9,0.0
23,10,0.0
23,11,0.0
