时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,1.0
5,1,5.0
5,2,8.0
5,3,11.0
5,4,13.0
5,5,26.0
5,6,15.0
5,7,80.0
5,8,43.0
5,9,63.0
5,10,59.0
5,11,98.0
6,0,56.0
6,1,93.0
6,2,174.0
6,3,183.0
6,4,152.0
6,5,131.0
6,6,309.0
6,7,221.0
6,8,199.0
6,9,412.0
6,10,341.0
6,11,380.0
7,0,421.0
7,1,526.0
7,2,511.0
7,3,584.0
7,4,683.0
7,5,832.0
7,6,635.0
7,7,1056.0
7,8,827.0
7,9,944.0
7,10,975.0
7,11,1089.0
8,0,1139.0
8,1,953.0
8,2,1045.0
8,3,1143.0
8,4,1059.0
8,5,891.0
8,6,858.0
8,7,733.0
8,8,757.0
8,9,682.0
8,10,584.0
8,11,585.0
9,0,573.0
9,1,466.0
9,2,424.0
9,3,344.0
9,4,477.0
9,5,407.0
9,6,343.0
9,7,370.0
9,8,199.0
9,9,298.0
9,10,370.0
9,11,285.0
10,0,233.0
10,1,227.0
10,2,194.0
10,3,275.0
10,4,228.0
10,5,170.0
10,6,243.0
10,7,221.0
10,8,103.0
10,9,194.0
10,10,223.0
10,11,180.0
11,0,187.0
11,1,126.0
11,2,194.0
11,3,203.0
11,4,126.0
11,5,248.0
11,6,89.0
11,7,206.0
11,8,71.0
11,9,222.0
11,10,240.0
11,11,134.0
12,0,104.0
12,1,73.0
12,2,289.0
12,3,240.0
12,4,78.0
12,5,228.0
12,6,205.0
12,7,93.0
12,8,274.0
12,9,148.0
12,10,217.0
12,11,211.0
13,0,136.0
13,1,258.0
13,2,186.0
13,3,73.0
13,4,268.0
13,5,117.0
13,6,140.0
13,7,271.0
13,8,113.0
13,9,184.0
13,10,176.0
13,11,129.0
14,0,253.0
14,1,139.0
14,2,156.0
14,3,200.0
14,4,60.0
14,5,196.0
14,6,207.0
14,7,115.0
14,8,245.0
14,9,116.0
14,10,110.0
14,11,288.0
15,0,78.0
15,1,278.0
15,2,186.0
15,3,163.0
15,4,264.0
15,5,115.0
15,6,170.0
15,7,273.0
15,8,94.0
15,9,309.0
15,10,151.0
15,11,190.0
16,0,295.0
16,1,215.0
16,2,162.0
16,3,315.0
16,4,88.0
16,5,426.0
16,6,150.0
16,7,301.0
16,8,128.0
16,9,441.0
16,10,114.0
16,11,382.0
17,0,86.0
17,1,456.0
17,2,250.0
17,3,163.0
17,4,449.0
17,5,407.0
17,6,482.0
17,7,149.0
17,8,622.0
17,9,505.0
17,10,111.0
17,11,645.0
18,0,658.0
18,1,483.0
18,2,402.0
18,3,686.0
18,4,739.0
18,5,287.0
18,6,873.0
18,7,875.0
18,8,788.0
18,9,221.0
18,10,1116.0
18,11,979.0
19,0,165.0
19,1,806.0
19,2,831.0
19,3,771.0
19,4,125.0
19,5,712.0
19,6,677.0
19,7,323.0
19,8,383.0
19,9,453.0
19,10,500.0
19,11,174.0
20,0,429.0
20,1,405.0
20,2,237.0
20,3,169.0
20,4,375.0
20,5,373.0
20,6,37.0
20,7,367.0
20,8,360.0
20,9,303.0
20,10,49.0
20,11,388.0
21,0,262.0
21,1,45.0
21,2,304.0
21,3,394.0
21,4,30.0
21,5,118.0
21,6,400.0
21,7,316.0
21,8,50.0
21,9,321.0
21,10,120.0
21,11,411.0
22,0,22.0
22,1,301.0
22,2,160.0
22,3,19.0
22,4,358.0
22,5,8.0
22,6,290.0
22,7,7.0
22,8,321.0
22,9,3.0
22,10,286.0
22,11,3.0
23,0,199.0
23,1,1.0
23,2,136.0
23,3,2.0
23,4,110.0
23,5,0.0
23,6,73.0
23,7,6.0
23,8,49.0
23,9,9.0
23,10,3.0
23,11,3.0
