时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,1.0
5,5,2.0
5,6,1.0
5,7,7.0
5,8,7.0
5,9,11.0
5,10,14.0
5,11,18.0
6,0,19.0
6,1,26.0
6,2,30.0
6,3,33.0
6,4,58.0
6,5,65.0
6,6,69.0
6,7,83.0
6,8,78.0
6,9,99.0
6,10,109.0
6,11,135.0
7,0,172.0
7,1,257.0
7,2,187.0
7,3,211.0
7,4,264.0
7,5,254.0
7,6,242.0
7,7,267.0
7,8,347.0
7,9,355.0
7,10,254.0
7,11,484.0
8,0,449.0
8,1,511.0
8,2,688.0
8,3,660.0
8,4,690.0
8,5,742.0
8,6,694.0
8,7,760.0
8,8,1006.0
8,9,840.0
8,10,652.0
8,11,719.0
9,0,642.0
9,1,822.0
9,2,569.0
9,3,461.0
9,4,340.0
9,5,445.0
9,6,442.0
9,7,343.0
9,8,375.0
9,9,322.0
9,10,327.0
9,11,293.0
10,0,236.0
10,1,207.0
10,2,212.0
10,3,193.0
10,4,158.0
10,5,214.0
10,6,216.0
10,7,177.0
10,8,183.0
10,9,139.0
10,10,156.0
10,11,133.0
11,0,135.0
11,1,130.0
11,2,130.0
11,3,131.0
11,4,207.0
11,5,141.0
11,6,140.0
11,7,81.0
11,8,138.0
11,9,164.0
11,10,181.0
11,11,131.0
12,0,137.0
12,1,132.0
12,2,185.0
12,3,144.0
12,4,126.0
12,5,162.0
12,6,154.0
12,7,148.0
12,8,164.0
12,9,159.0
12,10,154.0
12,11,128.0
13,0,166.0
13,1,153.0
13,2,146.0
13,3,138.0
13,4,167.0
13,5,194.0
13,6,171.0
13,7,149.0
13,8,169.0
13,9,144.0
13,10,214.0
13,11,180.0
14,0,167.0
14,1,168.0
14,2,112.0
14,3,157.0
14,4,117.0
14,5,155.0
14,6,158.0
14,7,134.0
14,8,150.0
14,9,130.0
14,10,172.0
14,11,159.0
15,0,155.0
15,1,162.0
15,2,140.0
15,3,181.0
15,4,150.0
15,5,188.0
15,6,196.0
15,7,171.0
15,8,161.0
15,9,191.0
15,10,180.0
15,11,178.0
16,0,199.0
16,1,187.0
16,2,210.0
16,3,177.0
16,4,184.0
16,5,229.0
16,6,222.0
16,7,315.0
16,8,213.0
16,9,255.0
16,10,153.0
16,11,229.0
17,0,329.0
17,1,391.0
17,2,440.0
17,3,477.0
17,4,405.0
17,5,425.0
17,6,351.0
17,7,482.0
17,8,566.0
17,9,667.0
17,10,612.0
17,11,483.0
18,0,515.0
18,1,837.0
18,2,728.0
18,3,835.0
18,4,802.0
18,5,538.0
18,6,536.0
18,7,333.0
18,8,469.0
18,9,504.0
18,10,414.0
18,11,391.0
19,0,346.0
19,1,302.0
19,2,368.0
19,3,272.0
19,4,225.0
19,5,239.0
19,6,248.0
19,7,209.0
19,8,198.0
19,9,182.0
19,10,231.0
19,11,167.0
20,0,165.0
20,1,97.0
20,2,187.0
20,3,182.0
20,4,158.0
20,5,148.0
20,6,120.0
20,7,137.0
20,8,153.0
20,9,146.0
20,10,130.0
20,11,114.0
21,0,103.0
21,1,111.0
21,2,163.0
21,3,131.0
21,4,127.0
21,5,99.0
21,6,145.0
21,7,159.0
21,8,96.0
21,9,106.0
21,10,68.0
21,11,106.0
22,0,85.0
22,1,97.0
22,2,88.0
22,3,85.0
22,4,59.0
22,5,66.0
22,6,56.0
22,7,54.0
22,8,48.0
22,9,36.0
22,10,46.0
22,11,28.0
23,0,24.0
23,1,27.0
23,2,18.0
23,3,9.0
23,4,12.0
23,5,3.0
23,6,1.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
